estimate,se,df,t,p
-1.755611124388544,0.35128881595475603,295.5737358341001,-4.997628858798216,9.955575196251114e-7
-0.05689275347758485,0.037769159766193494,345.88735693938474,-1.506328280262897,0.1328956143609336
-0.05082047443595423,0.050852898627536364,1500.1391448876248,-0.9993623924602681,0.3177803400717461
-0.12775711716142646,0.04879087661249363,1126.937288923671,-2.6184632462355135,0.008951157587404477
-0.16788219235295693,0.05038189601412388,1388.613296995068,-3.3321928239043137,8.84305537018509e-4
-0.15714327046054327,0.052801132168778346,1753.182093800806,-2.976134488143857,0.0029590320208120273
-0.1616264761007444,0.04903926908134286,1286.5152752692788,-3.295858179139046,0.0010079649299306846
-0.15625161428476292,0.04874662630315364,1288.0385037838382,-3.2053831441183096,0.001381934252327953
-0.0832798921591103,0.057566023214485985,2587.8298480312337,-1.446684823942357,0.14810632662372283
-0.07768980670262647,0.059413900027296906,2900.5312827534053,-1.3076032151892563,0.19111155849214784
-0.01934561830275856,0.05947816532550923,2791.997548718152,-0.3252558009630054,0.7450118502312442
0.057274178111761116,0.060635007829766024,2424.5625166777118,0.9445727833095939,0.3449711443257085
0.014392056322662323,0.05895219961917155,2458.712954876907,0.2441309470322453,0.8071497743713938
-0.03900193307914569,0.06126015173745818,3055.8908492294336,-0.6366607325149268,0.5243935421441879
-0.19169942485210958,0.013237942546969366,343560241.18917745,-14.481058833118775,1.5962437514041688e-47
-0.028882410123431963,0.0024720918571250286,605309861.0817385,-11.683388722060423,1.549920897932515e-31
2.45495820254039e-4,2.549498012962624e-5,576839319.4921008,9.629182647166001,6.0206685570158285e-22
0.1541929860159066,0.015199919628086042,173134217.011246,10.14432903520046,3.511888235738282e-24
-0.14907110175808913,0.0174837160920711,35375564.59418661,-8.526282454660377,1.5113178575336364e-17
-0.1641367029647912,0.015741506363907098,17904439.85198777,-10.427001023303076,1.8671905522308206e-25
0.5677522609001731,0.014590316722188449,183354740.68213928,38.91294971251413,0
0.1404826497098289,0.013944344065881015,140849280.28399384,10.074525488334835,7.160692246736932e-24
0.31438330358179906,0.019171334792276392,671835240.330558,16.39861318933596,1.9565888984125625e-60
0.10039164835604304,0.00830852677973465,24731864.406016715,12.082966212603248,1.2997426268278514e-33
0.014115623474242254,0.009892490490039896,43877460.91590305,1.4269029106931521,0.15360788887147792
0.24780055908908027,0.008805812573094936,43405886.66314148,28.140567043886904,3.137442185916205e-174
0.0790911631824031,0.007834202465443436,32846008.01952534,10.095624095914445,5.776712665736137e-24
0.5545641776833866,0.015075770538441174,175850711.41463476,36.785129905587446,3.200415492900063e-296
0.17935210140908056,0.015683901824992214,101037571.26726255,11.43542617203099,2.781794763016753e-30
0.28351604186297985,0.014997940184578267,204282805.70111898,18.90366532829002,1.0641451591811717e-79
0.31746359480241354,0.008231244141741877,45414951.740842886,38.568117934020194,0
0.29894041687395273,0.010717225583263096,101039049.32105881,27.89345195278923,3.2083511833292495e-171
0.3238528933329074,0.014963177629280917,33026206.743772704,21.64332345418202,7.036992121694813e-104
0.29653602978803406,0.012680253570525744,118639435.90933046,23.385654564299,5.985110024359134e-121
0.04872240459376493,0.01576838504171131,256504179.36999387,3.0898791769025187,0.0020023795481662696
0.00719511090446536,4.97243775401873e-4,197477622.37605032,14.469986876457654,1.8751844787204115e-47
0.4913117868489218,0.03855991574111749,316.686995513216,12.741516090114862,2.6527196484555376e-30
0.01846868577625314,0.009214740800849337,32304.330373241046,2.004254506491474,0.0450511362455102
