(Intercept),year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,rating_economic_conditions,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
-9.961689406217426e-4,-3.366698330752866e-5,-1.0905908161585578e-4,-3.024123927321204e-5,-6.331301337620121e-5,-1.0961733911269028e-5,3.383215901572402e-5,-1.872959401215403e-5,1.4380793974679584e-7,3.1865761097803837e-4,3.236079194900112e-4,2.4673156114511966e-4,5.84410171615768e-5,7.032880406048347e-5,1.9467214760543697e-4,-5.105203101635063e-5,5.255284081369075e-5,-1.6380460707700902e-6,3.3355968951076237e-5,-2.1105309726874802e-5,1.539853899152346e-4,-9.159148388956219e-5,4.413793732500094e-5,1.665537750563453e-5,9.283918691562152e-6,8.836787838387584e-5,4.758787625967226e-6,-1.17711281972656e-6,-3.023457589064118e-5,-3.1751770489220586e-8,-5.887389767602461e-6,1.749454811057351e-5,-5.68972351253896e-8,6.815284308011223e-6,9.066569907206846e-7,3.2154327210266055e-6,-8.036326750140931e-7,9.071009305668937e-6,2.8072564666595185e-6,-1.1249093337246997e-6,-1.0500353890916181e-5,1.522688185438047e-5,-4.056024223028609e-6,-1.99671022575945e-4,9.278847920318724e-6,1.9909476889156189e-4,4.0832859792885995e-5,-1.086033817514927e-6
2.662794243022479e-4,1.7593389129354417e-6,-8.269512743546163e-5,-1.191549850227381e-5,-5.560845039357298e-5,5.224839015264028e-5,4.301519691681707e-5,-2.9509504971217264e-5,2.2215502692361776e-7,3.2360791949001197e-4,5.856172167496686e-4,3.5615562583783157e-4,2.4084319393079254e-5,4.319610320827961e-5,2.373682016593658e-4,-5.779675273902583e-5,6.383911089704664e-5,1.2439801486257954e-6,4.7645460939271807e-5,9.71059992214599e-6,1.668788571743536e-4,-9.317707678706175e-5,1.1037867360304458e-5,3.8549941330311677e-7,1.4348883358063318e-5,4.7107160678792294e-5,-1.0029938820874148e-5,-1.0224870402921975e-6,-2.4835354245929525e-5,7.84683789786897e-6,-1.4484024224436302e-5,2.3302686002924752e-5,-2.7885901163405183e-6,8.964996320641837e-6,9.266036478917067e-7,7.22951180991421e-6,-1.4378170259256355e-6,1.7733132959815956e-5,1.1299630412302103e-6,2.024399003328509e-6,-8.065409505016878e-6,1.9020022059316414e-5,-9.564900621369635e-6,-4.7106228123477625e-4,2.124021581893492e-5,3.044316949760324e-4,2.1211490751110336e-5,3.6119916114961534e-6
-6.720590555402203e-4,-1.2458272600580948e-6,-3.583972617903228e-5,-1.0877551582200779e-4,-7.840846649439757e-5,4.312746826909126e-5,-7.1217334699574785e-6,-2.148378742033174e-5,1.637948680251979e-7,2.4673156114511874e-4,3.561556258378303e-4,5.960820308319195e-4,-2.3269804602090334e-5,2.834773982237107e-5,1.3328181092014504e-4,-8.897156908034601e-5,3.621484588346177e-5,8.82227524797938e-6,4.533346345610375e-5,-4.69005278223625e-5,1.613566045163382e-4,-1.0664944028901449e-5,-1.7387183803526264e-5,-3.794961957175786e-5,-1.0328619386602175e-5,3.7018479879744593e-6,2.4377321893945283e-5,-1.8584448857287371e-6,-2.632532936150299e-5,1.5058814050666122e-5,-1.8241506674268504e-5,2.379891917386106e-5,-8.625786483977243e-7,9.446450776590758e-6,-4.3941838447598255e-6,3.6324057087224498e-6,5.971144348910167e-7,2.7885515693792666e-5,-3.5556999020736554e-6,3.414205670087957e-6,-6.337752983368745e-6,1.3727497553059633e-5,-4.646722540011084e-6,-4.4888859318863535e-4,1.1697750728578742e-5,3.0819569869735956e-4,1.9344975584299445e-5,2.462529419009855e-6
9.201285932302117e-4,-5.212329882798236e-5,-9.199019702323005e-5,3.310065243662163e-5,-4.637685993576538e-5,-5.4492185543044666e-5,-4.799521382780415e-5,-7.880341208485266e-6,6.545513883675953e-8,5.844101716157692e-5,2.4084319393079352e-5,-2.3269804602090392e-5,2.475420176026594e-4,2.7028929888465846e-5,5.9846859225249736e-5,-2.4035597784182932e-5,-1.0886929496001022e-5,-1.8554698154235e-5,-1.277210905012165e-5,3.66822232101099e-5,-6.41282909996862e-6,-2.9677025881075106e-5,5.914726233574135e-5,3.167307637890927e-5,4.284148720742157e-5,3.9501135581220215e-5,3.611907410875503e-6,5.802110940067552e-7,3.8567160463771216e-5,5.82387717845947e-6,-4.045428952585993e-7,3.4149561728117557e-7,-9.98668489694669e-6,2.348194990249894e-6,-2.8280251099334263e-6,-4.188873087640437e-6,-4.311091862871482e-6,-4.605742425763814e-6,3.908043014190648e-6,4.1662338272666816e-7,2.2893743025363305e-6,7.093475571524663e-6,5.123844742465141e-6,-1.31664775763355e-4,1.657290601098898e-5,1.872296110846771e-4,2.5576691949447644e-5,-9.930955438266075e-7
-0.0037742891813260255,4.929679519670283e-5,1.3346537922911087e-5,6.983623970150269e-5,1.5455716347556547e-5,-6.395409257384002e-5,-4.500763916247402e-5,-1.0231599602294905e-6,9.197505846862424e-9,7.032880406048342e-5,4.319610320827967e-5,2.8347739822371054e-5,2.7028929888465795e-5,3.116040466504452e-4,9.085931097284462e-5,-3.13717466952813e-5,4.096203128598895e-5,-2.8424738909223377e-5,2.313944672646314e-5,1.010207080464476e-5,6.868004125492373e-5,-1.0866772332026133e-4,-1.7845641751338725e-5,2.7939840088773074e-5,3.3031955637894816e-5,8.80088279924446e-7,2.5085149553984845e-5,-1.1191606233088767e-6,-8.240022728630129e-6,-1.3128903868534627e-5,4.535828013793498e-6,3.823006948644152e-6,-3.090795089055348e-7,2.3289225153185677e-6,2.919035513867054e-6,2.7012602826633763e-6,6.973191726424227e-6,1.1985971144315011e-5,7.686711906248894e-7,-9.305129958341075e-6,4.788777574658821e-7,3.368056210716481e-5,-8.435051308781327e-6,-6.0735408487991676e-5,7.140079182533348e-6,1.7817929231175156e-4,1.3920643182895197e-5,-3.2171530649501667e-6
-0.0035744765543117706,1.6254583352833484e-5,-1.050849673515253e-4,-6.136453378971137e-5,-7.913779128033025e-5,-1.3483230273702722e-5,-4.6861633467773585e-6,-1.4798331845898731e-5,1.1437189611239417e-7,1.946721476054373e-4,2.3736820165936627e-4,1.332818109201451e-4,5.984685922524972e-5,9.085931097284457e-5,4.3987441454743277e-4,-2.6059458971976946e-5,3.662524968078516e-5,-4.681871435852167e-5,5.919360762235994e-5,9.268891129894998e-5,1.566943228011513e-4,-9.151693498484226e-5,3.0099855520822097e-5,4.068380191249439e-5,1.0774499365969348e-4,6.825581527512259e-5,4.3709436898149804e-5,-1.6281793670238903e-6,-2.27973189457439e-5,-1.2116016585317003e-5,5.129184226061029e-7,2.3919742651984975e-5,1.2709735735271098e-6,-3.855032854675777e-7,-8.03131724286272e-7,1.9303316809844565e-6,3.8986504530139246e-6,9.984033488738881e-6,-1.8581252006265848e-6,-6.326614750099976e-6,-5.528205866599723e-6,1.4628474329647492e-5,-1.3710510348752586e-6,1.697913827667331e-5,4.160920538262709e-6,2.326149687345783e-4,7.100566619469845e-5,-3.0833711102574104e-6
2.6506757910308923e-4,1.0326760772262892e-5,2.8381646418282066e-5,6.435442289683891e-6,3.9505432103632364e-5,3.503934027776457e-5,-1.3255204837755789e-5,1.3975535070022266e-6,7.95937482051405e-9,-5.105203101635056e-5,-5.7796752739025774e-5,-8.897156908034598e-5,-2.4035597784182956e-5,-3.137174669528127e-5,-2.605945897197693e-5,9.160116449903061e-5,-3.476480145194664e-5,1.406690973557407e-5,-4.44093776266134e-6,2.1684482468532832e-5,-5.4946596337116486e-5,7.502432292678692e-6,-7.4025617742065444e-6,1.3503696541539517e-5,1.600262676556423e-5,-2.185365650835388e-5,-8.166347774378547e-8,4.991043623739815e-7,7.914300804725916e-6,-7.866050877531517e-7,2.4291900467058864e-6,-3.354022826214823e-7,7.054445732527317e-7,-1.0877677028366123e-6,5.313716547399072e-7,-2.8189351621665085e-7,6.849434338141928e-7,2.1206820524462086e-8,-1.8530020165057195e-6,-5.046737459887705e-7,3.506269805841475e-6,-9.451863270732422e-6,-1.7523432774409924e-6,4.757543004741238e-5,-2.2847556571621828e-6,-1.1974745016726032e-4,2.42021524727524e-5,7.253238184371576e-7
-3.5080582943341403e-4,2.401889198983411e-5,3.8850013362642714e-5,3.048459703970847e-5,1.3558353332846907e-6,1.6797766405425192e-5,5.489408259469263e-6,-5.94629210582539e-6,5.8429308389190125e-8,5.255284081369078e-5,6.383911089704661e-5,3.6214845883461755e-5,-1.088692949600102e-5,4.096203128598894e-5,3.6625249680785164e-5,-3.476480145194663e-5,1.2499769537577913e-4,-1.5808251438044957e-5,1.0010101555812326e-5,5.852887572920462e-6,5.1682070077356465e-5,-5.068783674632262e-5,-9.74362465449635e-6,1.0883249670706886e-6,-6.987554299639612e-6,1.577555301675949e-6,1.1117735648392374e-5,-9.062971263809126e-7,-6.193965167911874e-6,1.6136485701187086e-6,-2.605632425550911e-6,1.9843913145898416e-6,-2.8792846240801846e-7,5.035715284502828e-6,1.0865155301748629e-6,2.1819711432344588e-6,-6.900110801585139e-8,2.854699059490484e-6,1.222501140912362e-6,-4.076503454093224e-6,-4.9733670214775904e-6,1.0587360789639606e-5,-6.383671894589909e-6,-7.310510721347967e-5,3.9796990327048896e-8,2.844577770414686e-5,8.035458291848276e-6,1.3860708332556823e-6
-1.552901548193348e-4,-3.824062954581739e-5,2.9735510493495958e-5,-1.1310218795574493e-5,3.9569107019450575e-6,4.18816198009565e-5,-2.7382730005948733e-5,-2.1047370806207157e-6,4.26582438475757e-8,-1.6380460707700843e-6,1.2439801486258392e-6,8.822275247979309e-6,-1.8554698154235028e-5,-2.8424738909223373e-5,-4.6818714358521655e-5,1.4066909735574059e-5,-1.5808251438044947e-5,1.2677266534797744e-4,-1.8253910763161306e-5,1.6193087381116908e-5,-3.0378324611943743e-5,2.5319715819318712e-5,3.2954589350588107e-7,-5.267666243279666e-6,-2.4460188351108242e-5,4.288046972456396e-6,2.297846045619841e-5,-7.579263989513746e-7,-5.4940713137770935e-6,2.3836987289475755e-6,1.1796473644026226e-7,9.161260761512588e-6,6.796836848304074e-6,1.138839935667143e-6,2.0130864237820014e-6,-4.8664549179701345e-6,1.869834482838471e-6,-1.2225203472704586e-6,1.975497980790939e-6,5.937078461633182e-7,-1.2810471261297637e-5,-2.1368358138308697e-6,3.4186193196340195e-6,-5.710589287022426e-5,-5.264826837023517e-6,-1.1982749655341429e-4,-4.582360245191572e-5,-3.677156640169964e-7
-5.895599966221654e-4,1.1109382527943206e-5,-1.0835003047214521e-5,-1.0066523203258564e-4,-2.0136297799482727e-5,-1.8427814317591095e-5,4.885185803853825e-6,5.720817564918272e-7,-1.4602143376809391e-8,3.335596895107628e-5,4.764546093927172e-5,4.533346345610374e-5,-1.2772109050121664e-5,2.3139446726463167e-5,5.919360762235988e-5,-4.440937762661346e-6,1.0010101555812314e-5,-1.8253910763161312e-5,7.6226458702432e-5,2.062944550582473e-5,4.220856640706538e-5,2.390823455630937e-5,2.383156606342477e-6,5.215802223330551e-6,3.337866852257832e-5,-4.980555858381251e-6,1.9675286892660162e-5,-3.1067445082500534e-7,-1.2793784361459408e-5,-1.3749122552163219e-6,-2.09384085511649e-6,2.382314217266388e-6,-1.651699718981517e-6,1.2947822538309204e-6,-2.79502974013841e-6,4.966246630873047e-6,1.8822697666139084e-8,1.820393166579084e-6,-2.3697671680295675e-6,2.50012487929324e-6,1.1398989377699383e-6,-4.5525017770905775e-7,-2.472947668001282e-6,3.812606008368977e-5,-1.0720792813725856e-5,1.1851806494528484e-5,5.482210658721185e-5,-1.4203815535561704e-6
