(Intercept),year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
-2.36791192252111e-5,-3.4368017846374007e-6,-5.21177524537984e-6,1.338830109538206e-6,3.0045917174666647e-6,-8.113228513784311e-7,-2.795198361776255e-6,-5.60912515244158e-7,3.926686949621345e-9,7.306051678598376e-6,2.435391442754258e-5,1.3511170534730758e-5,4.0610006788666925e-6,-1.0742363789204413e-6,5.772713403559597e-7,-4.0859949253100385e-7,-3.1469407503976994e-6,4.333521782271903e-6,-4.334572561068127e-7,1.4743472056889163e-6,7.637789845100153e-7,9.724851870287118e-7,1.6176523533265607e-6,2.8959179583427746e-6,-2.350286335669799e-7,2.7390252861140335e-6,-1.270456710337145e-6,1.2369750801951775e-7,7.394111019796347e-7,5.741116153815021e-8,-3.6697003345148923e-7,3.8075532881443803e-7,4.554246376773895e-7,-8.867436080406167e-7,-4.824805182005259e-7,-1.1866055234733434e-6,-8.331224942654925e-8,2.8344563331850885e-7,3.2156524257575533e-7,-4.2475582589609684e-8,-3.0398988422550925e-7,9.122862961834491e-7,5.982853257847602e-6,-3.3986334655105776e-7,1.0036484085364996e-5,-1.3507319549883168e-7,-4.1641933590888524e-7
-1.4052739651643112e-4,-1.6760850214403486e-6,-1.317103684656767e-6,1.8101632955324866e-6,8.373066801544062e-6,1.5432647375789517e-6,-1.0163910494217853e-6,-2.8563324330155724e-7,-7.832576294616454e-10,1.1872177550786672e-5,1.3511170534730768e-5,3.982302001145507e-5,-2.670098978968916e-6,-5.7607486836336216e-6,-1.0560883777210976e-6,2.0382566049137145e-6,2.6322743209552027e-6,4.052889114125331e-6,9.198033036043532e-7,-4.6693408783177006e-7,2.473616919351518e-6,2.1536888577372684e-6,-3.230148727433175e-6,4.179375184775062e-6,3.0206310668556754e-6,6.894352021256086e-6,9.6464053714437e-7,7.034122121608965e-8,4.898798587337783e-7,-6.808881468410873e-7,-7.943202283505421e-7,5.789303853690296e-7,3.4023210048396796e-7,-9.908874529481415e-7,-1.0995018627379764e-6,-1.8857514882134838e-7,-6.965709014740477e-7,-5.145384131437684e-9,8.820275299251158e-7,-4.331013669352653e-7,-1.1365517828085877e-7,7.955157226343972e-7,2.7003305641720004e-5,-3.7366712559688287e-7,1.0105037301916773e-5,-4.232244006836827e-6,-3.231831485313817e-7
2.2782697078580324e-5,1.1674688632235941e-6,-3.936926608546873e-6,1.1082649640927014e-5,-5.220833630917417e-6,-2.260453464956013e-5,-2.511134905788636e-6,-5.161414232674491e-7,5.214412223666834e-9,-5.128318319812943e-7,4.061000678866693e-6,-2.6700989789689167e-6,3.0033290739238943e-5,6.821196011813178e-9,-2.525078745819349e-7,4.7716659192858695e-6,-7.929785867281908e-7,8.010345067843382e-6,4.456880982512528e-6,3.642529949666692e-6,-7.24807630180561e-7,4.7877402737198965e-6,1.5255688351106907e-6,4.178786517044982e-6,2.703937383271507e-6,3.965951080355827e-8,-2.923224745827606e-6,-2.896283148728548e-8,1.2754023450505294e-6,-3.89732574009725e-7,-1.3797616609060008e-6,1.4333856663783492e-7,6.861827071731568e-7,-1.0055857632119266e-7,2.174528364957272e-8,-2.7402077962701157e-7,-5.371739656235405e-7,7.584385755710377e-8,1.122716352154263e-6,-2.769090249812209e-7,2.893918252342156e-7,-2.118479037529263e-7,8.505325678655686e-7,-1.3453239111143434e-6,3.091238380297258e-6,-9.99353564129691e-6,-4.3339045590232715e-7
-1.5598137866071465e-4,-1.333341914975867e-6,-2.724468031860736e-6,-1.9322042283846457e-5,-7.716236020890161e-6,-5.916031570262044e-6,-6.028003160937828e-7,-2.2275957913723217e-7,1.9250746411199904e-9,-1.0638102054837995e-6,-1.0742363789204445e-6,-5.760748683633629e-6,6.8211960117986875e-9,2.5563190581011766e-5,3.5805042594492393e-6,-5.32052639891429e-6,8.098288373539002e-7,1.5458651724492103e-6,-3.3283256013850806e-6,-1.0820644396559192e-5,2.5700664406222685e-7,4.857162937501238e-6,5.9540660206843e-7,-4.580345678982462e-7,-4.011583132329707e-6,1.5754592921693174e-6,1.8116888523049907e-6,-1.202158119970713e-7,3.5114462446713226e-7,-1.623608457664234e-7,-1.7910483501022046e-7,-1.3667591899256305e-7,-2.1545342568061718e-7,2.400578235402247e-7,5.868595226131232e-7,-8.898479350182224e-7,1.220663241443224e-6,1.1906130297567046e-7,7.874165718785387e-9,1.0065522411005553e-8,3.6155380866126444e-8,-3.7497423234753214e-7,1.4940017012239446e-5,-6.319887634590439e-7,1.7549003895462674e-6,-2.930056361059291e-6,-5.3447617054081e-7
-5.9265376178778465e-5,4.607822271128524e-6,6.395360923211901e-6,3.5527861058867194e-6,2.841190945352153e-6,3.914193499373665e-6,-2.675428031960565e-6,-1.8750239863312925e-7,2.7138786869277936e-9,1.759825740691649e-7,5.772713403559567e-7,-1.0560883777210917e-6,-2.5250787458192783e-7,3.5805042594492385e-6,1.7409897323586545e-5,5.90217435781049e-7,-2.813936308945332e-6,6.739969544806853e-6,1.7427749903198144e-6,-3.519586286189911e-6,1.0170245253037237e-6,1.7111389180009861e-6,8.208340920422876e-7,-2.4331608742985592e-6,-4.77330561140486e-6,4.626905009453159e-6,3.192353697756958e-6,1.68090265182165e-9,-2.3721608792363344e-7,2.510011010095609e-7,4.205892555968964e-7,-3.2435165032543894e-8,-5.556003326464534e-7,-2.8020455011404396e-7,3.741970288955516e-7,5.595137986793683e-8,-5.1858352263861106e-8,-2.083572647126128e-7,7.383271858933099e-8,-1.1841432426909783e-7,7.593579527164319e-7,3.812139842530365e-8,-4.886261566290178e-6,-9.508171274171429e-7,1.3800043109351245e-5,-1.1109145467987978e-5,2.417382223803346e-7
2.3981826145667428e-4,-3.6355981239827353e-6,-8.500526210472733e-6,-5.3773632309667435e-6,-1.0402618257544603e-5,-1.3087569545715955e-5,-1.0720080100410355e-6,1.8489456216227228e-7,-5.923427442137343e-10,-1.8105482626221218e-6,-4.0859949253100284e-7,2.038256604913714e-6,4.771665919285876e-6,-5.32052639891429e-6,5.902174357810468e-7,2.682783622365638e-5,3.166940189750817e-8,1.474366871570086e-5,3.993130892878351e-6,1.763765981353815e-6,5.351715931628853e-6,2.289713648137665e-6,3.602861257134962e-6,2.138919602509981e-6,-3.8980997301677504e-7,-4.971639832493087e-6,7.469103996889359e-7,-3.356165345721888e-8,1.8585205892931616e-6,-2.0018549987752918e-7,-9.630741131203593e-7,4.347955278026232e-7,4.845329715214714e-7,3.48420669671245e-8,6.218305380301239e-7,-1.2970559856620544e-6,3.795527880327677e-8,-7.037363921745289e-8,6.18839278529316e-7,-4.714573615095625e-7,-2.0956780196561097e-6,-1.89635687054817e-7,-5.60940107527607e-6,-2.1726145011850229e-7,-1.599805175569931e-5,-7.320125386692545e-7,-6.364770527936449e-7
-3.4940451674094896e-5,2.0447656839224506e-7,-3.610853760201442e-6,-8.502708518730227e-6,-2.2357510524780237e-7,-2.5990416095592604e-6,-3.2827955783725136e-7,-2.610744108852576e-7,4.178158543178813e-9,1.321657403009282e-6,-3.1469407503976867e-6,2.6322743209552056e-6,-7.929785867281905e-7,8.098288373538996e-7,-2.8139363089453327e-6,3.1669401897503064e-8,3.404206902122263e-5,-1.3319514572888652e-5,2.838245767243135e-6,2.401910267614569e-6,3.880875365921486e-6,-6.063702623088911e-6,-4.704042439644494e-6,4.962955905775726e-9,-2.277131361363194e-6,2.625348098851796e-6,2.4948613476578703e-6,-2.4635634692241054e-7,2.1335402083136943e-8,4.2602172620359995e-7,-7.681906099191223e-7,-3.064719972890887e-7,7.038678215915111e-7,4.4527805748755213e-7,-3.701835690136303e-8,-7.407645778313695e-7,-8.964918567934684e-7,5.015176348120926e-7,7.590061327934404e-7,1.2136879705649618e-7,-6.324211174923431e-7,2.2997536747177702e-8,1.347157213131267e-5,-3.0333343431329986e-8,-5.6602024698230695e-6,1.3213708445612191e-6,-4.2808091005143224e-7
1.1775664694150009e-4,-1.4827334262586685e-6,-2.762835338711729e-8,9.936781959171011e-6,-5.829883212337697e-6,-6.424497820055864e-6,-3.1285062003629907e-6,-1.5540210175226656e-7,4.816901900992761e-10,2.6153995665463023e-6,4.333521782271902e-6,4.0528891141253345e-6,8.010345067843372e-6,1.5458651724492114e-6,6.739969544806855e-6,1.474366871570085e-5,-1.3319514572888654e-5,5.271844636040821e-5,5.918629757370418e-6,-5.459043891965636e-6,-4.6936421466719746e-6,-1.6043335429546425e-6,7.021733992382404e-6,7.342772325016535e-6,-9.20876864903317e-7,3.982395974705558e-6,7.983207899037928e-7,1.0424799739854561e-7,1.6216623035697148e-6,5.885142201112405e-9,-1.2249001416946033e-6,-1.6229229512791166e-7,-3.0105124770126285e-7,3.471853450696292e-7,6.502545243073677e-7,2.0126370987765157e-7,4.863774300154502e-7,-2.791386055015489e-7,8.823929368593098e-8,-2.349453388995577e-7,-2.2138350774818334e-6,1.983745436496936e-7,3.1939628702324987e-6,-1.667186328745855e-6,-2.681408596839176e-5,4.887130724412451e-6,-1.17670885467271e-6
3.957434612772415e-4,5.56968827656651e-6,4.092825840963007e-6,-2.164299768590315e-7,-1.0308002416479079e-6,-8.284643836655048e-6,-4.301623401666591e-6,6.431459664197254e-7,-4.389609741701141e-9,1.6162072999186057e-6,-4.334572561067941e-7,9.198033036043614e-7,4.4568809825125205e-6,-3.328325601385079e-6,1.7427749903198144e-6,3.993130892878351e-6,2.8382457672431365e-6,5.918629757370414e-6,2.637431768859305e-5,3.3370091947154397e-6,5.193308615282726e-6,2.740161433691535e-6,-1.4561211272314327e-6,2.054258173903413e-6,-1.946591172919731e-6,3.870675107910968e-6,4.245449844942648e-6,-1.4100577522371334e-8,7.579345173538065e-7,3.5811611772596026e-7,-8.216796104016699e-8,1.586249419033681e-7,-6.089958683681519e-7,-1.6817333312395768e-7,5.69404146482896e-7,-2.482655443345651e-7,-2.650773938132744e-7,-1.1779274542903422e-7,2.0586006882025268e-7,-4.0450015506911544e-7,-1.0854760231883172e-6,-3.961978163446184e-8,-3.680765832092361e-5,-3.632440035860956e-6,9.54404124000002e-6,5.8252158998442216e-6,-2.1997419007177591e-7
-2.312247384346943e-4,-1.427076141641514e-6,-9.60272374132635e-6,-2.508623663567005e-7,-1.2632463894622126e-05,-9.190526220829395e-6,1.8181421713111431e-6,-4.7811414677543954e-8,5.761448029497753e-10,-2.583744549450605e-6,1.474347205688911e-6,-4.6693408783177213e-7,3.642529949666696e-6,-1.0820644396559194e-5,-3.5195862861899096e-6,1.763765981353814e-6,2.4019102676145706e-6,-5.459043891965637e-6,3.3370091947154397e-6,3.6894958175921706e-5,1.0992693960920347e-5,1.613089270564476e-6,-1.894450258507015e-6,1.4145542591792884e-7,7.153892449855711e-7,-6.3843275618187416e-6,-1.1398309922190781e-6,7.731835716097275e-8,-7.366200710100638e-7,-5.137587671176099e-7,-2.6751351430949756e-7,-2.9981094978002895e-8,-8.744156431466068e-7,7.060250453025615e-8,1.174504535421816e-6,3.375882680067417e-7,1.4887268251755404e-6,3.437502139845668e-8,-2.1397833965458878e-7,-5.665392595411996e-7,4.028119227398959e-6,-1.55628882317103e-6,5.470036845005987e-7,-9.508645224988002e-7,1.2239134784697574e-5,3.824136692279293e-6,-1.0614232536267882e-6
