(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income
1.2269557499061413e-4,-1.7272861774051127e-6,7.707961141083036e-6,3.990832303860913e-5,8.939351814607267e-5,3.297155641417187e-5,4.144786474205692e-5,3.096207591831603e-6,5.925292863700988e-6,2.3446687285485727e-5,4.551058348290364e-6,3.192207962115474e-5,1.7416309524885175e-5,5.6664680951846175e-6,-2.0389068256117247e-5,-8.874841133016984e-6,8.55173876881889e-8,4.794227075668418e-5,2.742530139236624e-5,3.083530848354485e-5,1.9791302932505223e-5,3.52969565274795e-5,5.6040416172516444e-5,-1.976188244873332e-5,1.0128824059503272e-4,-2.151422886094263e-5,9.929357613278006e-6,9.90968106311726e-7,5.04156732868563e-5,-4.064653243366347e-5,-1.7046885062345982e-7,9.370739922931927e-6,3.407243481037079e-5,2.4880369765451733e-5,-1.2596542258086679e-5
-2.97857458228131e-5,2.05255001506925e-5,-7.067472930251657e-5,-5.242081507164318e-5,-3.605922154618596e-5,-7.815185958126058e-6,-6.763403423428045e-5,-6.748364953798014e-5,-8.288534037673288e-5,-1.0558864995208024e-4,-7.449882452112299e-5,-1.3213289157051495e-4,-1.0169872381524812e-4,-7.556552418660796e-5,-2.0585867617389263e-5,1.2710141054537335e-6,8.07178414814053e-10,-1.3109579767064717e-5,-4.418505823779055e-6,-1.1565127670394147e-6,-7.412805524609195e-6,-2.920388612416764e-5,-3.9622669725568556e-5,2.237579768795429e-5,-2.1514228860942632e-5,8.021203371940316e-5,-2.488305085730887e-6,3.982853446703948e-6,-3.644321456026015e-5,2.891376569282548e-5,-2.9733798542398414e-6,1.505375269422335e-5,-2.49569621457801e-5,-9.94032928305501e-6,1.9314196530259093e-5
-1.9449213273202879e-4,-4.226107842769443e-6,-4.782905710109661e-5,-1.3483412400646611e-5,-2.4190007770729217e-6,-3.032499825693573e-5,-6.799146781212261e-5,-6.073843218419868e-5,-5.2561768961015286e-5,-5.5724637614235204e-5,-6.874318395542284e-5,-1.2096679893305499e-4,-4.9732762370563716e-5,-6.361715653576964e-5,-4.9001714611399305e-6,-2.3651907520077446e-6,1.573009857648956e-8,3.510801411190454e-5,2.7942028002928804e-5,8.991067396564365e-6,2.2524384285395304e-5,2.2408740708621896e-5,5.045819595080512e-5,-6.678842412298243e-6,9.92935761327802e-6,-2.4883050857308968e-6,6.397383494747107e-5,2.419893031232732e-5,1.672616236540037e-5,1.0356796482241679e-5,2.023591200041166e-5,1.3663402494358316e-5,4.9289621550002895e-5,2.3822801595239367e-5,2.489291878745162e-5
-3.0279713992256246e-4,-7.82766974192086e-5,-1.0658751962789728e-4,-4.9102181883802526e-5,-3.1295250888081074e-5,-5.0026198542612145e-5,-1.230533240017728e-4,-1.573969482738413e-4,-1.9104565316865372e-4,-1.70087748963044e-4,-1.5346214426674874e-4,-1.926114609322192e-4,-1.2368355488475943e-4,-1.7334830959508574e-4,-6.174920538178372e-5,-1.0640204954863727e-5,9.547643560063907e-8,4.211666246489908e-6,4.42950363536499e-6,-3.8125351740314235e-5,7.915378103122554e-5,-8.960945662629527e-6,5.0532908945153895e-5,1.1331662271784864e-5,9.909681063117245e-7,3.98285344670393e-6,2.4198930312327324e-5,2.283406622869275e-4,-5.965144563773662e-6,1.4095418665286729e-5,1.922257547295261e-5,3.0345675336383697e-5,7.452729240118814e-5,3.644145529922986e-5,4.31587077015022e-5
5.7678743342543375e-5,2.1870655386916462e-5,1.1619764504853012e-4,1.0025762057812746e-4,1.4997375270424778e-4,1.1940637495772233e-4,1.1423743890055453e-4,0.00013139433323865865,1.4651385550942608e-4,1.5288879722797437e-4,1.060463753039408e-4,2.63845512414902e-4,2.3995687904320546e-4,1.8830711044844276e-4,-2.8665000350936515e-5,-1.0039647417991657e-5,7.657355212617684e-8,1.1456653025923339e-4,7.573494937679108e-5,6.279513633542504e-5,3.92961083185885e-5,6.360904076809961e-5,1.5589298208460662e-4,-4.195631670694187e-5,5.041567328685631e-5,-3.6443214560260174e-5,1.672616236540038e-5,-5.965144563773696e-6,2.456934491980109e-4,-8.087665093653498e-5,3.127165603008015e-5,-1.5683199334032853e-5,5.443430855888999e-5,8.525940742100015e-5,-3.1882828462276636e-5
-2.2188694579107493e-4,-2.528732205419507e-5,-9.454187709784148e-6,-6.612309418640285e-5,-1.3587195906782565e-4,-1.9018627783936413e-4,-1.2268190938422935e-4,-8.868997118285113e-5,-3.836298282489392e-5,-5.564012257809499e-5,-6.002963460746799e-5,-2.0091466496140387e-4,-1.1590046315393025e-4,-8.883685750311427e-5,2.840059235151338e-5,9.289514800800649e-6,-6.252699861047415e-8,-5.160817035180034e-5,-3.999241084836364e-5,-4.01723918751288e-6,-2.404950637530685e-5,-4.6376437859438436e-5,-8.877171064833332e-5,2.9409604159753295e-5,-4.064653243366344e-5,2.891376569282548e-5,1.0356796482241694e-5,1.4095418665286751e-5,-8.087665093653501e-5,2.3258659492705018e-4,1.7906149357353541e-6,-2.8146912659171037e-5,-6.144591717663646e-6,-6.552246799512541e-5,1.7276807352498846e-5
-1.8264900552814706e-4,-1.0147090781791787e-5,3.44191168857066e-5,2.723260279063183e-5,4.447494055737963e-5,3.6403926356269345e-5,1.6008696061667387e-5,5.504097302075547e-8,2.8791941860490207e-5,6.831388633758644e-6,-7.876616368372293e-7,1.8006943371634316e-5,2.015202231147666e-5,3.902644275894131e-5,-1.0846831922391797e-5,-3.2186785947710057e-6,1.0430814589922204e-8,3.455747954841641e-5,1.5386189111374612e-5,-2.6247062720695583e-6,5.521739595386665e-5,-6.714968890001746e-6,5.232401406688891e-5,-8.167002320913989e-6,-1.704688506234623e-7,-2.973379854239838e-6,2.0235912000411648e-5,1.922257547295262e-5,3.127165603008016e-5,1.790614935735341e-6,6.953170400996112e-5,1.3120489994846999e-5,4.053102442639652e-5,4.290069574982976e-5,1.328830349617919e-5
-2.9702170788578283e-4,4.718748847045434e-5,2.8694038273788347e-5,4.4892470679102264e-5,9.957236470237629e-5,1.1584188043668599e-4,3.1675797446306496e-5,5.4137402708723045e-5,5.212131119716443e-6,-8.863201664229123e-6,-2.1121412234322822e-5,-1.1751328010394869e-4,-6.728678490566003e-5,-2.2378409281470075e-5,-5.9639954332041624e-5,-8.246542424453132e-6,7.956765990242195e-8,2.2900020664507402e-5,1.665379803896891e-5,-1.6114892058105944e-5,5.629537353204083e-5,1.70099275420622e-5,4.453779745303102e-5,7.172455848407517e-6,9.370739922931927e-6,1.5053752694223355e-5,1.3663402494358324e-5,3.0345675336383727e-5,-1.5683199334032823e-5,-2.8146912659171014e-5,1.3120489994846985e-5,1.1449193868994496e-4,5.3091343325734735e-5,4.198899764403238e-5,3.37766747102314e-5
-5.090475748673665e-4,-7.429416247243365e-5,-5.702115200754189e-5,1.3653837156316186e-5,5.362698861965327e-5,7.087929456710427e-5,-3.9171868109414054e-5,-4.019512026352483e-5,-5.7171252345774375e-5,-8.505137377593767e-5,-1.0869932190973017e-4,-8.565054654749839e-5,-3.766726431940113e-5,-7.568786385129128e-5,-6.328951535695378e-5,-1.2629840655375534e-5,7.985846458101198e-8,7.867203810115986e-5,8.426623179067947e-5,3.044486508675556e-5,1.090285620416398e-4,4.0167598556706176e-5,1.4168690339902147e-4,-1.6599891562351478e-5,3.407243481037078e-5,-2.4956962145780118e-5,4.92896215500029e-5,7.452729240118809e-5,5.443430855888997e-5,-6.144591717663588e-6,4.053102442639652e-5,5.3091343325734714e-5,2.2929787737694407e-4,8.624068724366801e-5,4.152161301895313e-5
-2.0462770307277554e-4,-2.698916996563038e-5,-2.9248164147590735e-5,-8.630526955032434e-6,1.1044513825679787e-5,5.611985896087499e-5,1.6198595350842728e-5,2.4855857557564638e-5,1.8622683996563652e-5,3.4934374521938664e-5,2.4926941885655907e-5,6.690846625178626e-5,1.0943885277199087e-4,9.192374985146138e-5,-5.769464828412126e-5,-1.0238540664806109e-5,6.174514249442586e-8,8.622079391346184e-5,6.149594990856415e-5,1.8608186731279025e-5,1.0690195758540389e-4,2.0204806994023023e-5,1.3004732478627575e-4,-2.9661155365728535e-5,2.488036976545174e-5,-9.940329283055012e-6,2.382280159523937e-5,3.6441455299229835e-5,8.525940742100023e-5,-6.552246799512543e-5,4.290069574982978e-5,4.1988997644032366e-5,8.624068724366802e-5,1.655417662531035e-4,7.301444350429835e-6
