(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection,personal_income:social_protection,social_protection:relative_income,social_protection:gdp,social_protection:growth
0.6854202552773081,-0.002662207536991501,-0.0027864019412539545,-0.007371924153613345,-0.007811222589101598,-0.0095035016547522725,-0.005291614349617709,-0.005694222303475405,-0.0032487933380736193,-0.002350428927882016,-0.005720385478769661,-0.0058052158864592245,-0.001287962732315405,1.4523252496881144e-4,0.0028778481762224916,7.525463719851153e-5,-9.572792471236998e-7,6.215643008510848e-4,0.002004947393534984,3.160765665821614e-4,3.178435979445689e-4,-0.0012822593505291539,-7.665293197798642e-4,-0.0010375767884850016,-3.163869210774653e-4,-0.0014812675227054537,-3.776311735205501e-4,-0.0026484320719804434,7.823410192921686e-4,0.0023036414805737418,7.265510209977472e-4,-0.0015757722288967302,3.2301922908062287e-4,-1.89284196892072e-4,0.0037582124940537657,-2.3660517584848503e-4,2.637224209498838e-4,-3.523792612705271e-4,-0.001312225373809352,2.578631884200486e-4,-5.239166608740424e-4,1.8944456086248575e-5,1.9098631385212135e-4,-1.0281182417558241e-4,-8.921285401941341e-4,7.585742036336433e-4,4.6079816102748345e-5,1.672969743665379e-4,-0.0025051312426864316,1.6356223649868465e-5,-0.036208700914267415,0.0015432958649847057,0.012958889816041786,-0.005323091451189301,-0.00303429307221094,-5.357867474590085e-5,3.4492820076252253e-6,3.5375423901319396e-4,-1.089530939768164e-5
-0.0026622075369922803,0.0014253774604487787,0.001127800378419824,0.001136267286244935,0.0011235614065198687,0.0012774449917312134,0.0012284933848518164,0.0011734550730114648,0.0010369479126737624,0.0010947150561070739,0.0012451603671247333,0.0013481442292929554,0.0012698352782545192,0.0012492659432406898,-3.3898613647398635e-5,1.128932974228813e-5,-9.028198291627841e-8,-7.506941654181021e-6,-8.810979833247283e-6,2.5188894139726246e-5,-5.504261854161747e-5,-1.7445028418416424e-5,-8.122946534698564e-5,4.5072567198909915e-5,8.563515780018304e-6,2.5478316282244765e-5,-1.766272337718105e-5,-4.847284418728616e-5,3.8433054241971235e-6,-5.9032715953341887e-5,-1.8407567345714724e-6,2.8832010241997152e-5,-4.4566702279669314e-5,-3.878445607131863e-5,-1.8961025292722012e-5,4.101062277537585e-6,2.2792070387123408e-6,9.432433771494573e-6,-2.890739012459768e-6,-1.4196791802854365e-5,1.4590725474607586e-5,9.245280800526552e-6,-9.44856890156758e-6,8.434580178178784e-6,-1.1696237360586084e-5,-6.098137708415378e-6,-1.9298092492807474e-5,-1.0068525613785714e-5,5.478206405900993e-5,-9.490190458197103e-6,-1.8053879410777726e-4,-1.7931015790315134e-6,-1.133833826968293e-4,4.9611572338048865e-5,6.097839264455716e-5,-1.3664175921987113e-7,-5.067592110292354e-8,-4.740945485057352e-6,-1.6623852911533325e-7
-0.0027864019412532116,0.0011278003784198117,0.0025608215313484024,0.001924779520676656,0.001770196898138317,0.0020255485697288334,0.00200041379395198,0.0019503062563277973,0.002030687636401018,0.0020830537654420995,0.0019355519097523956,0.00200069245372655,0.0019281856576302632,0.0017918277821447515,-1.3725042692022899e-5,6.964106498194008e-6,-3.0468706356589117e-9,2.231312637351962e-5,-7.411872359881449e-5,4.485108097348963e-5,-3.6150684990048974e-5,5.91803752534868e-5,-1.0357526013238567e-4,7.340852814319904e-5,4.079556303667287e-5,-5.722138885559835e-5,-2.4447073955204355e-5,-1.2151207209821889e-4,9.692197078554631e-5,-5.075719424591209e-5,7.087590029453845e-5,3.589586544997828e-5,-8.76327533036736e-5,-4.1639379794153774e-5,-1.32544039416182e-4,1.0396976706849244e-6,-2.4330266471151387e-5,2.8794731244649928e-5,-2.7970904171213366e-5,-6.486208150933915e-6,2.5860734285451585e-5,1.336581346653421e-6,-3.597609636077956e-5,1.0773596403399682e-5,-4.252985269544621e-5,1.7466241048484164e-5,-2.4463774422700293e-5,3.102650893321566e-5,4.85613307180783e-5,-1.897496794784465e-5,4.8707790582152864e-5,6.0099560656178325e-5,3.5628901341440937e-4,-5.856371497727014e-4,5.518450722940197e-5,8.680149373934129e-7,-8.974860907777196e-9,-3.964969551378705e-6,-1.3732074848032971e-6
-0.00737192415361398,0.0011362672862449373,0.001924779520676669,0.002735328082760444,0.0022649987954033043,0.002389145488855864,0.0020984862827145468,0.002004864773869386,0.002148953837375816,0.0020869840429200443,0.0019832379289793,0.0021177143248157,0.0019458561275531709,0.0020349478206508715,-3.773861146524142e-5,9.291047796561662e-6,-2.7174371885830727e-8,4.561215959149041e-5,-5.187330694483178e-5,3.155373865156508e-5,-4.520345685505877e-5,8.755799543340407e-5,-6.947868214174058e-6,3.359163751007125e-5,4.06545323504578e-5,-4.2993294710094565e-5,1.4837838279934016e-5,-1.587208768914076e-5,1.1157878160682147e-4,-8.40829448776001e-5,5.00981289747427e-5,7.246392318136885e-5,5.399649657962179e-5,3.4871741263138602e-6,-1.401280048238901e-4,7.7892919055193e-6,-2.987778603960964e-5,5.104342832801429e-5,1.8468126093536647e-5,-4.0976804556235235e-6,9.869184235537335e-6,1.2013742490793807e-6,-2.228111953097204e-5,1.0688260676650211e-5,-2.4137358347251117e-5,3.2499499759110417e-6,-2.062520979177879e-5,8.772434246702248e-6,1.0268247633807958e-4,-5.776676428119299e-6,-6.510371887132882e-4,-1.743679094853814e-5,1.0199791424027541e-4,-6.694877386179345e-4,-9.032449346505427e-7,8.011040093574849e-7,-8.749929059166865e-8,3.104850740977758e-6,-1.5536432237384853e-6
-0.007811222589101371,0.001123561406519863,0.0017701968981383232,0.0022649987954033004,0.003070422636776394,0.002601676962294936,0.002218705677286863,0.002110242574371049,0.002186897601119708,0.0020388629897637846,0.001957539966274637,0.0021706617324600036,0.0018698031038275901,0.002043510445876317,-6.255671017774806e-5,-1.4419347354122447e-5,1.6699891527900136e-7,1.083482646960902e-4,3.9761464872434195e-5,6.736454422481898e-5,4.615830067989359e-5,1.405134005021324e-4,1.0322713919972102e-4,-1.7774752257634873e-5,1.1547584992381738e-4,-1.6415327091455095e-5,2.4732705293363944e-5,1.9460754486593045e-5,1.431712259939775e-4,-1.6371272914968225e-4,6.599697260549245e-5,8.978004198827336e-5,6.531497130563463e-5,1.3694563565020752e-6,2.574142890514187e-5,1.7373807441278132e-6,-3.628835441950993e-5,3.586608806456808e-5,2.3498649481059528e-5,-2.0423808635149307e-6,1.0505221036746213e-5,1.5813620681529687e-5,-1.7372207208435637e-5,2.0858761303825664e-5,-1.242483295583564e-5,-1.9741795030396436e-6,-2.742844163148744e-5,1.3309097251545358e-5,1.0364327208486896e-4,-1.5572142161614328e-5,-7.053067371875398e-4,1.3532991509494402e-5,4.1167582259497935e-4,-5.830213781931945e-4,1.7941843464926968e-05,-1.105491196469019e-6,-3.232751036880449e-8,1.4408386789659027e-6,-1.5454512012696908e-6
-0.009503501654752373,0.0012774449917312115,0.00202554856972884,0.0023891454888558647,0.002601676962294936,0.003468222541926566,0.002765365953363664,0.00260096317644207,0.0024978897075765166,0.0024648327664745988,0.00246090505804811,0.002517743484931167,0.002334019428119076,0.00240981386779204,-1.900002073474991e-4,-1.031477360718442e-5,1.3713881149455135e-7,1.1289653465103468e-5,-7.322288179972173e-5,5.2794580347973945e-5,5.08652614937154e-5,7.111146637681884e-5,-2.2322390040527373e-5,7.408530888689462e-5,4.462387849875649e-5,2.9370313502923754e-5,-1.797014547251347e-5,-1.9540197018752193e-5,7.760835953831166e-5,-2.094185212961422e-4,4.592801858210217e-5,1.2282433778017067e-4,6.193274563136334e-5,3.103107069514468e-5,2.2585861863387266e-5,-1.5184530631141312e-6,-2.2984600235598582e-5,3.0063557595227e-5,-6.718859370726054e-6,-1.6120853304506155e-6,2.1246879266716578e-5,1.0968005518478946e-5,-2.9163109274225063e-5,1.7001511783059168e-5,2.5132933721382987e-5,-1.4019783287236677e-6,-2.928524144207719e-5,2.6762573395398588e-5,1.0984930695995065e-4,-2.911032039677263e-5,-6.745707879502805e-4,1.2203225269145697e-5,3.4432346235012325e-4,-8.455605027628167e-4,-2.155471171403515e-5,-6.31700738251305e-7,1.734542341962362e-8,4.8692890284966075e-6,-1.4342269859377168e-6
-0.00529161434961755,0.0012284933848518208,0.0020004137939519935,0.0020984862827145515,0.002218705677286871,0.002765365953363671,0.0032420539441557006,0.002639746454978738,0.0025137555762489174,0.002571208997873943,0.00252814641460368,0.0026684927119220124,0.0024996790459206114,0.0025578780781112948,-9.601330923725347e-5,2.8993275051514203e-6,-6.983731177635448e-9,1.979087450590517e-5,-7.751944491944023e-5,-6.18774918580355e-6,-3.323816679672322e-5,9.464595677354403e-5,-7.730321787845183e-5,5.125105493731687e-5,7.239199155581843e-5,-4.0557431155019075e-5,-7.317561233254784e-5,-8.786613447043843e-5,1.01769170053e-4,-1.67886588010478e-4,2.5961090795510993e-5,4.2696702636535556e-5,-4.7998372943135436e-5,1.9958494239650077e-8,5.8953257919398705e-5,-8.177215583253758e-6,-2.0702869309219755e-5,2.6037330968319992e-5,-2.384058115364078e-5,9.064251511942138e-6,1.2416932145936681e-5,1.9386536143254535e-5,-4.107294679125298e-5,2.067243001893805e-5,2.4302993859746968e-5,4.915696184357116e-6,-4.1412908686728336e-5,1.9558465788346588e-5,8.289412214398092e-5,-2.562375501007309e-5,-6.728693383005904e-4,7.080924651492104e-5,5.247471624859995e-4,-0.0010110053445453846,-1.7556844003657432e-5,-1.1368435087249892e-6,1.1162413175263788e-7,4.18618593516869e-6,-2.130472576442975e-6
-0.00569422230347535,0.001173455073011464,0.0019503062563278075,0.002004864773869385,0.0021102425743710546,0.002600963176442072,0.0026397464549787323,0.0028641995534062982,0.0027629889413051697,0.0028166385311340684,0.0027265403934166976,0.0024300580919671775,0.0024619900114138528,0.002486552585327648,-8.739416434127592e-5,-1.4802811180946348e-7,2.957780609187421e-8,2.7230552227541403e-5,-4.95124459372036e-5,3.5149929483116625e-5,-1.1677117953598813e-5,9.450346572569896e-5,-6.483160498847776e-5,3.0239259844185448e-5,6.807491754226828e-5,-3.683998710673131e-5,-3.45904899044603e-5,-1.2158105214541396e-4,1.2132448509772308e-4,-1.0708685582169636e-4,2.022462464524994e-5,5.561901419332673e-5,-5.646084794984617e-5,1.576694312276986e-5,-1.7723131730459116e-4,1.1643239908537008e-6,-8.408874142812256e-6,2.8959690412076622e-5,-3.412413755081474e-5,-2.631705671096648e-6,2.6777676379971144e-5,9.214124976107739e-6,-3.767960388121214e-5,5.278042418950135e-6,1.9245846264180476e-5,2.993570843161671e-6,-2.7379257830409647e-5,3.352298700421604e-5,6.80436664667911e-5,-2.891581386309342e-5,-3.348151155763125e-4,5.1928108370146686e-5,3.528468101861706e-4,-9.968086616668392e-4,2.9231085578212755e-5,1.629682188606338e-6,-8.82227608545788e-9,-1.4602026911171156e-6,-2.2088338458607843e-6
-0.003248793338073073,0.0010369479126737617,0.0020306876364010254,0.002148953837375816,0.0021868976011197114,0.002497889707576517,0.0025137555762489118,0.0027629889413051684,0.0035074280542352204,0.003337525697726815,0.0031626718927080153,0.002833904580432768,0.0028780687279019532,0.0027768621895214846,1.4462774078009832e-5,8.575700128959355e-6,-4.536995978577003e-9,-3.013103410763189e-5,-1.0106777412567849e-4,-5.411570369802788e-5,-3.593684682007741e-5,1.6024595879242912e-5,-1.2775457202967986e-4,4.189515703520021e-5,5.35042335963447e-5,-4.33717119336569e-5,-3.198143581014348e-5,-1.0542383017581162e-4,8.411564973569068e-5,-2.1516572143349823e-5,4.51790596692844e-5,2.105694245725717e-5,-3.693483160994525e-5,-3.995402072654972e-5,-3.206645078064303e-4,7.485685371757263e-6,-1.533782396514716e-5,4.872394492403339e-5,-4.871889715463914e-5,1.138462998836325e-5,1.4661619332979362e-5,1.5944098755607139e-6,-3.6858367183410886e-5,3.5243051527914387e-6,-3.984554618515229e-5,1.1184081512238575e-6,-1.7402024726782034e-5,4.500575171393134e-5,5.918827913311642e-5,-2.4694054919113037e-5,-3.984288526855431e-5,6.547277875923699e-5,2.239621532097983e-4,-0.0011163468217461501,5.927003998949333e-5,2.573921061785398e-6,-6.392664992520245e-8,-4.51139738120281e-6,-3.0092167516300843e-6
-0.002350428927881554,0.001094715056107071,0.002083053765442105,0.0020869840429200395,0.002038862989763788,0.002464832766474594,0.0025712089978739334,0.002816638531134067,0.003337525697726819,0.0037257300333291233,0.0034712777580493195,0.0028988861071016316,0.003009371034733498,0.002931524596255972,-1.5842560879460235e-5,1.1189474018031401e-5,-4.95305251390931e-8,-4.169501551401331e-5,-1.179753122220808e-4,-4.850006280241626e-5,-2.4964455941735054e-5,5.6837690496232184e-5,-8.410169577285764e-5,3.8411633025557254e-5,8.553812504951066e-5,-6.288009922858277e-5,-2.984507149257482e-5,-6.076405202012711e-5,1.4577549846292781e-4,-6.055673525979215e-5,2.5700211234474524e-5,2.0681733866740452e-5,-2.2091863759013346e-5,8.404259916798885e-6,-3.128004681445826e-4,4.455446009052297e-6,-1.901549700546786e-5,5.860645066454022e-5,-8.030533946004414e-5,7.77405487632691e-6,1.5675422094237358e-5,4.094575166478469e-6,-3.626835201227002e-5,4.35630367781489e-7,-4.014100935792667e-5,8.361718182811791e-6,-1.4734548020582161e-5,5.548988682319074e-5,4.562084194237814e-5,-2.9837623953496586e-5,1.1788790323662237e-4,7.310848790317022e-5,3.458491818537232e-4,-0.0010033942779097838,1.420715620385245e-4,2.087476488654156e-6,-2.3148898987109097e-8,-1.2745427584292127e-5,-3.213606906445593e-6
