level,term,group,estimate,se
country_name,(Intercept),Bulgaria,-1.6830590943781905,0.05906658113804449
country_name,(Intercept),Central African Republic,-0.3081681770165111,0.058198612099450577
country_name,(Intercept),China,-0.15147622778145575,0.02879370853652968
country_name,(Intercept),Cote d'Ivoire,-0.6352004845172262,0.05814015334175558
country_name,(Intercept),Cyprus,0.29769744153005934,0.08409891929839737
country_name,(Intercept),"Hong Kong SAR, China",-0.25478472515784123,0.0685717215344961
country_name,(Intercept),Malawi,1.5178291483106996,0.0580237623680606
country_name,(Intercept),Slovak Republic,0.10301016099406989,0.05837505210247355
country_name,(Intercept),Slovenia,0.5010278508866335,0.08246927383171211
country_name,(Intercept),Sri Lanka,-0.45454971312580006,0.05922019257510258
country_name,(Intercept),Switzerland,1.0784282226926534,0.059097207796780626
country_name,(Intercept),Vietnam,-0.010754402472041315,0.061923730784064795
