(Intercept),gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,personal_income,relative_income,gdp,growth
3.7949280413498196,0.01248279175422589,-0.007890447089136806,7.816093803795302e-5,0.09681244674715318,0.004194229829155581,6.621735148541181e-4,0.03781153931353117,6.089098941156251e-4,-0.4001705225042002,-0.023307070532440053
0.01248279175422589,0.0017565065968429905,1.9484100931348668e-4,-2.7643621781051807e-6,-5.983405871563399e-4,4.414326385426594e-4,-0.0012613837964644333,-0.002226842505415564,4.527688509024545e-5,-1.4175506066193592e-4,0.0010323421003962286
-0.007890447089136615,1.948410093134861e-4,6.489179275344319e-5,-7.901337885920552e-7,-3.6785463794178726e-4,1.7725747309063915e-5,-2.175907219393655e-4,-4.37604813281359e-4,2.0381688768616273e-6,9.87242302813744e-4,2.966388899825473e-4
7.816093803794988e-5,-2.7643621781051803e-6,-7.901337885920203e-7,1.1704534627803281e-8,2.666422745430245e-6,-1.1142448165347552e-6,2.543658486884737e-6,7.520093376596944e-6,-9.260805327494673e-8,-1.1681144899458857e-5,-3.904395388145599e-6
0.09681244674715245,-5.983405871563388e-4,-3.6785463794177875e-4,2.6664227454303247e-6,0.00681848637246275,7.860890934627502e-4,0.0028252759627551646,0.0015711498710098079,-3.648411918411691e-5,-0.009320400645587769,-0.002004042817802309
0.0041942298291555115,4.414326385426622e-4,1.7725747309064522e-5,-1.1142448165345843e-6,7.860890934627888e-4,0.0033801565948179337,6.135504616221715e-4,-0.00243176016766786,8.076194640174261e-5,0.001210455028035506,2.5788022708191343e-4
6.621735148539637e-4,-0.0012613837964644337,-2.1759072193935607e-4,2.5436584868847406e-6,0.0028252759627551464,6.135504616221239e-4,0.002811563260568416,0.0027483796338828234,-9.605946355110584e-5,-7.903241967929256e-4,-0.0014671305349945151
0.037811539313530325,-0.002226842505415563,-4.376048132813596e-4,7.520093376596927e-6,0.0015711498710098111,-0.002431760167667862,0.0027483796338828325,0.010620027817623605,-2.798827123044493e-4,-0.009815806192385498,-0.0024001486906671207
6.089098941156396e-4,4.527688509024544e-5,2.0381688768616083e-6,-9.26080532749456e-8,-3.6484119184116696e-5,8.076194640174284e-5,-9.605946355110592e-5,-2.798827123044499e-4,1.1045905478561717e-5,7.602246405984989e-5,3.9402841369310736e-5
-0.400170522504207,-1.4175506066193538e-4,9.87242302813716e-4,-1.1681144899458616e-5,-0.009320400645587656,0.001210455028035687,-7.903241967928943e-4,-0.009815806192385522,7.602246405984842e-5,0.04646253460655319,0.0029199284147173794
-0.023307070532439345,0.001032342100396228,2.9663888998254865e-4,-3.904395388145635e-6,-0.0020040428178023178,2.5788022708191766e-4,-0.0014671305349945232,-0.0024001486906671276,3.9402841369310573e-5,0.0029199284147170598,0.0021367432376868567
