(Intercept),gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,gdp,growth
-0.01860584921611197,0.003046099570652837,4.1941330955438667e-4,-8.497744644350191e-6,0.008899514392857029,0.014462297840881487,0.010101922836537304,0.00730709506737088,-0.0113567812497525,-0.0017103636987192798,-0.004474277314788422,-0.0026153788703878965,-0.001335180293036249,0.0024901518321693633,0.0010505819522597577,-0.0013025270914141475,-4.3545963875868903e-4,0.005669874277449953,-0.0029272292182022197,0.001621350016843824,0.00456273795469164,-0.004706014997611338,-4.246137557091298e-6,0.006374170704025465,1.3691383388635253e-4
0.022468975427805165,0.003051172184878816,7.534871512646154e-5,-4.138145268126915e-6,0.008926141666443684,0.010101922836537311,0.012105691079466503,0.004589856719818306,-0.007537451868490058,-0.0019264728712352598,-0.005339420749868074,-0.0024828886553990063,-9.458326046556275e-4,0.001223124774498397,0.0012619518441500392,-0.002375399946131581,-0.0017268829271182915,0.003065381915624697,-0.003577415668318125,-0.005278455830544855,0.003710951287195914,-0.006298166040647416,1.0950297340827938e-4,0.0033222045067939658,9.61653498653128e-4
-0.02591645705808192,0.001659569962563135,1.2260545244030643e-4,-5.025554055359845e-6,0.003436201279048388,0.007307095067370883,0.004589856719818315,0.009759494322271798,-0.00664451783862512,4.372196825420952e-4,-0.0026700232043110703,-5.692232437829755e-4,-0.0012384616430387572,0.0027516585004554823,2.155889023764516e-4,-0.0025006393103113632,-5.578495908847988e-4,0.003519076769967776,8.355759537121472e-4,0.0051273582543715284,0.005669698467017668,-0.002338864738771603,-2.4021400149868026e-5,0.00423762818630536,1.7265046871071943e-4
-0.038287070731670335,-0.002897083184385361,-3.303188259901122e-4,9.111247371414696e-6,-0.006176155567707703,-0.011356781249752491,-0.007537451868490056,-0.0066445178386251216,0.016084826854959114,0.0012029848296017584,0.0030215676892262344,0.003959187461683798,9.552030438923248e-4,-0.0016341919883151304,-0.0010874134479488902,-0.006050611709265279,0.0019117189374922518,-0.006322638791694233,0.0012271548616881076,-0.002203291824024407,-0.0074292301710342954,0.004202805847196558,-3.2938514905991965e-5,3.438181911068567e-4,6.400752040744446e-4
0.011085668859555428,-9.371820023454501e-4,-1.9934765604995395e-4,2.3547015804760714e-6,-0.0014809401847590059,-0.0017103636987192776,-0.001926472871235261,4.372196825420964e-4,0.0012029848296017576,0.002042702239311828,0.0027433512092974437,-2.3654045980002678e-4,-2.211559875731859e-4,3.785631371184711e-4,-5.829943302863026e-4,-0.0012042266021055985,-9.069160911563437e-4,-0.0013951392098157567,0.002326270861575357,1.6671718910790922e-4,-0.0013105527894910704,0.0013832949828920175,1.808624421633115e-5,-0.0022750631520893393,-9.645048522272608e-5
0.0659119199222694,-0.0013101455774782655,-3.7974136146969e-4,5.5968699869796655e-6,-0.0016873810933110205,-0.004474277314788422,-0.005339420749868072,-0.0026700232043110708,0.003021567689226236,0.0027433512092974437,0.007357213945505251,5.098988863730122e-4,1.5822232375961302e-4,-2.8612755915599435e-4,-0.0010412593474372332,3.1991464503206224e-4,-0.0024015543704057566,-0.004519644288497381,0.00348747621405467,5.506135371510511e-4,-0.0067688215020017895,0.005245200361868196,-3.5444590875179624e-5,-0.009956067191079797,-0.0010626394750265853
0.0025068531836090267,-0.0011562164256412322,-1.4686866871135263e-4,2.7607379801003702e-6,-2.980486783919523e-4,-0.0026153788703879004,-0.002482888655399008,-5.692232437829755e-4,0.0039591874616837965,-2.365404598000267e-4,5.098988863730116e-4,0.0036439386471882277,0.0010080982011259404,-1.5849937437356794e-4,-1.876755685600106e-4,1.7158873510210316e-4,5.580515160861061e-4,-0.0015090271944872555,7.226919727456298e-4,0.0033199304678903797,-0.0010867155838285155,0.0019912217852453033,-8.269324673663254e-5,-0.0012740921795482613,-0.0013433672614190499
0.004805769523256952,-6.020564325504011e-4,-7.054878050310982e-5,1.172784936011123e-6,-2.711800295041663e-4,-0.0013351802930362494,-9.458326046556286e-4,-0.0012384616430387572,9.552030438923248e-4,-2.2115598757318575e-4,1.5822232375961286e-4,0.0010080982011259408,6.17050389208295e-4,-4.80220675972742e-4,1.0004624382338273e-4,0.0015101621368707558,2.0625706829077405e-4,-2.7392606794899877e-4,2.7735503900875363e-5,5.213522792034068e-4,-2.2265109068933987e-5,2.3973762713238092e-4,-8.74739640730762e-6,-5.259398681878188e-4,-6.801695818745789e-4
-0.007146033219586933,3.297553823075177e-4,5.042350347756955e-5,-1.4049679691510974e-6,8.161043227037135e-4,0.0024901518321693698,0.0012231247744983978,0.002751658500455483,-0.0016341919883151319,3.7856313711847196e-4,-2.861275591559941e-4,-1.5849937437356791e-4,-4.802206759727418e-4,0.0011831303459126342,5.2859580097915176e-5,-0.0012998071088960307,-1.86148719567501e-4,6.696691105237616e-4,2.4405628571232154e-4,6.700513269061975e-4,7.095517996199139e-4,-5.779456884726606e-4,-3.3932698482053907e-6,0.0011141852312024634,3.224476568228994e-4
-0.0018112773253242662,2.8694597138913947e-4,4.464452476504108e-5,-9.108593320476339e-7,6.660866637659019e-4,0.0010505819522597544,0.0012619518441500369,2.155889023764513e-4,-0.0010874134479488895,-5.829943302863018e-4,-0.0010412593474372334,-1.8767556856001102e-4,1.0004624382338249e-4,5.2859580097915535e-5,4.574498945568693e-4,8.226147945767999e-4,1.103381858504978e-4,7.161952683787466e-4,-9.279052965971042e-4,-0.001026272289911163,8.646356342093364e-4,-0.0012357856022974653,1.7609934316119826e-5,0.0010644693423759576,1.0617626574734723e-4
0.049000915632620295,-5.66322299700646e-4,2.8757947635696997e-5,-1.6685641339668068e-6,-0.0010954154292906902,-0.0013025270914141496,-0.0023753999461315813,-0.0025006393103113624,-0.006050611709265279,-0.0012042266021055979,3.199146450320626e-4,1.7158873510210335e-4,0.0015101621368707554,-0.0012998071088960307,8.226147945768008e-4,0.011410715468019285,-3.2353746560064527e-4,0.0021671099476779534,-1.616921133333088e-4,0.002215660267289844,0.0034594731809464525,-3.568622807668779e-4,-2.8493622232554953e-6,-0.004712836534517655,-0.002160912895029132
