(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,confidence_institutions,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
0.8748011081004486,-0.0031904959923285607,-8.836159893894208e-4,-0.009576209850181953,-0.009072319077912018,-0.007606433721282123,-0.005597935583059737,-0.005253787393771683,-0.0020525555588906076,3.428361689231254e-4,-6.595723272021236e-4,-0.008318655806192806,-0.003270706533195152,-0.0012117693717392044,0.00134689501616154,1.7270012451213308e-5,1.0039456456272966e-6,-1.0794630672490585e-4,0.0013211813472150248,5.263348853380065e-4,8.690444227731727e-4,-0.002775745591255794,-0.0014687464799870641,2.509603238345816e-4,-0.0023528092193398154,0.00262421015087213,4.8105496932254467e-4,-0.00125159572256202,-1.5520344487999596e-5,-0.0010434882427095696,9.64542294065623e-4,-8.362971096879481e-4,-0.002063973082801528,-3.9564072277529155e-4,6.001858182188718e-5,7.726233716455778e-4,-0.003265200844587899,-0.04835284503158247,0.001235541920333335,0.02338131200510266,-0.0057419200256767135,6.650756363112573e-4
-0.003190495992328918,0.0015188697455736436,0.001385830359523038,0.0013361461392610698,0.0012326473472584563,0.001418037368755473,0.0013414439530952285,0.0013551177411981598,0.0011877697429693418,0.0012246953150532307,0.001375785657828441,0.00134749777222699,0.0013912892994678077,0.0014271274494586429,-6.132479837030765e-5,1.847424681428028e-5,-1.737126680411793e-7,1.8387092470044688e-5,-4.155365473733481e-5,3.795392127282708e-5,-5.8531565072855626e-5,7.796917929572969e-6,-1.3240199621592552e-4,-4.9236811463094365e-5,-8.040221602353815e-5,-5.561795457827287e-5,-3.625386167834716e-5,-2.8232571865337562e-5,2.6699071803978207e-6,2.9715531686984542e-5,9.106011667316634e-6,7.807264175603004e-6,-1.6449618532158764e-5,-7.191532354233945e-6,-4.700750661366629e-6,-5.8891804939221535e-6,7.467319928914889e-5,-4.7307968444334987e-4,-1.4737017539466544e-5,-8.281578837251217e-5,-1.920783814048981e-4,1.4057982556603363e-5
-8.836159893898414e-4,0.001385830359523041,0.0028220620760337906,0.00217151782059204,0.0019674027174658103,0.0022189930124345207,0.002023755040238323,0.0019910608877110408,0.0020177838810324423,0.0020618486012997715,0.0019400483042186986,0.0018898258040675403,0.0019270800782609958,0.002042207354712336,-1.633268841728493e-5,9.034538993994707e-6,-7.223155500675651e-8,1.2201438710318988e-4,1.185205692548326e-5,1.2306772986918975e-4,-2.904919340555116e-5,7.039585785556876e-5,-5.19896905737818e-5,1.1159504332001572e-5,-9.548241245735297e-5,-6.214208012234282e-5,-1.3092015375447261e-5,-1.3222687098402597e-4,2.9464982928761804e-6,1.1160479954285626e-4,-1.889303122673532e-5,3.1507655292141535e-5,-3.748901088937945e-6,-4.809231900028752e-5,1.0925354693172602e-6,1.1258529871680454e-5,6.193775227681312e-5,-6.020317457674387e-4,-2.320801958047015e-5,5.082927549377467e-4,-8.938445850661853e-4,3.3425503669785274e-5
-0.009576209850182368,0.0013361461392610696,0.002171517820592038,0.003058010939264108,0.0025311706451827364,0.0026996446274843906,0.0023147637257464678,0.0022772856190050165,0.0024773291535788618,0.0023612829533626108,0.0023250349992381004,0.002299100778206329,0.0021936132863815726,0.0024113889809655475,-3.0591895007272504e-5,1.5496982255893815e-5,-1.1830133572172839e-7,7.868046893895978e-5,-3.094884119956172e-5,5.524781726411716e-5,-3.988874497806044e-5,1.1095169889280271e-4,-3.4073166155865377e-5,4.548492146012588e-5,5.162987340136072e-6,-4.200400541146228e-5,1.1325129778937434e-4,-1.0409719960492919e-4,3.756267005314682e-6,2.7509135745153355e-5,-2.569007813143019e-5,6.006327719285991e-5,3.447899605085947e-5,-4.3849636698826176e-5,-7.223769122182282e-6,-9.158948016605186e-6,1.2094312178306909e-4,-7.313203930810093e-4,-1.345862862312475e-4,9.131161698626973e-5,-9.543614003717606e-4,4.803665869631242e-5
-0.009072319077912196,0.0012326473472584589,0.0019674027174658125,0.0025311706451827433,0.003095100594323692,0.0026948646546046603,0.0022774539412886794,0.002209659510463856,0.002405980167767898,0.0021874459035080163,0.002181020884208628,0.002232739151049618,0.0019429741528363858,0.002278105906046934,-4.774644073975542e-5,-6.672024906790958e-6,5.655928874915903e-8,1.6218209220520826e-4,7.682563742876724e-5,1.1013088445924958e-4,5.674957853023044e-5,1.2317251863514186e-4,1.0619524239538066e-4,1.1529395370681938e-4,4.714564940042852e-5,-1.0365703554349341e-4,1.3912750110236326e-4,-2.5621626606135882e-05,1.38834247609621e-6,1.3423564953153662e-4,-3.300748602802027e-5,5.015392894163531e-5,4.100335734187731e-5,-3.8391399213423914e-5,6.6994312702985265e-6,-2.0020636123944235e-5,1.0736310259656999e-4,-6.299155709695593e-4,-9.680657038057253e-5,3.921867334248083e-4,-9.404278594072733e-4,3.938793324411537e-5
-0.007606433721281921,0.0014180373687554763,0.0022189930124345194,0.0026996446274843927,0.0026948646546046564,0.0035308400782399253,0.002719042486127547,0.0026783008962745136,0.0027666010442869873,0.0026419885897395424,0.0027186899185139175,0.002600982034291644,0.0025308445865894896,0.002803718087527657,-1.6014673906373055e-4,-8.503506231108436e-6,9.267184057329498e-8,7.593436449943282e-5,-1.3110001564694171e-5,9.163107622005855e-5,4.890980072848205e-5,4.7657229913375564e-5,3.428517888964829e-6,5.86663535891376e-5,1.644462712248326e-5,-1.859566979805157e-4,1.5623189397717403e-4,-4.384964986504269e-5,1.845614073527941e-6,1.1967136663082913e-4,-2.2196869942138612e-5,4.4746402829792616e-5,2.3468396261688304e-5,-4.603102609522055e-5,1.2054250455918825e-5,-2.06633196835094e-5,1.1753464800390186e-4,-7.785070625918628e-4,-9.901206563465958e-5,4.021109120086032e-4,-0.001237266650151142,4.695504825596973e-5
-0.005597935583059492,0.0013414439530952309,0.0020237550402383234,0.0023147637257464725,0.0022774539412886777,0.0027190424861275493,0.0030472411910070323,0.00255954757657317,0.002607595555264199,0.0025285296199436514,0.002534858974094046,0.0027588638066990486,0.0025256124527254075,0.0027670052384398047,-5.777557925582569e-5,7.134970874041481e-6,-8.380182018252282e-8,8.863304268067929e-5,-3.135983861617382e-5,4.9195698275698384e-5,-3.583572290049244e-5,8.696265860371281e-5,-7.146269141239607e-5,-1.5468549803772366e-5,-7.809702377160752e-5,-1.626644351993792e-4,4.5368324733996715e-5,-9.470166044799972e-5,1.8217571775926474e-6,7.677642285115196e-5,-9.504025150663283e-6,3.1217018625298436e-5,-1.1537666508752957e-5,-2.5302902852254787e-5,1.7137575982053067e-5,-1.415341352368068e-5,8.684406751006088e-5,-5.394508909113519e-4,-4.84109867395142e-5,8.444633926514031e-4,-0.0014673803587198614,2.77531523769312e-5
-0.005253787393771218,0.0013551177411981674,0.0019910608877110464,0.0022772856190050273,0.002209659510463863,0.0026783008962745197,0.0025595475765731756,0.00288161239439338,0.002851181832817417,0.002768945132548916,0.002688327980679918,0.0025471359158322944,0.002554109484139258,0.0027513582757706413,-5.147074626722031e-5,6.577826657951939e-6,-8.559342927321204e-8,9.937482051819004e-5,1.7046374302021214e-5,8.928045105242508e-5,-2.5753068287069913e-5,1.0909513622473996e-4,-5.4354877871138394e-5,-1.0612357076538306e-5,-9.88586067128204e-5,-9.891794505155962e-5,4.133321320846464e-5,-1.8231629695423103e-4,4.958885125496872e-6,1.1673668384441716e-4,-3.201302669181283e-6,3.9741275398482506e-5,-1.0544546520042298e-5,-2.6919648157306206e-5,9.299174783965128e-6,-1.5381645502193303e-5,8.81712913870916e-5,-5.879130616885925e-4,-9.64828412055262e-5,4.7523455349490843e-4,-0.0012661907244102457,3.493830338063817e-5
-0.0020525555588897957,0.001187769742969344,0.002017783881032443,0.0024773291535788687,0.002405980167767897,0.0027666010442869877,0.0026075955552641995,0.0028511818328174126,0.0038181678624015945,0.003421158967225185,0.003308661881428084,0.003076194878645039,0.003067141576083628,0.0031997625336593507,5.169992676394715e-5,1.1366708028775389e-5,-9.747352622625889e-8,7.651999760387135e-5,-1.1590320337867375e-5,1.9788211883030135e-5,-4.729093893507467e-5,2.820324624513536e-5,-8.634559399872358e-5,1.0492417797981234e-8,-1.0251457194917272e-4,-2.229798630582086e-5,6.771952335176955e-5,-2.866899488611963e-4,7.384172286010621e-6,7.27287137635298e-5,-1.3066005282331211e-5,6.914519662769616e-5,-2.9613855049732545e-5,-7.164453767136982e-5,3.1204491864253716e-6,-1.726030773273556e-5,5.8801926557231624e-5,-1.602553829822972e-4,-1.4960236505162086e-4,3.801745980926913e-4,-0.0015996997410989335,3.545113918105377e-5
3.4283616892292904e-4,0.001224695315053241,0.00206184860129978,0.0023612829533626234,0.0021874459035080194,0.0026419885897395433,0.00252852961994365,0.0027689451325489077,0.0034211589672251777,0.0037206888602541004,0.003472312643442995,0.003048121908904063,0.003105068797308357,0.0032320232758283572,6.725546177238887e-6,1.6315251385072246e-5,-1.4573049559838358e-7,3.4028884482709235e-5,-4.328603070612389e-5,-1.165006600800808e-6,-3.6104385056705785e-5,8.870429087668829e-5,-5.338521892934188e-5,-3.802421865444872e-6,-5.358882643293358e-5,-6.214160116490764e-5,9.046045257875774e-5,-3.2712401184551527e-4,8.157702269158479e-6,9.070410889531344e-5,-1.1817233764560474e-5,7.672099883524017e-5,-5.4969604027864566e-5,-8.322030310697742e-5,-2.8900285651611646e-6,-6.031369740744096e-6,5.395288383586241e-5,-1.2503579992876948e-4,-1.630678870303533e-4,3.5430392992231985e-4,-0.0013521925962295598,2.9747885759462093e-5
