(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection,personal_income:social_protection,social_protection:relative_income,social_protection:gdp,social_protection:growth
0.8807900765760769,-0.006304607457037286,-0.004057736322157705,-0.012342834461522317,-0.011937581032408388,-0.01184714932307874,-0.009836648490247365,-0.008930610332125444,-0.005812604679514841,-0.0063030247083987745,-0.00924235865863761,-0.011350811991657458,-0.005489987729195024,-0.005206647826490548,0.0027255182881402843,1.2572982579981497e-4,-1.8501093365270636e-6,0.0022025332550478205,0.003169573730312964,0.0013502878942254592,0.001541518459154286,-0.0010843067373025096,-5.402467113433795e-4,-1.2692975063831669e-4,-0.0023975741039712986,0.001905640648898954,5.432330928815606e-4,0.0030401407797045507,-2.29431330463685e-4,9.185547774736354e-4,-8.025867368351824e-4,-0.0018698518955382092,5.904486773333899e-6,-8.358684636666966e-5,9.064057388697959e-4,-0.003177379124990385,-0.055465362389802396,0.0025927105875697748,0.016997794561874235,-0.006655325242551581,-0.005626875089808252,-4.898273865422115e-5,3.589043153406846e-6,6.089548768620078e-4,-2.310035051944754e-5
-0.006304607457036398,0.001466078819840068,0.0012701515539924023,0.0012850303986861047,0.001205824275593871,0.0013557753307278252,0.001298868105240396,0.001303866416388213,0.0011659765693925886,0.001217613433286394,0.0013577138608057927,0.0012527032215175248,0.001303185929628121,0.001353849030258192,-7.142372998479026e-5,1.0873958531059613e-5,-8.13034401185165e-8,1.4453718687348376e-5,-4.088774554904102e-5,2.143442110521145e-5,-4.892000868950443e-5,5.349967410998177e-6,-9.710381455669482e-5,-4.074750528547839e-5,-4.1984846676018e-5,-5.795093281243351e-5,-5.1772938683371624e-5,-1.115250748689261e-4,8.840646679602307e-6,-5.915585494459273e-7,1.3569184555168372e-5,-1.5545259698239897e-5,-1.3284364422664265e-5,-3.1695651149937263e-6,-6.408701899777826e-6,6.650149146124695e-5,3.7125752513858567e-5,1.8426859448068644e-5,-1.3383712866861088e-4,-6.648833830356845e-5,1.1947997302322089e-4,8.039126214504715e-7,-9.95287806864499e-8,-1.0473594843694581e-5,-7.847003768808758e-7
-0.004057736322155883,0.0012701515539924072,0.0027449316173458536,0.002057394562015775,0.001856540447249135,0.0020874306557399904,0.0019052684538220174,0.0018223419592025667,0.0018783760680100062,0.001957148657478583,0.001805608516349552,0.0017240733546814815,0.0017202210929306344,0.0018594729756407765,-1.0567515341733812e-5,4.3389038430906915e-6,5.846743888002302e-9,9.487530539134188e-5,-1.5974827222703087e-5,9.846902798641476e-5,-2.887461000663411e-5,8.103448434386029e-5,-3.544760515604268e-5,1.112581428466354e-5,-8.252973381165548e-5,-7.890644602620952e-5,-5.295658390464825e-5,-1.7413273598215068e-4,4.062183562817533e-6,-2.2186562728069394e-5,3.275262974677554e-5,-1.1124865492767043e-5,-6.043389796017514e-5,-1.6757511623600298e-7,1.1030310621979133e-5,6.121178578999749e-5,-1.5542578966725105e-5,1.3790248725154075e-5,4.3434043435428406e-4,-7.403437226166727e-4,1.4774222972774865e-4,1.4955418460292714e-6,-5.37139871378132e-8,-1.2354486480349923e-5,-9.30878297687429e-7
-0.012342834461521245,0.0012850303986861032,0.0020573945620157696,0.0029694141723448537,0.0024480864062443905,0.0025899174132030535,0.0022687933724034855,0.002157987557707731,0.0023406812952167654,0.0022147292618665427,0.0021511572029436444,0.0021371808036886276,0.0019896038415921293,0.0022027825870359406,-4.063775970128748e-5,8.356262052087786e-6,-1.0197316256519183e-8,5.7243720289533165e-5,-5.719525367478739e-5,-1.5481313905487093e-7,-3.6418591121063843e-5,1.2702622657053273e-4,-1.347182247501211e-5,5.449502921202546e-5,3.285792043122794e-5,-8.443203343561339e-5,7.135906399537362e-5,-1.8389865734155033e-4,1.060927689084928e-5,-3.150997105486327e-5,5.7842983178119396e-5,3.192786112339814e-5,-4.3443094323857004e-5,-2.2159375432766267e-6,-5.400198414304221e-6,1.2494385255050735e-4,-3.970878262710339e-4,-8.219097180967114e-5,1.0545385220228913e-4,-7.765177514247798e-4,1.1692775517182148e-4,1.426434457676361e-6,-1.2735556953214063e-7,-7.838245052878128e-6,-1.1025649676117853e-6
-0.011937581032407024,0.001205824275593868,0.0018565404472491232,0.002448086406244386,0.002962298047312151,0.002563750912079912,0.002217520099553097,0.002077956634985784,0.0022751505291461038,0.002057154104198527,0.0020337487707941136,0.0020860087585129797,0.0017488400692684221,0.002098564826102361,-5.115042449046426e-5,-1.3405666004735453e-5,1.7023275057569783e-7,1.259132814738379e-4,3.691706795181026e-5,6.19055705424873e-5,4.4198355784233976e-5,1.3358160349102803e-4,1.1506694888199775e-4,1.3409316282922496e-4,8.288319742392827e-5,-1.565053199135484e-4,9.986350796841053e-5,-4.441287987609983e-5,6.461963245788572e-6,-3.866625785761879e-5,4.732111309045414e-5,3.2123866284231466e-5,-4.075078246109126e-5,1.1867216143383417e-5,-1.474040898907351e-5,1.1856365924106115e-4,-3.2329701316657786e-4,-5.0792222395289986e-5,4.780400753068592e-4,-8.432290043172841e-4,1.2358798579443855e-4,-5.318411102668629e-7,-9.019007858700734e-8,-7.894740277990552e-6,-9.630346587732425e-7
-0.01184714932307756,0.0013557753307278239,0.002087430655739984,0.0025899174132030544,0.0025637509120799164,0.0034311817447629815,0.0026482119019324317,0.002550295695718526,0.002600501064842393,0.002479310115464873,0.002555778141049987,0.0024868133509136857,0.00232264810078458,0.0026131625884002075,-1.9017615317567653e-4,-1.3492107414991206e-5,1.831090193590293e-7,3.663858548769263e-5,-5.390738352937394e-5,6.14009198144676e-5,7.924920240793148e-5,5.270208971771712e-5,-1.199677939278618e-6,7.856845604402146e-5,5.667935334388839e-5,-2.1177311988542101e-4,1.2513864822619154e-4,-6.54222662973947e-5,5.232746215605059e-6,-2.3867150385618594e-5,4.238624084467805e-5,1.5249689602443213e-5,-5.2545550315144006e-5,1.700223931729933e-5,-2.183289592818907e-5,1.2663452399706474e-4,-2.5125740284453807e-4,-8.231901565070265e-5,3.5679603888317553e-4,-0.0010101564534588335,1.671829550704157e-4,-8.960198842338543e-8,-6.319612949385957e-8,-1.2000193291235875e-5,-5.088509421864946e-7
-0.009836648490246019,0.0012988681052403962,0.0019052684538220076,0.002268793372403486,0.002217520099553102,0.002648211901932429,0.0030513358312684283,0.002545601331426654,0.002547954394255668,0.00248252558731021,0.002509131897387219,0.0026009888586220036,0.002388897427088445,0.002661076915813316,-9.404305159680823e-5,2.66382802762327e-6,1.4684730082956934e-9,4.8324102607413946e-5,-6.818101840121388e-5,1.595372644712207e-5,-1.7360254654693447e-5,8.534391810834275e-5,-7.608029657321408e-5,-3.130833278951656e-6,-3.4768980470311714e-5,-1.6776946270139753e-4,1.2736384209218876e-5,1.588082790887417e-5,-3.840627927510666e-6,-1.2746409750725952e-5,3.058154043378802e-5,-1.620472155483157e-5,-3.5073479352753455e-5,1.7676813248798366e-5,-1.2078509557027183e-5,9.884668970326722e-5,-1.4128090177762865e-4,2.3800278257302246e-5,7.672914748506968e-4,-0.0012533472264031876,1.8109890095986385e-4,-9.590013417631544e-7,5.482625943416743e-8,-1.4386399183779008e-5,-1.8595332272241964e-6
-0.008930610332124184,0.0013038664163882144,0.0018223419592025608,0.0021579875577077343,0.0020779566349857937,0.0025502956957185277,0.002545601331426657,0.0028185516879119703,0.0027815965707490204,0.0027108128246755092,0.0026584286301234695,0.0023912463849642377,0.002391398541121019,0.002644381111629334,-7.598448663249638e-5,2.201117367720188e-6,5.374352138258905e-9,5.7329039337684544e-5,-2.397107396110623e-5,6.195631890447218e-5,-1.7043978223645878e-5,9.688326858577566e-5,-6.35483701758857e-5,3.248509781400074e-6,-5.922989944745686e-5,-1.0325634530003706e-4,2.081818898643389e-6,-2.079931626988079e-4,4.711384948603298e-6,-7.210937474879177e-6,3.96658997683931e-5,-1.858546342754375e-5,-3.581290021359868e-5,1.2594418522409422e-5,-1.1377425651886579e-5,8.845420929641266e-5,-5.662177301008283e-5,-2.1762424561624033e-5,5.250543097700338e-4,-0.0010649543510809747,2.2954300380569328e-4,1.907672463242726e-6,-5.7551936871678156e-8,-2.0512025528029505e-5,-1.6037722520133007e-6
-0.0058126046795132615,0.0011659765693925956,0.0018783760680100038,0.0023406812952167723,0.00227515052914612,0.0026005010648423987,0.002547954394255677,0.0027815965707490256,0.0037629511202973663,0.00337926491175574,0.0033136525196689796,0.002929522228040616,0.002950090318333869,0.0031677841279453022,5.782761846948148e-5,8.184084546202274e-6,-2.1180801337509588e-8,2.8503077422283707e-5,-4.5070502500434106e-5,-2.1145730219292848e-5,-7.919267788134406e-5,-6.126428396161581e-6,-9.249102462735279e-5,8.95342508799445e-6,-4.260026579392878e-5,-2.4597677775058156e-5,2.0993217675480746e-5,-3.2451138045265276e-4,8.214315438255236e-6,-1.4778441796335694e-5,6.670351477825914e-5,-2.5229489745917786e-5,-7.823668024866671e-5,4.779163955290907e-6,-1.4638990528105965e-5,5.699201281940987e-5,2.742244610004055e-4,-2.887282668611552e-5,4.1591875760992085e-4,-0.0014422383321650621,2.778456272269177e-4,2.372192643473789e-6,-7.830312297813315e-8,-2.4805870742395624e-5,-2.0609499459390176e-6
-0.006303024708397062,0.0012176134332863968,0.0019571486574785748,0.002214729261866546,0.002057154104198536,0.0024793101154648735,0.002482525587310211,0.0027108128246755066,0.0033792649117557294,0.0037083680494809385,0.003523943721897475,0.002958975874797491,0.0030466123449343413,0.0032623186946893075,1.0384553039529502e-5,1.3439695964648148e-5,-8.135881988862737e-8,-1.396565469501828e-5,-7.222785932334553e-5,-3.102865478135373e-5,-7.019381963794348e-5,4.7566865179041655e-5,-6.399977345555855e-5,1.4711740260847742e-6,5.065496349311806e-6,-6.673207482125581e-5,4.455044459517192e-5,-3.454868641627285e-4,6.036269867503541e-6,-1.3206170157347494e-05,7.471333150692394e-5,-5.0616618675103814e-5,-9.379814447190713e-5,-4.430349346261231e-6,-5.3590472251664305e-6,5.6761726531125044e-5,6.363962592376215e-4,-2.0186812693488782e-5,4.431460181590747e-4,-0.0011524991058494295,3.7214493130558233e-4,2.5703600017105027e-6,-4.8092825677661834e-8,-3.498852636724794e-5,-2.1749296976254574e-6
