(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth
2.7139330607861724e-4,1.1239372600806801e-5,1.1710341070569634e-5,1.2375532689401508e-5,-7.64218030788481e-6,-1.1965972652010998e-5,7.727398907967067e-6,4.382458789666524e-6,1.279426991623936e-5,2.0646399233401653e-5,1.8975879423345713e-5,3.281362835343746e-5,2.3815193636954762e-5,2.2578701753067815e-5,1.0827077032187439e-5,6.494088069653336e-6,-6.333548919219214e-8,-1.8083484304040024e-5,-2.2801745537522824e-5,-1.3183295835548406e-5,-2.146602059381232e-5,-5.578805491027818e-6,-3.052560412700028e-5,-1.4654927557313976e-5,-1.630848566412141e-5,1.5756018675264832e-5,-1.385035920162023e-5,-4.622886933083782e-6,2.565066244840981e-7,8.620051014112442e-7,1.1001247407869773e-6,-1.4846492837090186e-6,-2.072515919260539e-7,-1.5140117060278061e-6,-5.427032723910465e-7,-1.1473621440484885e-6,-9.266024608544683e-6,1.4651708993524269e-6
-2.333730091113173e-6,-1.0537450374627688e-7,-9.095106862879372e-8,-9.066666066590993e-8,7.137038786357668e-8,1.1862528118260191e-7,-9.346731991505954e-8,-7.819662110457214e-8,-1.388231409260158e-7,-2.2496271660060272e-7,-2.1348366133112164e-7,-4.3890684442552605e-7,-3.775156330090639e-7,-3.486470423902049e-7,-1.2378065076179445e-7,-6.333548919219193e-8,7.055861594729484e-10,1.5251907110830074e-7,1.739260769700678e-7,1.1483600675761417e-7,1.734008433681538e-7,4.762977698994154e-8,2.527592168036839e-7,1.3920509605388436e-7,1.448948340481425e-7,-1.1784134174715673e-7,9.484349620678505e-8,7.323343685678898e-8,-3.6066947617699483e-9,-9.27122061706599e-9,-1.0262460216996417e-8,1.3687123067107598e-8,-1.2877424686105223e-9,1.4051940256151422e-8,4.596636698586205e-9,6.023286175638472e-9,1.5013404997414682e-7,-3.1596215511839166e-8
-6.292820490260493e-4,2.2515021855594036e-5,5.879875317400006e-5,5.224073279578308e-5,1.0670617971382881e-4,4.4885842679422045e-5,3.9159489314260194e-5,5.644044316380863e-5,2.5977789852934423e-5,-1.5606838839187127e-5,-1.0877930624298915e-4,-9.42622465282766e-5,-5.751107273467595e-5,-3.571844681934362e-5,1.1442411689800158e-5,-1.8083484304040085e-5,1.5251907110830257e-7,2.654860694772607e-4,2.094523386977131e-4,1.3797488430394435e-4,1.1269699123239942e-4,7.196576372934125e-5,2.2244887674870305e-4,6.836458793709384e-5,3.902681444255753e-5,-6.717036408241281e-5,8.637001614794275e-5,-5.942136001601986e-6,-1.047536007388995e-6,-1.1867961700389558e-6,-2.567401439028212e-6,1.2796135964093352e-6,2.3087615800914976e-7,3.1461074846969e-6,6.278805729426423e-6,-4.073961922182836e-6,4.6199361702909624e-5,-9.931531688532552e-6
1.2566067837791592e-4,-7.323072931080039e-6,-9.286820401852195e-6,-2.93702636589569e-5,4.1468162115592526e-5,-2.0506857525374453e-5,-4.414056859070163e-5,6.5023814485854686e-6,-1.3634892841035736e-5,-4.6874141370125694e-5,-1.2349825885853445e-4,-1.0416381264056468e-4,-9.24995450734619e-5,-1.7144242435366504e-5,2.399883213326444e-5,-2.2801745537522767e-5,1.7392607697006846e-7,2.0945233869771256e-4,3.315491046534578e-4,1.65956710056067e-4,8.913209281193537e-5,4.011714162021943e-5,2.0638576687250504e-4,6.76493725445051e-5,2.4997024427217242e-5,-6.116377553948403e-5,8.721395220537043e-5,-1.4588980715299035e-5,-1.2402367226726894e-6,3.598640762423728e-7,-7.301178907274363e-6,2.9441455577394173e-6,3.6059041989555445e-6,8.429084911204697e-6,6.780930852938791e-6,-5.177940448890517e-6,-4.591871605071559e-5,-1.1148153575905704e-6
-3.9758476586938937e-4,3.95600994220954e-5,9.311621273406377e-5,1.350340469649156e-5,7.067383297819746e-5,4.6506645465783556e-5,-1.3561804250912879e-5,3.093456722123537e-5,-4.4150070745083175e-5,-7.288794519115356e-5,-1.0906467898249162e-4,-8.991695639639203e-5,-1.3172419613588897e-4,-6.255585646885169e-5,-5.7603965940142395e-6,-1.3183295835548411e-5,1.1483600675761478e-7,1.379748843039447e-4,1.659567100560673e-4,2.770840572296915e-4,2.6563423687433844e-5,1.578480933990656e-5,8.446387330240008e-5,3.9705604983950455e-5,-3.352975479816913e-5,-2.2486357069536917e-5,3.8104494996099326e-5,8.327149399338507e-6,-1.9643933928634704e-6,-3.088417392622596e-6,-4.953187855466921e-6,-6.7903108773208895e-6,8.079392161777034e-6,5.088216746989067e-6,7.1768785395486385e-6,-2.8297600075141977e-7,2.0546807940926946e-5,2.962668219967962e-6
-9.320339576752447e-4,-5.723935097321577e-5,-8.1071694297005e-5,-5.023263579163565e-5,4.453316581037422e-5,8.894269142471676e-5,-2.6350521624483313e-5,-1.1369137716463537e-5,-8.130326792316436e-5,-9.838878462229696e-5,-1.411644716367964e-4,-1.4259021001569123e-4,-1.197404132187532e-4,-1.698572172270336e-4,-7.417492591517614e-5,-2.146602059381235e-5,1.7340084336815378e-7,1.1269699123239949e-4,8.913209281193557e-5,2.6563423687433807e-5,2.775458148305892e-4,3.542571070322122e-5,1.759694458813353e-4,5.841895992618471e-5,1.0566096534244961e-4,-5.490112211972168e-5,1.279722620229956e-4,-1.1703890676826871e-5,6.355134595143217e-7,2.7974967560553947e-6,-5.175364452243514e-6,4.2927069700687825e-6,-1.0739858134035656e-6,4.433403356224474e-6,2.8707886164155975e-6,7.385523847155272e-6,-2.7999963245443634e-5,-3.6028443291194382e-6
-0.001840390234523113,4.984878309786184e-5,1.2003612754493186e-4,1.4405772385329797e-4,1.6431884113580515e-4,1.3061471512476833e-4,1.4189311930462386e-4,1.7979872063424979e-4,8.645108934737384e-5,1.3669076301223312e-4,8.202320432204355e-5,5.529137011797213e-5,7.256014949005756e-5,6.285094009219831e-5,-1.9731851774880573e-5,-5.578805491027824e-6,4.7629776989941625e-8,7.196576372934126e-5,4.0117141620219325e-5,1.5784809339906563e-5,3.542571070322128e-5,2.54203476639389e-4,1.0753372686396511e-4,5.1946403082496783e-5,-1.3730646925057829e-5,-8.238925589088793e-5,4.066842743173462e-5,2.2484878715491067e-5,-1.2889358674768406e-6,-1.197734801167128e-5,1.124022924970433e-5,-3.525560840375408e-6,1.079033237321048e-5,-3.0245527802273606e-6,6.505873919900239e-6,3.889150835567148e-6,3.454936588645302e-6,-1.0688335125474322e-5
-0.0030365892244760212,-7.59955606872083e-5,-8.880066295774568e-5,-3.5140281745563355e-5,1.1717876047251801e-4,4.8463049311117235e-5,-9.465707614376222e-5,-6.314167075957387e-5,-1.052402838502524e-4,-1.0890002993329051e-4,-1.8497339196889596e-4,-2.017095050560649e-4,-1.6152858345328948e-4,-1.394661384786047e-4,-1.072750132787564e-6,-3.052560412700042e-5,2.5275921680368425e-7,2.2244887674870332e-4,2.063857668725049e-4,8.446387330240014e-5,1.7596944588133532e-4,1.0753372686396489e-4,4.874551782011603e-4,1.3534337149078503e-4,1.0755458039511971e-4,-1.4691923164386202e-4,1.5454895133289553e-4,1.7522739785351758e-5,-2.3373535434218097e-6,-1.1244410692920311e-5,1.6735753193713629e-06,1.53220369856492e-5,4.51324896410806e-6,6.747250716671678e-6,8.013345382707619e-6,-7.137970035962442e-7,1.1892458333063378e-4,5.498061808490695e-6
-0.0012000401005139078,-3.8646473206677275e-5,-1.2885250983964797e-5,2.8650261227124142e-5,1.0733576114471116e-4,6.921426919090381e-5,-2.8022271452414268e-5,-1.0374966587181105e-5,-2.0552256538695857e-5,-4.0366981593476565e-5,-3.162659591791973e-5,-1.2695019799982356e-4,-7.567547423544448e-5,-1.1380065051040406e-4,-2.710880413582569e-5,-1.4654927557313964e-5,1.3920509605388436e-7,6.836458793709381e-5,6.764937254450507e-5,3.970560498395049e-5,5.841895992618473e-5,5.194640308249676e-5,1.353433714907851e-4,1.2660348524047232e-4,4.732052371625254e-5,-4.827459388381414e-5,8.536372609795287e-5,1.5080856061522157e-5,-9.438367603651837e-7,-5.400101385506573e-6,2.017965811117438e-6,-1.0180835908519907e-6,-4.072744441941039e-6,3.2426551556953644e-6,2.0857811736569797e-6,7.728030350486477e-6,7.20716619342693e-5,-1.224726534205826e-5
-0.0023609922333031226,-5.9620242410451164e-5,-1.3302932773205919e-4,-1.4645644499045478e-5,2.2295460484100706e-5,6.7346401555361786e-6,-9.48151982416522e-5,-1.0271468373705988e-4,-1.0482395839464614e-4,-5.962203874662529e-5,-2.9004476112913904e-5,-1.119469307663586e-4,-7.567068176648785e-6,-8.144977112470193e-5,-6.375773498111471e-5,-1.6308485664121407e-5,1.4489483404814245e-7,3.902681444255748e-5,2.4997024427217164e-5,-3.352975479816913e-5,1.0566096534244966e-4,-1.3730646925057824e-5,1.0755458039511978e-4,4.7320523716252536e-5,2.7627820321684133e-4,-8.347987567310243e-6,1.0147307755657731e-4,1.0115461566010236e-5,1.634680924848945e-6,1.0418739514643814e-6,5.822780783102652e-6,2.169424156914369e-5,-5.640986719016164e-6,4.648573209134593e-6,-7.927377366302351e-6,1.3272304853319112e-5,-6.138556109357783e-5,-1.5200714067318352e-5
