(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth
-0.001122701069983499,0.0012209726216040595,0.002012708084630234,0.002072712453867387,0.001990146233201536,0.0024691533947166287,0.002608705099242124,0.0027957269900431405,0.003208779174244203,0.0035591209616787603,0.0038861180635915266,0.0030962043231032416,0.0032814970404442235,0.0030010011756167083,-1.1151987814196123e-5,1.8945585373629214e-5,-1.551418242393806e-7,-1.5093078239560245e-4,-1.7471870632481903e-4,-8.619266008944884e-5,-1.074635380613102e-4,5.894871392718856e-5,-2.5100643849883844e-4,5.3292466843474107e-5,1.872314676299202e-5,1.2488491180596916e-5,-2.5687622786618717e-5,-6.099749837309069e-5,3.20874842792031e-5,2.9914090646785e-6,1.1989980788973388e-5,-1.7156132917096003e-5,-1.1415355864954855e-4,-3.9517207412720064e-5,-1.7024702319261417e-4,5.237739835354675e-6,-7.578459523461765e-6,6.244748414749174e-5,-6.1012421074733015e-5,9.881657163896342e-6,2.3765817923713802e-5,-1.1416328008816825e-6,-2.8728587157317534e-5,2.5063463389044243e-6,-2.5127574745979916e-5,-2.3475455262814815e-6,-3.096396534424905e-5,2.3213585941819315e-5,7.775807053166133e-5,-2.262913697798977e-5,-4.276196471511563e-4,-1.3499376065955203e-4
-0.002454983034506457,0.0013369281252063837,0.0020610635277823483,0.0022115761795224917,0.0021380015948288685,0.0024605690900266312,0.0026639100786043416,0.0025310010557298944,0.0029601539406821963,0.003073344489719272,0.0030962043231032494,0.003969429008189368,0.0034375422759949006,0.0031181180355257638,7.876804439722433e-5,3.0254378313694233e-5,-2.950815495222804e-7,-1.4520561546851573e-4,-1.729156244048714e-4,-6.345061522641861e-5,-1.5955685869073656e-4,-5.542889045324161e-6,-2.864401519072491e-4,3.364859518190229e-5,5.834424935690737e-6,-2.574646900428062e-5,-9.761985833667569e-5,-1.2927743970064155e-4,5.455677852231121e-5,-8.29002050752416e-5,2.8612565287662965e-5,-9.298831619358516e-5,-1.659575438501851e-4,-7.463214314988387e-5,-1.5243904690058103e-4,5.581700682247721e-6,-1.7133213293837084e-5,5.4589365792189665e-5,-4.894688050190811e-5,4.044046857938997e-8,1.2286674594398624e-5,8.872755832626112e-6,-2.698957368426835e-5,1.1273987628381922e-5,-2.6183440686937256e-5,-7.1044061888600655e-6,-3.609885066221881e-5,4.298631584259065e-6,7.543918108779508e-5,-1.760321190554917e-5,-8.750170281192347e-5,-2.9364276547225395e-5
5.2243041368651405e-5,0.0012818966821838995,0.0020047700102857296,0.00206306780214428,0.0019106077533316739,0.002384047363428898,0.002597068219673228,0.0026332943941468094,0.0030684014389073828,0.00323484069005646,0.003281497040444234,0.003437542275994904,0.003851270244480487,0.0031885090933704316,6.419140563072349e-5,2.318454057012729e-5,-2.7187714469978785e-7,-9.155035631630345e-5,-1.3156204548856208e-4,-8.090612304766781e-5,-1.268370405300851e-4,3.6953301879331784e-5,-2.504495166961485e-4,4.128912772939213e-5,1.0766967936651586e-5,-1.881750620567308e-5,-3.721270366447145e-5,-8.435494273674602e-5,7.228031140425933e-5,-6.960432747136686e-5,2.2618475756767077e-5,-3.6507031313897115e-5,-1.0133743958762994e-4,-9.43448613753323e-6,-1.5638350500403933e-4,7.179946351422141e-6,-5.160813525522054e-7,5.27071417348992e-5,-5.9853517640098074e-5,-2.483541855135436e-6,1.9973821456500715e-5,-4.727810226210592e-6,-2.4651192122802562e-5,8.762083373137948e-6,-2.8591413143326243e-5,1.650095205320997e-7,-3.781741899874072e-5,2.595639667564814e-5,6.497129871315188e-5,-1.9757907683211952e-5,-3.901725555135561e-4,-5.34447248270812e-5
0.0014335705257063007,0.0011976547932540226,0.0018396938800550348,0.002059407838541505,0.0019723812339580175,0.002362231940709314,0.0025459196279077607,0.002497438318946621,0.0028525234821256693,0.0030241450610396545,0.0030010011756167222,0.0031181180355257716,0.0031885090933704324,0.003541009833101074,4.978166129924e-5,1.7479802109393316e-5,-2.156441594919761e-7,-4.4763228005794724e-5,-4.8979847693648294e-5,-3.3830440712354875e-5,-1.3034578095994065e-4,3.379094232211176e-5,-1.4418978526790387e-4,4.611926366630025e-5,2.0337558151792128e-5,-1.0167407640879974e-5,-4.178363965840353e-5,-9.31115947177378e-5,7.896267709965614e-5,-5.488285917214984e-5,4.770195077937199e-5,-2.9120901975458935e-5,-9.496823490736918e-5,-3.946146149902671e-6,-9.552997689519019e-5,3.8967428082143906e-6,-1.3709534346761978e-5,5.718556461152214e-5,-4.073044455924457e-5,8.880708700972657e-6,4.217339867177407e-6,4.7430761944708734e-6,-1.7673644154462333e-5,1.679458308211519e-5,-3.446185498838253e-5,-5.252905538603662e-8,-3.116535733493938e-5,4.535833221285767e-6,6.0007492366958263e-5,-1.4180090191145832e-5,-5.979219122678398e-4,-5.634434049387382e-5
0.002523767277539064,-2.3868212867171283e-5,3.6863598817743387e-5,-5.042828630742105e-6,-2.5936901283795565e-5,-1.3126820881106203e-4,-3.2443652156667984e-5,-4.1253140761867846e-5,4.542806409635277e-5,3.557908755962037e-5,-1.1151987814196238e-5,7.876804439722423e-5,6.419140563072329e-5,4.978166129923993e-5,1.7507723941147745e-4,1.2640174998047497e-5,-1.3049622517659094e-7,-8.847862338199041e-6,2.100269424326561e-6,-1.653342525053363e-5,-7.586605414293635e-5,-2.7455452196162138e-5,-2.9660881357251965e-5,-1.1354578444058762e-5,-2.1787065379916985e-5,-1.975489973898837e-5,-6.359034946959266e-6,-6.146327166249316e-5,-3.0265050463550977e-5,3.0063955492280867e-5,-1.1267655742626886e-5,-6.030520196887054e-5,-6.814713148801713e-5,-5.9538199448422145e-5,-1.1683008479374094e-5,-9.472399751825535e-8,-2.0122164854475328e-6,1.5287366207664536e-6,-4.411716207199583e-6,4.232198721598736e-6,-4.096663014870619e-6,3.952091483998871e-6,1.7756075320356294e-6,3.2059237141252964e-6,-7.4250280402668985e-6,3.1661767944675878e-6,-3.7863603218151305e-6,-3.0150584940210028e-6,-1.2226567071024728e-5,-2.5791549057602917e-7,-7.79897641275398e-5,1.6605577456430025e-5
1.2062731260322999e-4,1.2016097355611128e-5,1.4499364786657281e-5,1.3935472271461197e-5,-7.080092292895435e-6,-5.65298735751768e-6,9.336649535288152e-6,5.068594856521901e-6,1.33271657997607e-5,1.8532033352254154e-5,1.8945585373629275e-5,3.0254378313694247e-5,2.3184540570127198e-5,1.747980210939337e-5,1.2640174998047494e-5,6.114178590674258e-6,-5.916205143186199e-8,-1.6155008468919505e-5,-2.0838503952370414e-5,-1.2775010031954336e-5,-1.647373699594785e-5,-2.9012909482695698e-6,-2.516718896883787e-5,1.1011126213371844e-6,-8.641031394851138e-6,9.385748290706366e-7,-2.607276493694648e-6,-1.1384244002171449e-5,-1.0617566525712215e-5,9.333039653193867e-6,-3.7097124634539815e-6,-8.815310389613412e-6,-1.3581129844692154e-5,-1.1162911672535838e-5,-5.067209332689557e-6,2.5119592689217876e-7,2.618735790487762e-7,1.3870225004890632e-6,-7.264516634561342e-7,1.2969707557209135e-6,-1.5839422758405937e-6,-6.184415988388721e-7,-8.906543972671161e-8,-8.366248927134283e-7,5.166166365547888e-7,-1.0893484247741066e-6,-7.016746204202368e-7,2.8572728545092916e-7,-1.8896338311445677e-7,-5.777554019831722e-7,9.660252307996236e-7,7.881531010950718e-7
-9.052585200708809e-7,-1.0760920662221882e-7,-9.02610043627004e-8,-1.0003109529730887e-7,7.086708703199779e-8,6.546072680053259e-8,-8.430788895301916e-8,-4.8263280921542746e-8,-8.540046384019445e-8,-1.5110808708881514e-7,-1.5514182423938143e-7,-2.9508154952228044e-7,-2.718771446997867e-7,-2.1564415949197645e-7,-1.3049622517659086e-7,-5.916205143186254e-8,6.500739653562747e-10,1.3101820117429964e-7,1.560902753461366e-7,1.1002761699828755e-7,1.2994504704010442e-7,2.296967312522608e-8,2.06756405507686e-7,7.18286412966979e-9,8.077292960807545e-8,4.488422802852242e-9,1.8082244361770397e-8,1.0163892028052383e-7,8.245853835855991e-8,-6.313074462426587e-8,1.6011566365615894e-8,8.666110664841411e-8,9.10564506214015e-8,7.191174932840415e-8,7.122605177643718e-8,-3.330853703963361e-9,-4.1096922152776665e-9,-1.1827229615867532e-8,5.861582387534485e-9,-1.1889792546592026e-8,1.639317876510144e-8,4.996610544800323e-9,-1.2700013745474077e-9,8.138441326550924e-9,-7.742250122846495e-9,9.949635192296966e-9,5.690949740580053e-9,-2.3069240721054367e-9,-1.266773457173303e-9,4.8324011405238656e-9,3.197686623027973e-8,-1.9055960021658734e-8
-5.578082541506566e-4,-1.0800437635477138e-5,-1.5695318353929035e-5,3.049084018067287e-5,7.04479718352211e-5,-1.0238575670533614e-5,-2.0685952374518826e-5,-5.447495991939195e-7,-4.3585825253194486e-5,-5.9742586680185666e-5,-1.5093078239560262e-4,-1.45205615468516e-4,-9.155035631630314e-5,-4.4763228005794913e-5,-8.847862338199048e-6,-1.6155008468919614e-5,1.3101820117429903e-7,2.3125859399648923e-4,1.8833743220520057e-4,1.20762223553299e-4,7.60778274091889e-5,4.3854085218156036e-5,1.8040536455302562e-4,-3.620285393724165e-5,4.940787500695104e-5,-1.267700409924961e-5,3.588563102759566e-5,8.885847828996935e-6,1.2118729784795443e-4,-5.113439737298908e-5,3.7485154327946646e-5,2.5754707870625124e-5,8.373478736240464e-5,9.443311064302963e-5,2.6337133729619005e-6,-9.993130457775207e-7,1.8981371451711723e-6,-4.469830090186771e-6,1.9122924420160858e-06,-3.2944822244501657e-6,7.937846283917871e-6,2.228477357990193e-7,8.455567223502996e-8,1.6759517184966124e-6,-8.765614897346541e-7,6.234742470280976e-6,5.819308637233436e-6,-7.268581153369892e-6,-3.535650303147868e-6,5.533467068314317e-6,-2.980453297121208e-5,-6.056889166325795e-6
2.3880996447238578e-4,-1.1786882580478716e-6,-7.996073171072723e-5,-5.265031909968366e-5,1.9769517727497826e-5,-6.576553644357766e-5,-8.019393464809076e-5,-4.31925369868746e-5,-8.6673095463768e-5,-1.0889165328114641e-4,-1.7471870632481922e-4,-1.7291562440487158e-4,-1.3156204548856167e-4,-4.8979847693648396e-5,2.100269424326531e-6,-2.083850395237082e-5,1.5609027534613878e-7,1.8833743220520143e-4,3.058247610476946e-4,1.4620265157610322e-4,5.8926731626137675e-5,1.8644255525203145e-5,1.76760312172187e-4,-2.7120999759599076e-5,2.9432071804566333e-5,-2.5306227768216927e-6,2.9466412285615823e-5,7.857223157941619e-6,8.196790844304553e-5,-3.9283078659701565e-5,1.627528729233968e-5,1.9760484601456945e-5,8.992175703022179e-5,6.523302408141907e-5,-8.940103919253869e-6,-8.885979458666953e-7,4.9414077987157136e-6,-1.1489037776968151e-5,3.628265801726399e-6,-6.255668750131638e-6,1.2114341648325429e-5,4.8039566521395385e-6,2.1721002234836147e-6,5.603388315796977e-6,-3.7724723937764857e-6,7.1408924395880915e-6,3.8901490140914266e-6,-4.2763228954278615e-6,-4.0029401739599655e-6,5.365614775857626e-6,-1.2078610306636824e-4,-2.2697923275447147e-6
-7.048846091644706e-4,3.3283816418095915e-5,4.23140217979229e-5,4.14619769832885e-5,8.99194740029476e-5,5.2396713220383006e-5,-1.6242122311050974e-5,2.658637330988851e-5,-4.64705162579812e-5,-5.9992445954341717e-5,-8.619266008944883e-5,-6.345061522641901e-5,-8.090612304766791e-5,-3.383044071235507e-5,-1.65334252505337e-5,-1.2775010031954597e-5,1.1002761699829002e-7,1.2076222355329945e-4,1.4620265157610373e-4,2.479134062446148e-4,8.570569521951019e-6,6.771124698384733e-6,7.582253558706299e-5,-2.1423695627272762e-5,2.7150021251735647e-5,-1.039775012231435e-6,9.328202587789073e-6,-3.4977375743203947e-5,6.940921577523936e-5,-5.002891283596606e-6,-1.9172627854756525e-7,-1.204421522716589e-5,4.083658196581969e-5,2.333537518090874e-5,1.3818444333435065e-5,-1.4965763401723241e-6,6.28547042531606e-7,-6.173622226360638e-6,-3.502690447915666e-6,-3.552430777340402e-6,7.630078593455442e-6,-5.139128829657195e-7,9.545014269440947e-7,4.925552058503522e-6,1.7660915570528352e-7,4.531826319333602e-6,3.111952429580991e-6,-3.306513498522135e-6,1.428933460889868e-6,4.591068641309053e-6,-4.050150803794981e-6,2.7113840493471163e-6
