(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection,personal_income:democracy,democracy:relative_income,democracy:gdp,democracy:growth
-0.05732460520759174,-3.325715987891201e-4,-3.396090522051738e-4,-9.021329998833746e-4,-7.910152837962313e-4,-6.300718686732275e-4,-4.2988687542892703e-4,-6.190427110216377e-4,-4.462388390860512e-4,-5.311765704040798e-4,-0.0011556157039499183,9.784497963734072e-5,-7.973473498628154e-4,-0.0013256615243612347,-5.787290575444211e-5,6.850993645502184e-6,-8.617683301260588e-8,-5.3908284137056e-5,-2.786950510277747e-4,-1.587756591048631e-4,-5.740025344112277e-5,2.585693753304827e-4,1.179454615061106e-4,-7.6326475011943e-5,-2.8795757659699653e-4,-2.5069498639663856e-4,-2.9774513957811824e-4,-2.3186580263971675e-4,2.562894560046933e-6,-8.481019549989406e-5,4.640025790069635e-5,-8.704657472589712e-5,-9.851365631645604e-5,-4.422076669717724e-5,-4.6989773351460365e-5,-5.4522056455787816e-5,0.010064193893463469,2.759329785162979e-5,-0.003021357423787587,-0.022253020506174875,-1.4977700598468223e-4,-3.2117415560671076e-4,5.401585712203804e-6,0.002602764236592864,1.4965728160401296e-4
5.868060622998483e-4,-2.387027392248325e-5,-3.2455230380423384e-5,-1.6542449117111415e-4,-1.2453646198398976e-4,-1.2913537148847535e-4,-9.695178547217229e-5,-1.4960505646153743e-4,-1.985863379865093e-4,-2.1182274031794445e-4,-1.9560225391237018e-4,-7.513504687363054e-6,-6.770200834529648e-5,-5.77167680037112e-5,2.6430950982267698e-5,2.5557214417184725e-6,-4.1991778067226165e-8,-1.2555173185089974e-05,9.286096596460341e-7,3.2175596716174197e-7,-1.7904581632903387e-5,-2.4982010881499626e-5,-1.3604619558193547e-5,-2.0017053507910537e-5,-2.172099312255095e-5,7.426578979924039e-6,-1.3439900157478424e-5,3.208763052659518e-5,-5.756883295187329e-7,1.7900796214229251e-6,-6.819882018176845e-6,3.815183353607361e-6,1.6355429480132372e-6,1.475517521822812e-6,-1.977795071802057e-6,-1.0851780127305383e-5,2.7593297851633106e-5,7.232010101777575e-5,1.0735560543960166e-4,-5.513723902797461e-4,-1.8341298247128965e-6,2.900063508548346e-6,3.208046965384164e-7,5.3550426286919596e-5,2.5737225186717466e-5
0.025327536311095605,-1.6293700239230314e-4,4.605786887406994e-4,1.1885700373549487e-4,4.952927386375122e-4,2.919497228088917e-4,7.082042568356709e-4,4.1246130128653514e-4,3.275613065727233e-4,3.348163300949353e-4,3.5342015027214603e-4,6.712286679597959e-4,2.1961632935946018e-4,7.461871961776066e-4,1.446407302367862e-4,-4.182355388771638e-5,3.298423785189643e-7,1.62378836556328e-4,3.6260333479646575e-4,2.2324345791322763e-4,1.0919676457645814e-4,6.240436344688673e-6,3.5947148341224935e-4,1.3969478602139025e-4,-1.022498508853112e-5,-2.1710943444461033e-4,1.9669846953366293e-4,-1.1117396680400342e-4,-4.608773707031526e-6,1.954209088750669e-5,-3.891666126023816e-5,-5.699818905083549e-5,1.6219952677780836e-5,5.5346281472095016e-5,3.967039368245109e-5,3.3957683899597707e-5,-0.003021357423787843,1.0735560543960594e-4,0.005923015558998272,2.507387509657274e-4,-2.8884947202325248e-5,-1.2801035255840992e-4,3.305516081482808e-6,-1.1911778963013529e-4,-1.0309710936827073e-4
0.1454380998538139,7.261136010609638e-4,-0.0021962636561371172,0.0010263277347854298,0.0010296200078552958,-0.0015267165001057416,-0.003023749256040166,-0.0010209220133271938,-0.0018158181733358035,5.988192513215747e-4,0.00310286553486674,-0.0017839863279035938,9.569237712567572e-5,0.0015802882259199399,-3.862994888860647e-4,5.151227138769558e-5,1.7947086339551162e-7,-8.449627907841826e-4,-3.063565275767757e-4,-5.90639614758648e-4,-8.365212208915286e-4,-0.0013625467460569108,-0.0015476570337971647,7.084832169710817e-4,0.0011476849829021617,5.870327813389623e-4,-6.621447978616056e-5,7.111168793297388e-4,2.5976782582011313e-5,1.9020913704372584e-4,-4.4053733913202604e-5,4.2070304300456375e-4,-9.519793992647527e-6,6.750551367886482e-5,-1.5974647542201106e-4,1.0460487272690103e-4,-0.02225302050617555,-5.513723902797393e-4,2.5073875096563584e-4,0.23259492410406166,5.841514106786225e-4,0.0011702661477097907,-4.057545232321575e-5,-0.024428435505893548,-1.6504893719301118e-4
9.293742063291515e-4,1.5025195544521579e-5,2.7261370946842425e-5,4.404456599798538e-5,3.808211879903717e-5,4.1244798672565834e-5,1.949090059036454e-5,2.8392676474679308e-5,3.23034754896929e-5,3.1899979527697825e-5,5.021830980351679e-5,7.271234082196089e-6,2.6231291963921372e-5,3.843480247316707e-5,-2.990268142889658e-6,6.132327323229616e-7,-5.297683196897855e-10,-5.1037314495343685e-6,-3.3634756287070423e-6,-1.4648881112083446e-6,-5.724385832754549e-6,-1.2282060545511427e-5,-1.2545012248752191e-5,-3.629420987689036e-7,6.360048560538303e-6,1.1076959555391769e-5,2.5738892768518294e-6,5.465933497485323e-6,4.675241102940454e-8,4.435631830888106e-7,6.800237127281285e-8,4.859141960925021e-6,-1.8551138728035742e-6,-1.232941839035482e-6,-1.7539880621942864e-6,-3.87909284371798e-7,-1.4977700598469272e-4,-1.8341298247127845e-6,-2.8884947202327237e-5,5.841514106786182e-4,8.889330667182582e-6,1.5743931839894707e-5,-3.39519600328756e-7,-7.952957505084455e-5,-3.4343051648861865e-7
0.0012221649621490217,2.878661399474592e-5,-1.0183686873251914e-4,-6.845060348585805e-6,-3.62442750274241e-5,-9.157435020335152e-6,1.0133737902586692e-6,-3.465923086867449e-6,-6.372664107203598e-6,1.5863049111360897e-5,7.13009018453767e-5,-1.9048794769872793e-5,1.0007879488098895e-4,3.696567625391226e-5,-4.239708614157746e-5,1.0412239657292873e-5,-1.477538137876989e-7,-3.626979881962557e-5,-1.1624129867832452e-5,-1.773230398399421e-5,2.0908626671698313e-6,-7.125405084366996e-5,-1.0465328844308981e-4,-4.9122548043848166e-5,4.959904610360991e-5,7.8663113539639e-5,3.558972558041383e-5,-8.9054589599386e-6,1.9054010354818544e-6,8.337918414378407e-6,5.824134700979719e-7,1.7126655371913614e-5,-4.521507907307329e-6,-4.630922570773417e-6,-1.0455638033139697e-5,5.159253605925004e-6,-3.211741556067099e-4,2.9000635085483384e-6,-1.2801035255841e-4,0.00117026614770979,1.5743931839894762e-05,3.0491887231079884e-4,-5.971550358925054e-6,-3.657781131511334e-4,1.8361931246964103e-5
-1.4081192264642481e-5,-6.55617487262069e-7,1.4055285737699294e-6,-6.806002142144344e-7,-7.67165640764159e-7,-1.1063925892100773e-6,5.887949207763617e-7,-2.1673475486829847e-7,6.921607536989745e-7,1.007891076152396e-7,-7.5372844881536e-7,3.307531506547034e-6,1.1893067770053703e-6,2.778799362782208e-6,1.3313254051735693e-6,-7.418308046935372e-8,8.799303244339658e-10,-6.732516526252459e-7,-7.955658064887139e-7,3.9057150480516045e-8,-8.779918684995235e-7,8.368544289747186e-7,5.988679105249915e-7,3.0403875742976345e-7,-9.143411833502582e-7,-1.2710073190182169e-6,-8.385623790776451e-7,5.934398117831208e-7,-5.5893197527394566e-8,-9.948867896358145e-8,-5.7417906046529765e-8,-4.250213669737923e-7,2.2643738627253987e-7,1.3536353602453495e-7,1.6591793347458942e-7,-2.088861289543011e-7,5.401585712203727e-6,3.208046965384167e-7,3.305516081482822e-6,-4.057545232321569e-5,-3.395196003287575e-7,-5.971550358925049e-6,2.089506580203889e-7,8.281050475192074e-6,-5.504949833551192e-7
-0.016567095435626372,-1.0737482208146332e-4,2.2964176734775814e-4,-1.742666905010007e-4,-1.6878189656591595e-4,6.189733386950757e-5,1.931420613971637e-4,1.0191938495017688e-5,5.6507231840728235e-5,-1.8885826086264935e-4,-4.903570622283524e-4,8.908751517864106e-5,-1.9350661608419242e-4,-3.229689541260672e-4,6.75669594924605e-5,-1.0986270898054478e-5,7.922467485881269e-8,1.1586945886835508e-4,3.469600315529651e-5,7.129930612150612e-5,8.878975785900269e-5,2.035575349965747e-4,2.2925008902774887e-4,-3.8662768661427216e-5,-1.6168643745213162e-4,-1.2210756324463552e-4,-3.3949434971365346e-5,-6.818201594809969e-5,-3.7696570014378566e-6,-2.665558938518524e-5,4.174663103548629e-6,-5.459550335772287e-5,7.988815111725055e-6,-4.882103742287278e-6,2.5799946351177094e-5,-1.379269255088825e-5,0.002602764236592984,5.3550426286918376e-5,-1.1911778963013841e-4,-0.024428435505893645,-7.952957505084564e-5,-3.6577811315113395e-4,8.281050475192098e-6,0.002808940068274697,5.655728234248321e-6
-7.426716667410871e-4,-1.946601703167955e-5,-5.894269164375998e-6,-5.449083837900151e-5,-3.6755784250403086e-5,-3.5389501250193875e-5,-8.648930855777824e-5,-1.1168483786141604e-4,-1.1025324711115499e-4,-1.1625254228010211e-4,-1.1482394726733668e-4,1.3476198292553678e-5,-4.255247954100196e-5,-6.177603642959342e-5,-1.005010678316119e-5,2.6989679355460394e-7,-6.429463929862911e-9,-2.3959786057707375e-6,1.0049045718964575e-7,-1.1358018896721556e-5,-3.2199610970441866e-6,-1.6069411420394502e-5,-4.264535857977038e-6,1.8285434878953635e-7,1.0215197878350168e-5,1.4410371520852258e-5,7.371868124900717e-6,4.638051696616609e-6,3.4752526191388005e-7,8.012367112828727e-7,-2.3136219918947226e-6,3.967863161876403e-6,-4.954832968586207e-6,-1.4263649331867949e-6,-4.002338040341138e-6,-4.200722878257412e-7,1.4965728160401176e-4,2.5737225186717463e-5,-1.0309710936827071e-4,-1.650489371930087e-4,-3.4343051648860033e-7,1.836193124696411e-5,-5.504949833551199e-7,5.65572823424811e-6,4.849562144818229e-5
