(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,personal_income,relative_income,gdp,growth
0.19664096206254883,-8.465738211822908e-4,-0.0027333503141764347,-8.57020268470153e-4,-0.0018049328383427858,-2.524338174532779e-4,-0.0022275613632233584,-0.002496317692169342,0.001074023726997581,0.0015660942588970387,0.0060702455578232,-6.13755212714165e-4,0.002756901685223059,9.731930222927133e-4,-2.0476229882644748e-5,1.889579533244301e-4,-1.4592085626182424e-6,-0.0030614364569330793,-0.002263173022888594,-0.0015262879010799384,-5.659908366228297e-4,2.235261114772868e-5,-0.02034622169123732,-0.001175292971050149
-8.465738211822623e-4,0.001732228263624585,0.001288904754344042,0.001123381323117805,0.0012523444115377913,0.0012236886003801916,0.0011113918005200916,0.0013002141094860308,0.0011760663438194346,0.0011346376088043938,0.0011863099622170673,0.0010367441291115908,0.001107964828225044,0.00127886749225476,7.562268111487617e-6,-1.2337426851926044e-6,9.229760193639603e-9,1.1721982820799187e-4,9.395097690337434e-5,1.424595506260402e-4,6.569760113172416e-5,-1.417404699025505e-6,-1.0999811081556134e-4,3.5761691507736325e-5
-0.002733350314176411,0.0012889047543440358,0.003218359785898594,0.0022141680610766904,0.002009328406746899,0.002131069925568149,0.001872272435595817,0.0016951721225698542,0.001959259068941022,0.001878159550458744,0.0018153568939743246,0.001942008365822126,0.0017538002293389049,0.0017637299252917882,2.010157834267653e-5,2.6985926800787224e-6,2.133218766481843e-9,1.7235577853560806e-4,7.872165638514789e-5,9.225065097928798e-5,-7.108399848572365e-5,9.400439240457394e-7,8.531723629750914e-5,-3.537145876875142e-5
-8.570202684701211e-4,0.001123381323117803,0.0022141680610766952,0.0027851162144422207,0.0022922870607640384,0.002250130918101432,0.0019073303462650217,0.0016941198729740804,0.0019220108188590208,0.0017280542984046676,0.0016725063519665664,0.0016567576300933068,0.0014787341844791776,0.0017699859533848053,3.646618659756511e-5,5.512083701994109e-7,1.8464573390793797e-8,2.4455961750347694e-4,1.5925363222959204e-4,1.4888161199556305e-4,-2.2230475270060804e-5,-8.536593179098091e-7,-1.0219149115847844e-4,-1.7104781929718415e-4
-0.0018049328383427823,0.0012523444115377896,0.0020093284067469034,0.002292287060764039,0.002874646257416571,0.002335187655333307,0.0019684498113446617,0.001870523906616538,0.002121237840392795,0.0019122384511643525,0.001822769769165873,0.001806442977652051,0.0014620974946974485,0.0018906418746509124,-1.722416183584105e-5,-2.1504426443959097e-5,1.930048000758282e-7,3.0309828162214587e-4,2.2386372738796118e-4,2.1392950959140167e-4,4.2381893759169456e-5,-2.9967099237218183e-6,1.8712856408116735e-5,-1.1721210745712461e-4
-2.5243381745329596e-4,0.0012236886003801888,0.002131069925568153,0.0022501309181014294,0.0023351876553333057,0.0031997211835528686,0.0024500766673241983,0.0022849787334369644,0.0024460397930427054,0.002239257361396313,0.0022983394561604488,0.0020790714886827046,0.001967270956168479,0.0023760376831769353,-1.2661568502377415e-4,-2.1538572436768976e-5,1.9062526032072288e-7,2.2776673181183678e-4,1.7662099682777218e-4,2.4313755965562535e-4,-9.338260598521818e-6,-1.790584751766432e-6,-1.5116601183260813e-4,-1.0971962283783123e-4
-0.002227561363223257,0.0011113918005200855,0.0018722724355958193,0.0019073303462650184,0.0019684498113446583,0.0024500766673241966,0.002851285499671984,0.0023908609846806997,0.002450218598566958,0.002304327880882921,0.002235732550894506,0.0023442101100205975,0.002130935604530752,0.0025171228225714026,-3.880783827099077e-5,-1.9727976211577427e-6,-1.7167657929568723e-8,2.2959900582235855e-4,1.7424998720700168e-4,1.712892662856817e-4,-7.859627676844064e-5,-1.5268051395114354e-6,5.3691575952424775e-5,-4.652373562299389e-5
-0.002496317692169257,0.0013002141094860295,0.0016951721225698583,0.0016941198729740804,0.0018705239066165392,0.002284978733436967,0.0023908609846807036,0.0028211075396156033,0.0027640237431723483,0.002678059137680401,0.002429434539364866,0.002310362354523192,0.0022061344492859017,0.0026482864519310556,-1.8483547766646483e-6,-1.1092047781494935e-5,3.627516267656584e-8,2.3880027473633888e-4,2.575697705816538e-4,2.3332775049527953e-4,-2.1003824348495118e-4,1.6494486832648144e-6,2.1349035810827553e-4,-7.72869360248292e-5
0.0010740237269976241,0.0011760663438194327,0.001959259068941024,0.001922010818859017,0.0021212378403927933,0.002446039793042706,0.0024502185985669574,0.0027640237431723457,0.0038927655212689883,0.0035372794213824593,0.0034079973298705487,0.0029206339987206532,0.0028636252326244313,0.003256905071726418,7.363692750891276e-5,-1.1131138688436607e-5,6.342279896503726e-8,2.5549073506776125e-4,2.6987971936905293e-4,1.855323731709938e-4,-3.469604458431479e-4,2.8317980138061865e-6,-6.841931385331378e-5,-1.5588587548957518e-4
0.0015660942588971443,0.0011346376088043927,0.001878159550458748,0.0017280542984046657,0.0019122384511643528,0.002239257361396317,0.0023043278808829253,0.0026780591376804,0.003537279421382461,0.00385804197976139,0.003615534210487607,0.002958167853269827,0.002995031365924108,0.0033062370780957626,7.634754453685845e-5,-7.542187308943832e-6,4.432988489162736e-9,2.0153078312926763e-4,2.3462230594256773e-4,1.3392002874233197e-4,-3.8885750577447454e-4,3.925198943446864e-6,-9.216748462389973e-5,-1.6725398566737716e-4
