estimate,se,z,p
1.3407519157012528,0.07116329540662605,18.840497872396373,3.5164242864474634e-79
0.10170821682143658,0.056876459312385844,1.7882304568717735,0.07373883439416966
0.24546005432040935,0.05323401817320908,4.610962364737315,4.008091043480184e-6
0.05745641077712762,0.054823465776333576,1.0480258765751114,0.2946266849320688
0.1446980887539095,0.05390807782276957,2.6841633869718917,0.007271156238409848
0.2501950917133044,0.053405290863516336,4.68483717002325,2.8018258448009126e-6
0.27812751751504705,0.053716567554615256,5.177685957544968,2.2465497611969067e-7
0.3525685792863436,0.053447111056192056,6.596588147031329,4.207274009987437e-11
0.46643954929228104,0.05325746166541286,8.758200911313844,1.983913249672905e-18
0.4512322912082588,0.053498843286386134,8.43443079306883,3.3281863638553446e-17
0.45279678441996696,0.0541995037182673,8.354260710091284,6.584377803465834e-17
0.5674699443048242,0.05714187880276987,9.930894051690105,3.055038865515308e-23
0.3777275748022819,0.05550487175886202,6.8053048828452285,1.0083545894993939e-11
0.4208997216520823,0.05490984848831983,7.665286523994218,1.784324152631881e-14
-0.017555483058794487,0.004247377864130033,-4.133252001677105,3.576661937327757e-5
-0.022921159373945066,7.125009682611233e-4,-32.1700045262882,4.63868406407784e-227
3.000639494110003e-4,7.601201715036174e-6,39.47585666848367,0
0.14469854902592233,0.005793387775967301,24.976499868725348,1.1008267907345767e-137
-0.0781312808481385,0.009833952522010234,-7.945053697713713,1.9410668222310576e-15
0.021979424697131232,0.010806167605525661,2.033970367616009,0.041954583226288394
-0.08048921134127433,0.008555941801158755,-9.407405194174352,5.0853577077732605e-21
0.1562876874205,0.005242399942219043,29.812240413375513,2.711281724170608e-195
0.4927949653911427,0.05004274016305695,9.847481648395798,7.028291916319853e-23
0.0608787228568428,0.012523879099807693,4.861011701859818,1.1678734913021618e-6
