estimate,se,z,p
1.5424086110986526,0.06503693334068075,23.715887755947932,2.4723740348494183e-124
0.0788102749333842,0.045489253540036724,1.7325031474526276,0.08318401718124127
-0.04785254768692276,0.04246808239434706,-1.1267885194951122,0.2598319056132444
-0.013929373668201088,0.04373727805254353,-0.3184782933100481,0.7501221575858117
-0.06782742710185809,0.043070678583188436,-1.5747935563832243,0.11530410424633983
-0.08592042789488255,0.042633553151982154,-2.0153241178043326,0.04387069948990258
-0.07014843731711529,0.04297508125519981,-1.6323049373787422,0.10261526364880336
-0.12257065098762941,0.04276800257935274,-2.865942845009163,0.004157693028249613
-0.07849989095974948,0.04263761978215567,-1.841094586443181,0.06560769886624619
-0.11860843052706836,0.04286118942642811,-2.7672687602536454,0.005652813199766432
-0.15516369783882691,0.04345264869283419,-3.5708685777862623,3.557993959518915e-4
0.007435053601950485,0.045786569555760825,0.16238503286200032,0.8710026564567195
-0.08278662793893153,0.044654324671053,-1.853944238296759,0.06374713800884692
-0.05343382615095887,0.044222197764469846,-1.208303269673541,0.22693063125603544
0.013550977539554213,0.003957301522451452,3.4242974569094025,6.163911262159015e-4
-0.025885052768720766,6.616434193240381e-4,-39.122361097713316,0
3.099095463393947e-4,7.058498902782902e-6,43.905871575216786,0
-0.012569455764800055,0.005394102694746596,-2.3302218137303266,0.019794430632756165
-0.07577552759391754,0.009327116248280162,-8.124218201728736,4.502551167015434e-16
0.015854565471571158,0.010114214102690356,1.5675528825669098,0.11698551551769128
0.041631120165903264,0.007775689046445644,5.354010418527902,8.602590358817653e-8
0.02218762080779447,0.004894417320220453,4.533250713242225,5.80828054836043e-6
0.5289132706041713,0.047194962599871826,11.206985692274024,3.768079556267013e-29
-0.00948661202376455,0.009965825218004841,-0.9519143489116669,0.34114042182319987
