estimate,se,z,p
1.1897910481989082,0.06963682582560826,17.08565883198792,1.8978746167440961e-65
-0.06179638300762538,0.047399679683842184,-1.3037299707468448,0.19232566690629616
-0.05170429141012788,0.04435924415069618,-1.1655809831763428,0.24378390023630855
0.005511839748963928,0.045706569164564274,0.12059185035566371,0.9040143242063677
-0.10445688334798899,0.044958270635766906,-2.323418625112495,0.020156674513489337
-0.09062108966319335,0.044585516917882324,-2.0325230237904255,0.04210073537144547
-0.06826511321126086,0.044885079710571665,-1.520886531815216,0.12828831432483553
-0.05082177310488741,0.044705499444474744,-1.1368125563166835,0.2556166531509386
-0.013309577778301326,0.04457192476986827,-0.29860899763743054,0.7652383993981104
-0.01669167392012247,0.044852449309602284,-0.3721463192546101,0.7097839111946889
-0.08524025568967807,0.045472244492069436,-1.8745557128710537,0.06085387070794372
0.004656161648415877,0.047786229497483144,0.09743730981455888,0.9223791167297332
-0.04757748833052105,0.04666239617651774,-1.0196109121902277,0.30791302766656414
-0.09299273567453248,0.046232097463961896,-2.0114323332836173,0.04427981098050006
-0.05489932274847147,0.0037256784030196997,-14.735389588101597,3.819881312954817e-49
-0.03589260826735556,6.133902398676545e-4,-58.51512778406741,0
3.9680196635047947e-4,6.461996040716416e-6,61.405479645958984,0
0.031731149920365805,0.005082397299128682,6.243343062889976,4.2831604278801087e-10
-0.05820478123156329,0.008732059574312643,-6.665641792319651,2.6351125805017515e-11
0.013646006600341,0.009380050382242917,1.4547903309958583,0.14572731579925063
-0.008066912094719228,0.0073895831419127,-1.0916599677950454,0.27498258716198926
0.09165234553431202,0.004567897428857736,20.064449117289158,1.5095392313324739e-89
0.6268938740794093,0.050967197331843815,12.299947944905577,9.063252882510515e-35
0.017011586001631544,0.010471758498688302,1.6245204665255053,0.10426477597905898
