estimate,se,z,p
2.996366886259871,0.04004564848051212,74.82378235722734,0
-0.004173713628019431,0.03776433092921261,-0.11051999400817805,0.9119969940752778
0.11201635735667108,0.035324659392156475,3.171052723060178,0.0015188757316385217
0.07649166155296676,0.036333302981470465,2.1052768473038785,0.03526721627802368
0.07531983651434646,0.03575850606120176,2.1063474068361323,0.03517418617099789
0.09238582756312612,0.0353458145837843,2.613769937148661,0.008954931342702463
0.0801998385745251,0.03553229909048687,2.2570968000209466,0.024002026801464148
0.026717554360340238,0.03527914686731274,0.757318606961409,0.44885900596663303
-0.031561603454406194,0.03501446244439738,-0.9013876338820196,0.36738225404094305
-0.00717060381366331,0.03515664711746156,-0.2039615379050701,0.8383835553752086
-6.346610382714754e-4,0.035498534458374954,-0.017878513802187225,0.9857357697772586
0.2807830025576273,0.03770583588532702,7.446672271410701,9.572401608236767e-14
0.14083534198377262,0.03647079540376753,3.861592280195347,1.1265044766215615e-4
0.008829879613434672,0.03588429355332808,0.24606530431795964,0.8056316805894078
0.18614117246127337,0.004279910358998741,43.49183904515701,0
-0.0462913025968574,6.931732895700752e-4,-66.7817172031665,0
-6.438066462272755e-7,6.975693333389808e-6,-0.0922928539799241,0.9264653658366627
0.15185714712416376,0.006113400591472358,24.84004521738536,3.312777158853145e-136
-0.060920468264587954,0.009557199489393873,-6.374301209490772,1.8379904573415972e-10
-0.17695478027531503,0.009568733051557431,-18.493020896482573,2.35012469980101e-76
0.07688517611656237,0.008216858890079927,9.357003344597352,8.203018947513157e-21
0.21835260736897014,0.005076247422906108,43.014571430004324,0
0.3828641851865549,0.02369356774472035,16.15899257180754,9.815258750160503e-59
0.010240186021782066,0.008205086169503233,1.248029065172151,0.21202041337750033
