estimate,se,z,p
3.0878225915168085,0.061356807605064304,50.3256722773488,0
-0.35450667611625986,0.05403580919127634,-6.560587903132433,5.3596048920420683e-11
-0.4927957076719336,0.050433615006789195,-9.77117558607677,1.497047662634628e-22
-0.49070960875126335,0.051818323231104135,-9.469808711539187,2.8035662975560884e-21
-0.5232011730540128,0.05104656624574107,-10.249488095541876,1.1897193908739133e-24
-0.43586916023912003,0.050626741657424985,-8.609464997540384,7.340233153187807e-18
-0.4109671127158446,0.050953039870189176,-8.065605384150729,7.287384292749023e-16
-0.45003095640486496,0.05056530576269002,-8.899994761564827,5.584932333733098e-19
-0.36759791217944826,0.05035546992375031,-7.300059213747295,2.876411105566666e-13
-0.4215732379027892,0.05049767595825064,-8.34836910616101,6.921199122116284e-17
-0.4880264965057013,0.05084382001883381,-9.598541107354329,8.10839345127983e-22
-0.4161642728907434,0.05351950749661319,-7.775936146592512,7.489147871659374e-15
-0.37472833206571193,0.05220373200126113,-7.178190479881003,7.064009900173095e-13
-0.3561605059716879,0.05171777760613142,-6.886616603754899,5.713493167623039e-12
0.09876347016340392,0.007110724107730146,13.889368883829578,7.347990696091892e-44
-0.03651659697671314,0.0013925651584886444,-26.22254100938783,1.4705857222193742e-151
7.597418359180605e-4,1.684658565397806e-5,45.097674479734074,0
0.49277738941942145,0.009083378103798367,54.25045437813035,0
0.10396421340306357,0.016267347417101237,6.390975168684846,1.6483115068501917e-10
0.5107212971518982,0.02391945158601442,21.351714328204512,3.7589401640318384e-101
-0.14434008957112143,0.013581095896238692,-10.628014902029863,2.207613432590484e-26
0.412533069601888,0.008884969148197796,46.4304448018894,0
0.2902899571429011,0.037152933467051605,7.813379188492328,5.56747779037184e-15
0.08303601274852102,0.011273402290061716,7.365656845380476,1.7627673301917917e-13
