(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,satisfaction_standard_living,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
0.6816505494312313,-0.005644484034920462,-0.002697226733698201,-0.011498803725671906,-0.009706009792862558,-0.010347542091237692,-0.008212199338826904,-0.006545826995253421,-0.003569416503315847,-8.574343145544105e-4,-0.002503301837341729,-0.00830696478345468,-0.004669213545095721,-0.0024347692827221827,0.0016852034765282519,-1.4174136052004261e-5,3.9160419318419097e-7,6.163575104259744e-4,0.0021239028020242348,8.089797502480694e-4,1.2452694911661085e-4,-0.0022095298584140334,1.0527034571565227e-4,7.434258261244029e-4,-0.0018893036016005775,0.0021706815407237057,6.644885258718733e-4,-0.002113383451492836,8.34865117429238e-6,-0.0020180951946554247,7.145054572472442e-4,-6.37238188112729e-4,-0.00161550256247616,-4.8170363211300283e-4,1.1870851680197218e-4,6.492401279607847e-4,-0.00279804988614138,-0.03229570802389274,0.00113165924313442,0.021069225265612564,-0.005510171080406899,3.507083349326168e-4
-0.005644484034920381,0.0013387246921615116,0.0012067722568079302,0.0011913901746050846,0.0010795631099826722,0.001269527168221674,0.00112657642316654,0.0011448846800917324,0.0010160529307583243,0.0010462872187172515,0.0011293869874941537,0.0011452107958507647,0.0011957116552631809,0.0011163390814063544,-4.0409726512140736e-5,1.4634516263136993e-5,-1.3751187982973696e-7,2.2550570114700392e-5,-2.055866284664167e-5,1.5684672320083843e-5,-4.130506975629927e-5,7.245628743271628e-6,-1.0479440509039634e-4,-2.259254707122666e-5,-5.511811523849243e-5,-6.064580045100288e-5,-2.0859564784374065e-5,-1.8980324412946075e-6,1.5659480586890267e-6,1.145195215242731e-4,9.380398307831794e-7,1.4361187912067171e-5,-1.3417780598786348e-5,-5.40267947369657e-6,-2.9369776730692333e-6,-6.266091335185374e-6,6.72261491300221e-5,-1.9975951851838275e-4,9.152395967887211e-8,-2.20172115922366e-4,-2.9326980322461196e-4,1.5363278480286992e-5
-0.0026972267336979197,0.0012067722568079285,0.0026510636747537585,0.001960044221319829,0.001739515620878387,0.0020880135391596667,0.0018723622633943385,0.0017640509233299959,0.001745029778360889,0.0018037043065170203,0.0016196346289812378,0.0016809540584259413,0.0017425080765971813,0.001679072849377446,1.1266601331430727e-5,1.1601847132207216e-5,-9.679502338893298e-8,8.898727077554206e-5,-3.776734389618373e-5,4.523025378332918e-5,-5.3156221717959914e-5,5.099647872029084e-5,-4.129895662065992e-5,2.2575747940795324e-5,-9.209128617225647e-5,-4.677068336949927e-5,-5.20155867490878e-5,-9.532817881135383e-5,2.189657633733131e-6,1.1069143039871076e-4,-2.247231086996354e-5,3.263429473906642e-5,-5.639159764341707e-6,-3.671733079604413e-5,3.3926315835447517e-6,1.1710141841844893e-5,5.15342638077998e-5,-3.632449406910813e-4,-1.6514419967861836e-5,3.264239723169894e-4,-8.130912166556886e-4,2.52092893186639e-5
-0.011498803725671735,0.0011913901746050794,0.0019600442213198285,0.002727070038784082,0.0021698808030972223,0.002534073320773216,0.0021114775460542765,0.0019868236987602888,0.0020118773708400913,0.0019304917315207852,0.0018424080919309845,0.0019002089050186976,0.0018904725920982155,0.0018662164287202227,-1.964999191547816e-5,1.7772573973812413e-5,-1.2767200196147523e-7,3.958069554658661e-5,-8.839488704266963e-5,-3.5340322068038285e-5,-2.255178821304998e-5,8.79595875024547e-5,-3.5248710219854484e-5,4.235382418558554e-5,3.088616964042953e-5,-5.124843482436875e-5,6.233674938487152e-5,-5.583686850720418e-5,3.3255070572598357e-6,9.368029868522197e-5,-2.63745456628405e-5,5.065972312643943e-5,3.549710897385104e-5,-2.8466873811510533e-5,-3.287969539310594e-6,-2.8124190953718914e-6,1.1247740498777118e-4,-5.451788407659184e-4,-1.0948123883930038e-4,-1.8530251843156526e-4,-7.000431221147403e-4,3.710286684311259e-5
-0.009706009792862229,0.001079563109982666,0.001739515620878382,0.002169880803097219,0.0026517317436910268,0.002507016792444591,0.002039515306108331,0.0019262665667037684,0.0019867573185095608,0.001797950111700826,0.0017068909566030487,0.0018083457948513677,0.0016575963782190833,0.001774212603966521,-3.126456680968746e-5,-2.189176827484645e-6,2.51463156154344e-8,1.320466963032418e-4,5.352123537969741e-5,4.563922413798676e-5,1.2902202210442434e-5,7.06649319169771e-5,6.99839187998872e-5,1.0555434777261186e-4,2.9134102208761182e-5,-8.682354495838341e-5,6.674571416534456e-5,2.6111545472423416e-5,3.697368072220392e-7,2.4049350438733403e-4,-3.413820130731096e-5,4.1504780311709224e-5,3.03075523199443e-5,-2.27253275399653e-5,1.0482929238728291e-5,-1.0678618797501873e-5,9.339424087358243e-5,-4.4983654235164646e-4,-8.045058658686806e-5,2.649619268643594e-4,-8.305541063112109e-4,2.776109960092152e-5
-0.010347542091237236,0.0012695271682216667,0.0020880135391596593,0.002534073320773212,0.0025070167924445895,0.003885087411354562,0.0025721384213218657,0.0024972329358721977,0.0023457908768570977,0.0022238204773071097,0.0022208233405909055,0.002149616224987096,0.002202167395088487,0.002274420238922889,-1.7049940267936084e-4,-9.171319414914222e-6,1.0810770723100308e-7,5.665904644757708e-5,-3.4038692203256175e-5,4.7523184554165636e-5,8.480090618212089e-5,2.6599306335697593e-5,1.2841442828447983e-5,7.152120996585138e-5,2.9931550542985703e-5,-1.3941487559234736e-4,1.1982375023254997e-4,2.1102431983984004e-5,5.514546712854659e-7,2.3862223940306234e-4,-2.195715800505522e-5,2.703201927139405e-5,2.766181539071899e-5,-3.551965572673035e-5,2.4260566687781927e-5,-1.576734188988542e-5,1.1004142128079708e-4,-5.406211835519241e-4,-9.305427807749249e-5,1.9754130468026534e-4,-0.0011988015096857248,4.02708176487655e-5
-0.00821219933882636,0.001126576423166534,0.0018723622633943335,0.002111477546054275,0.002039515306108331,0.0025721384213218657,0.0028108672130685974,0.002319929314604864,0.0023754168151369224,0.0023303711039460648,0.0022436262395013158,0.0024041405812295913,0.002270546125234678,0.0023286568974612157,-4.6259604909843995e-5,9.381904788951968e-6,-9.236102554717046e-8,7.905842601569512e-5,-3.780412941205429e-5,2.384722999122096e-6,-3.154507534946888e-5,5.0673162838421635e-5,-4.111446023598733e-5,2.003313695680473e-5,-4.345628702360409e-6,-9.869818690680554e-5,4.4014647817025943e-5,-6.957231030936394e-5,1.6182130275175017e-6,8.43167053074924e-5,-1.97854437242536e-5,4.060001498248291e-5,-1.311193203232036e-6,-3.6685417687469456e-5,1.407774941594836e-5,-1.301881001540984e-5,7.682311029978865e-5,-1.1854312497922855e-4,-6.347434829852978e-5,3.3032745298945334e-4,-0.0011785837083524739,2.313124901758537e-5
-0.0065458269952528856,0.0011448846800917326,0.0017640509233299967,0.001986823698760293,0.001926266566703774,0.002497232935872207,0.0023199293146048705,0.002648629385940373,0.0025668063396861803,0.0025409832987328402,0.002354382513569364,0.0021474394289172534,0.0022727138582312916,0.002303521715396803,-5.62036982872556e-5,8.77873043080567e-6,-8.801170445712671e-8,9.158812707481957e-5,7.608598068706831e-6,4.444926747000032e-5,-2.0241018197924018e-5,6.703757586937309e-5,-3.300376069308776e-5,2.254309975250458e-5,-4.4724246238605265e-5,-5.575900537031281e-5,3.30226117572981e-5,-1.4094563478754207e-4,3.7849510429761007e-6,1.237018256519225e-4,-9.540530020208725e-6,4.416089394898023e-5,-7.220398890369957e-6,-3.3629916523668055e-5,4.940327055040622e-6,-1.2202106541871838e-5,7.04135260139532e-5,-2.1135193565941302e-4,-9.867089224506191e-5,1.261660426659022e-4,-0.0010929160259683455,2.9775441519858907e-5
-0.0035694165033149467,0.0010160529307583206,0.0017450297783608844,0.0020118773708400904,0.0019867573185095634,0.002345790876857101,0.002375416815136926,0.0025668063396861777,0.0032258651239732246,0.002899500540520694,0.0027102345846216347,0.0025190278619930413,0.0026010781003950674,0.0025719791200080272,4.454004779375346e-5,1.4264975620618223e-5,-1.1727751035579693e-7,8.328473085301224e-5,3.3445356341644385e-6,-8.55632275349919e-6,-4.3235349575213356e-5,3.6922296505197498e-6,-6.349760374789912e-5,9.934464340723007e-6,-6.398946528914334e-5,-1.6815830742062253e-5,4.793969366931614e-5,-2.158911146491758e-4,5.7894551381248255e-6,-8.135005499021078e-6,-1.3884272215222124e-5,5.962194151599778e-5,-1.8824356596683888e-5,-4.715269231219448e-5,3.3036225816930297e-6,-1.2932614963075345e-5,3.646539516900384e-5,-1.3921621068981621e-5,-1.2668088080924908e-4,1.0492436791743189e-4,-0.0013893424313363193,2.929943002117469e-5
-8.574343145539432e-4,0.001046287218717247,0.001803704306517019,0.0019304917315207857,0.001797950111700828,0.002223820477307114,0.0023303711039460665,0.0025409832987328333,0.0028995005405206857,0.003222069858934213,0.0029228229612769355,0.0025260858407499896,0.0026889603417835856,0.002623992397662176,2.776507664127163e-6,1.8981646339914193e-5,-1.673392558542619e-7,4.3242316958573974e-5,-5.2294972884524594e-5,-2.9352722904544825e-5,-1.1735213962847538e-5,6.919189648638145e-5,-2.7670825083949152e-5,1.5489872033564496e-5,-5.6472520350178155e-6,-5.121912915614353e-5,6.335678067042328e-5,-2.712093695603707e-4,6.630204882734046e-6,-4.7024104185948554e-5,-1.1374630359711162e-5,6.685498213206893e-5,-4.489531940822494e-5,-5.9273060877207375e-5,-3.5891373321668193e-6,-3.4690092139188474e-6,3.4820784440720594e-5,-6.449397379377062e-6,-1.377491716892429e-4,1.488740736096117e-4,-0.0011970027993354541,2.4197968741786336e-5
