estimate,se,df,t,p
-2.174113062836538,0.3645493871336066,190.87722666112043,-5.963836834101521,1.1730363913086095e-8
-0.04906870133518416,0.03764564080375158,324.68933003514474,-1.3034364746500533,0.19334926236004357
-0.05502757131932876,0.051569658871969834,1440.275614283007,-1.0670532348477186,0.286126622467303
-0.12169487219489637,0.048444490580462504,998.5850662902974,-2.512047721768706,0.012160057760255765
-0.16094638387151705,0.050465142711838086,1268.5300606072965,-3.189258470753563,0.0014612742568816022
-0.14211711048878187,0.05291719909094804,1598.8965059549553,-2.685650656689656,0.007313753437226911
-0.17996893139495912,0.048532198958360154,1124.5136497629735,-3.7082377320131235,2.188895772976085e-4
-0.1752067811383976,0.047837701894251745,1085.4883728404814,-3.662525041978464,2.6178623147260965e-4
-0.12478619435699709,0.05633970221065389,2153.071454624243,-2.214889136091314,0.026872004128682764
-0.132638470023123,0.056175109918663,2077.074742029792,-2.3611608453489943,0.018309702765322226
-0.06301094554811316,0.05813708344548972,2294.5071174444975,-1.0838339630021732,0.2785522964967828
0.04147912754349147,0.06224431924037054,2517.5829613621254,0.6663921792334241,0.505221519811246
-0.0217346599070781,0.059762652427704496,2388.1420329344846,-0.36368298634955576,0.716126941302993
-0.08245139290244995,0.06114427758489891,2699.146223331707,-1.348472762442341,0.17761951028498318
-0.1938029563045498,0.013793775968504838,318051239.13356966,-14.050029284733762,7.700456997438316e-45
-0.029763040745645685,0.0026144929721130185,591714774.3133483,-11.383867183085737,5.0318233500396815e-30
2.518556219340006e-4,2.683531239013382e-5,559966918.4919984,9.385231603511983,6.2778539400438145e-21
0.15845541494979637,0.016302761013258033,177739715.65248093,9.71954473361502,2.4889499269579463e-22
-0.1456597597111009,0.018822926483266913,38155585.1650447,-7.738422600788915,1.0066023927199679e-14
-0.16042663689298578,0.016569611307584622,17486823.8453003,-9.68197949336033,3.597294401097511e-22
0.5717156044215952,0.014983388756099936,154288812.57020673,38.156628899376464,1.481653e-318
0.14524266429327523,0.014834185646742071,136407510.08576843,9.79107770066056,1.2298014778090604e-22
0.32944639151110267,0.020122860888085205,628135979.2977192,16.371747205496444,3.0435845260916576e-60
0.10149884249466713,0.008952025251156119,25084425.46233907,11.338087153134309,8.499588728804237e-30
0.012196153718600753,0.010023633510673534,35016034.422534205,1.2167397885820386,0.2237032435722454
0.24855897576450534,0.009474386896661625,45648800.44057242,26.234834873809834,1.0675254459419703e-151
0.08135525071754642,0.008224943144398228,31008640.05916573,9.891284266561177,4.5419942273377646e-23
0.5586074396153304,0.016391973715258044,182361430.48887715,34.078107329769885,1.5596482643453427e-254
0.1859647463278508,0.017231448250501505,112753175.1912181,10.792171593727675,3.748377114132861e-27
0.2829202984851477,0.01567744227018731,184744594.16824454,18.04633010980097,8.432218518442305e-73
0.32090145561362193,0.008558189778435418,41181317.81902995,37.4964173407578,1.0663455200292025e-307
0.29963040943217306,0.01090713021108109,84235055.79839854,27.471058255797093,3.900302762471558e-166
0.33244055499051345,0.01458851675280135,22571564.764736556,22.78782419238589,6.073189112324535e-115
0.3013006866252133,0.013555376435309805,115774770.66556217,22.227393541087388,1.8676142140355217e-109
0.05611481387319948,0.016279616618048314,223842842.58409944,3.446937061834004,5.669807546949407e-4
0.007054552037578788,5.176184694585924e-4,185630904.8349098,13.628864605541526,2.6975697290988615e-42
0.5282749120899901,0.039820049323696816,208.2271262841253,13.266555945113181,1.620355272954036e-29
0.025317234883738698,0.00868913278899783,20725.583456740937,2.9136664726536754,0.0035759301351794286
