estimate,se,df,t,p
-0.08060501517104177,0.9007014038610404,2015.0344207561743,-0.08949138396533182,0.9287002942963798
-0.06690356069670311,0.03799322183799073,370.87242883410147,-1.7609341208805813,0.07907363174475499
-0.006123477762323289,0.052192594981510756,1437.0280975538935,-0.11732464661878822,0.906619189832083
-0.05400997211920812,0.055250795556698096,1724.1373643050024,-0.9775419806178781,0.3284380423201153
-0.09284386346021335,0.05525786716381614,1861.6287914894667,-1.6801926716601396,0.09308760884849424
-0.09498844743860775,0.059306909430406736,2642.4700870431634,-1.6016421754377752,0.10935428584144
-0.1106693237102889,0.05497598324494092,1918.1127069439494,-2.0130485564434735,0.04424900062473908
-0.11207905303635533,0.05287836690204047,1617.9865563269645,-2.1195634359129656,0.034194791697951664
-0.0734063652646704,0.05973886919604215,2616.934588268488,-1.2287873247780485,0.2192620403452864
-0.07318318034477717,0.05856541667349469,2235.2881871392483,-1.2495971940706454,0.2115775515735235
0.017795656104425694,0.06038811418645541,2334.5177020974393,0.29468805814136717,0.7682583882076803
0.17108388014800593,0.06558037472636939,2438.1316456784757,2.6087664314491077,0.009142436882911244
0.10326072636879143,0.06373060843933048,2638.800544274895,1.620268955490867,0.10529399908962238
0.05988820572954016,0.0639448118202731,2662.423374192327,0.9365608252607784,0.3490694540992243
-0.18639379638985204,0.013694628552348587,270553831.31794035,-13.610723042056227,3.458167142502353e-42
-0.032294266012070055,0.0025836929403935814,483051778.65480876,-12.499266266195926,7.534442388866452e-36
2.930868233285177e-4,2.7087906021040263e-5,497630805.1820027,10.819840525910914,2.7726133153366598e-27
0.15069183730242333,0.017217619731413978,190458389.9973767,8.75218756443333,2.0925788077365362e-18
-0.16697759325497477,0.019081777618222957,34642138.02808011,-8.750630921068506,2.1217241254726787e-18
-0.18686284683413923,0.01718136620669789,17093694.443889543,-10.87590151947833,1.5019516100852031e-27
0.5928193000355206,0.016478498636784803,194078664.9222904,35.975322333806275,2.0389562559734729e-283
0.15187636746803876,0.01600699114546158,158903194.06219128,9.488127161930734,2.352252964844725e-21
0.37833671298673555,0.022960482735177867,918403787.475215,16.477733388727234,5.3037335992811554e-61
0.06724855206937114,0.01229054739273049,52994567.70117303,5.471566881483794,4.4607594632407604e-8
0.6200442602028089,0.017904475474196685,226267060.23305455,34.630685556602614,8.740055824830797e-263
0.2888928403233475,0.017456251902281724,244638542.4074863,16.5495343410796,1.6135822718976668e-61
0.3177782137675306,0.014739140986070667,20319196.124969184,21.56015836118599,4.262867014132669e-103
0.04751340937289382,0.016182838898756238,191665749.57048294,2.936036728175398,0.0033243499916411844
0.007643868034414663,5.309375366122222e-4,178043058.24900576,14.396925263917572,5.410048171131625e-47
0.2925599125146433,0.009547845752566021,492639114.2604126,30.641457779731798,3.435981075062571e-206
0.015032392998688056,0.002943970244090029,7772.826208247688,5.106163361829262,3.365714022779194e-7
-0.009975557390858395,0.0031759349420579746,16529.887695926885,-3.1409829145915475,0.0016867876662290382
-0.007674174650941783,0.005100367985953516,28066.16443098576,-1.5046315622865971,0.13243007982602678
-0.005755231109205567,0.004151302079489434,23027.079763924135,-1.3863676983760718,0.16564807719912739
0.011456576488275706,0.0030271546240544936,5375.271798121384,3.7846023448022814,1.5563028454749096e-4
0.0019838123272197944,0.002206242859510165,5919.728594809436,0.899181302125662,0.3685926713564073
0.012572227018242805,0.005965127664055168,6930.766815623001,2.107620779686054,0.03509962427800634
0.28118195280249136,0.0899220277077835,943.0913434127473,3.1269529832694456,0.0018204124070143215
0.008177863827181796,0.0077876537929593235,12809.200189204454,1.0501062379757116,0.2936890822761582
0.23825678680048287,0.07594223428587968,5175.360165484044,3.137342337118769,0.001714440702207842
0.1419750034858,0.0705116403926633,2673.5466335587466,2.013497384193212,0.044162358326995346
-0.00561601596826546,0.0029247744222433993,505.4304585129623,-1.9201535426304053,0.05540095873119262
