(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
-6.281885026639424e-4,3.238531893477607e-4,4.4414309257706833e-4,5.363251748363595e-4,4.922795165333071e-4,6.688701757627977e-4,7.075211502136144e-4,7.630368039753005e-4,8.447752975607236e-4,9.663312266068617e-4,0.001099545908468695,7.585110065385723e-4,8.993822707929266e-4,8.731714134151959e-4,3.0023237660500178e-6,8.293989905799128e-9,-1.833058479208009e-8,7.702709341621313e-6,2.1827009119722353e-6,3.184144899247498e-5,-7.571968201978298e-6,1.591816066333e-5,7.196204201634527e-6,4.40424275710462e-6,2.1013750230119174e-6,-1.6676710653839528e-5,1.4884293796627838e-5,-3.0559705239161066e-5,5.186863295348322e-7,1.5510400638208266e-8,1.1452824034962334e-5,3.407633589504139e-6,3.591122124177844e-7,-5.157687431248958e-6,-9.86187954163617e-8,1.9589279690045245e-5,-2.6300289749712813e-4,-1.8749050794281703e-5,1.5430097125289178e-5,5.268987621664965e-5,3.2280026571260335e-6
1.1818532370590188e-4,3.037347875441077e-4,4.099095253029019e-4,4.48967860191178e-4,4.484840400951888e-4,5.587295362503952e-4,5.309084297730586e-4,5.993419802111385e-4,6.354223071233491e-4,6.987829191641198e-4,7.585110065385696e-4,0.0011535318892625479,8.1655607607229e-4,7.777057469112469e-4,-1.0903217272300988e-5,1.9799265415877446e-6,-1.8902848751336024e-8,5.382148282073543e-7,2.016931069449152e-6,1.4975095115848635e-5,1.0554623636330078e-5,2.4281926220730363e-6,2.1563003930404305e-7,1.7971658641059374e-5,5.638675147445271e-6,-7.145679956573691e-6,2.5764931621835885e-5,-1.740117742669601e-5,5.912515754097652e-7,1.6373536444361796e-6,9.563553461657379e-6,-1.304035413062327e-6,-1.0304250978457628e-5,-6.053726681519688e-6,-7.943296384293252e-6,7.321651508772627e-6,-5.027023670173055e-5,3.0635484525287534e-5,4.9654565443992846e-5,-2.260162295613281e-6,3.2792923722266067e-6
1.9950661647256187e-4,3.809353781569637e-4,4.6292913506970217e-4,5.21802718078956e-4,4.8211566687990555e-4,6.391703564310479e-4,6.165222449669382e-4,7.02977837739908e-4,7.987349217738478e-4,8.82021114984207e-4,8.993822707929252e-4,8.16556076072291e-4,0.001078886726400737,8.528806266662649e-4,3.851149089117895e-6,-7.631076486504313e-7,-7.651373910165726e-9,8.299143900250088e-6,2.156934653905075e-5,4.098364625787875e-5,-1.8884377753445275e-5,1.242447135205293e-5,3.925872341466462e-6,6.54468707055495e-6,-7.38746088381808e-6,-2.5846005840435408e-5,9.275070427195283e-6,-3.1210426605281755e-5,7.86513020967681e-7,1.2663085330298415e-7,1.2831804214084739e-5,9.141330115480639e-6,-8.285335557069833e-6,-3.0516580268599997e-6,-3.492718571287425e-6,1.0879746890116166e-5,-2.508251910552321e-4,1.778258734578259e-5,1.6468578711674548e-5,7.598974736736473e-5,4.516792584562767e-6
7.683469369128932e-4,3.7211047008374427e-4,4.625299026890061e-4,6.095342574101577e-4,5.64549879379895e-4,6.13732278096483e-4,5.810574099324824e-4,6.821386087770929e-4,7.514156553963143e-4,8.525239241226344e-4,8.731714134151946e-4,7.777057469112486e-4,8.528806266662655e-4,0.0011034705630973902,-1.0186745015594264e-5,2.038403485979019e-6,-2.6183502949842496e-8,1.5184542696139068e-6,-4.553726032207521e-6,2.0791357696255443e-5,-1.428684678920515e-5,1.5291379359333026e-5,-2.8620110588051007e-07,3.7554506942143744e-7,8.833423051877275e-6,-5.566927940403324e-6,-3.879979487783198e-6,-1.4958816484433947e-5,2.413676965063282e-7,1.9435652206753876e-6,1.1791585573924317e-5,6.458452024194725e-6,-2.8935295747276714e-6,-8.32552444468176e-7,-1.9846413007228375e-6,5.832279848777349e-6,-3.197846610450751e-4,-1.4587769863841877e-5,-9.403087505346966e-5,1.550064460255041e-4,3.032216408816017e-6
1.291593696027898e-4,-1.1762168885041062e-5,-1.8453920732240987e-5,-2.6262968770392303e-5,-2.466557707503756e-5,-2.0485865006542127e-5,-2.86905991723436e-5,-2.132986420223219e-5,-6.406575567837325e-6,-8.032476124100289e-7,3.002323766049959e-6,-1.0903217272301019e-5,3.851149089117854e-6,-1.0186745015594266e-5,2.447866960602129e-5,-1.0865376581558334e-6,5.1149396535394906e-09,3.319916390626502e-6,9.791295031836557e-6,8.370274358512547e-6,5.1832273635413235e-6,-4.431541575881634e-6,2.1542931935805806e-6,5.905613564015695e-6,3.5498064532560626e-6,-1.7756013346433823e-6,8.59322578450284e-6,1.7516600769778565e-6,-2.2659609021339993e-7,-1.1801850242196422e-7,4.6125501456722663e-7,-2.7832197791957353e-7,9.456250060359072e-7,-6.632238332350118e-7,7.453750586984923e-7,-9.56195009280458e-7,-9.281892160216492e-6,1.7324139545718901e-6,-4.9581351786556394e-6,2.3058378825117873e-5,-3.121268800064217e-7
-2.1748537118654518e-5,-3.2844034590001865e-7,1.580001608793421e-7,2.0569588573848275e-6,1.4759341629421016e-6,-2.166417979958351e-7,1.323064657179337e-7,8.6965461131746e-7,-1.943023533765317e-6,-2.3801512788844716e-6,8.293989905814716e-9,1.979926541587707e-6,-7.631076486504304e-7,2.038403485978993e-6,-1.086537658155836e-6,5.689084845705128e-7,-4.763710935157306e-9,-1.2686872347678433e-6,-2.4937188251573266e-6,-1.3521569847973258e-6,-1.1251632537113002e-6,-2.046112210190821e-6,2.1580113985360319e-7,-3.057546578421522e-7,1.7388900643220722e-6,2.3181544847081976e-6,-4.2954838655367823e-7,7.736587846322343e-8,4.4006827225611705e-8,-3.9030926900375056e-8,-1.2264723142712873e-8,3.6794765763482326e-8,1.215087376920629e-7,5.0549176268488184e-8,-7.563009558386893e-8,6.972522125057992e-8,1.7283903387600404e-8,-4.962175523452205e-7,3.4390800567577263e-6,-3.3101748954861796e-8,-1.1985187275063778e-7
2.5133326767010323e-7,2.8191801581767765e-9,-6.380439459473148e-9,-1.8145497515906567e-8,-1.1057049184987837e-8,-1.3900520724446505e-9,-8.132048798267151e-9,-1.5236756054565294e-8,6.355669703968909e-9,5.817508295243418e-9,-1.8330584792080358e-8,-1.890284875133562e-8,-7.65137391016585e-9,-2.618350294984248e-8,5.114939653539514e-9,-4.763710935157369e-9,4.421406257773554e-11,9.650626392538606e-9,1.7952457348286132e-08,5.976901961200623e-9,9.565118312779336e-9,1.7061464620733536e-8,-1.931629967743959e-9,2.3383999907629317e-9,-1.2693448955000141e-8,-1.7206993725481398e-8,9.788453441460901e-10,-3.438645977399401e-10,-3.5406946197595134e-10,7.142078914881324e-10,-3.142059493993106e-10,-2.4832434987941244e-10,-1.2383508181332766e-9,-1.4545894835032104e-10,3.3837038978878085e-10,-9.558609668956834e-10,-4.027895990797392e-9,3.746173373202222e-9,-3.1341134194831784e-8,-4.075684044058516e-9,1.3541060665370601e-9
2.2362722558329437e-4,-4.316244438779898e-6,6.785893088765261e-6,-1.1240090950093178e-6,-2.814714117136569e-6,9.074925816935712e-6,1.0208646229562734e-5,4.435386600506153e-6,7.140373249568389e-6,1.3777811252577153e-5,7.702709341621228e-6,5.382148282074721e-7,8.299143900250048e-6,1.5184542696139468e-6,3.3199163906265144e-6,-1.2686872347678685e-6,9.650626392538654e-9,1.2958971955313236e-5,1.3606991114134748e-5,1.2658880765275208e-5,4.418168472126139e-6,5.8955005864141076e-6,-1.4565276353941074e-6,2.4431640464464886e-7,-5.729590125136248e-6,-7.977748616818545e-6,4.972441146208397e-6,-2.5259877113495095e-6,-3.5029246333001733e-8,1.8016124188375754e-7,1.903574976094849e-7,-2.0605492840326622e-7,-9.840732872247948e-8,-5.132727215255028e-8,5.507607352855133e-7,-1.2654308320585927e-6,-1.2601530553146782e-5,-7.331875469538203e-7,1.2854335845324446e-6,1.9165087347879985e-6,2.441996970193889e-7
2.7973553011512864e-4,-6.499629072895229e-6,1.299176635247384e-5,-1.2980078844375227e-5,-6.6332068780320255e-6,5.011356306517903e-6,2.1656194059493978e-6,-6.554887510928272e-6,6.5337439977521916e-6,1.4261283684734703e-5,2.1827009119721028e-6,2.016931069449239e-6,2.1569346539050696e-5,-4.553726032207464e-6,9.791295031836557e-6,-2.4937188251573494e-6,1.7952457348286132e-08,1.3606991114134743e-5,3.4040087675607625e-5,1.9690188502843254e-5,9.582020941429913e-6,1.1208216284580808e-5,-2.5357249850517804e-6,6.377644511736237e-6,-1.046454130365195e-5,-1.6325925460201383e-5,7.635668729416522e-6,-4.1555927848699864e-6,-1.0897057874328377e-7,3.6118554103399296e-7,9.61502235415934e-7,-1.1126501735133184e-6,-7.160172127960853e-7,1.327465632005755e-7,1.075010143839342e-6,-1.5543103064111273e-6,-7.880288436104595e-6,3.2153619605786885e-6,-6.733149483755727e-6,2.4017239457277704e-5,-4.617087736039989e-7
3.2552736511411075e-4,1.929849172305581e-6,5.89832913790349e-6,1.088261248402973e-5,6.323582518810637e-6,2.5489630556947733e-5,3.22651886068884e-5,2.4903474484289046e-5,2.9591063286114205e-5,3.8658690625318084e-5,3.18414489924749e-5,1.4975095115848642e-5,4.0983646257878704e-5,2.079135769625547e-5,8.370274358512555e-6,-1.3521569847973318e-6,5.976901961200594e-9,1.2658880765275242e-5,1.969018850284326e-5,3.319453102914e-5,5.281979861896016e-6,2.0188529997194542e-6,-2.583793568839924e-6,2.5395017464601157e-6,1.087374337635924e-6,-6.054609585840328e-6,6.012153623773372e-6,-4.197612075008753e-6,1.056882317759572e-8,5.509419401401766e-7,-1.1177742268989687e-8,-6.64923327206392e-7,2.449374876498585e-7,1.1693294962148948e-7,4.939048569582211e-7,-2.000610122898077e-6,-1.8484013401430225e-5,7.877714474350588e-7,2.6726713547932175e-6,1.3606831468815846e-5,1.797906070890544e-7
3.7671372679439207e-4,1.7400800853585918e-6,3.7645834915873156e-6,1.2785500517166105e-5,1.7679545900145212e-5,1.764299767326499e-5,6.426194399600784e-6,-3.6866986216097496e-6,4.277054348107739e-6,4.461364765545236e-6,-7.5719682019782975e-6,1.0554623636330034e-5,-1.8884377753445258e-5,-1.428684678920514e-5,5.183227363541326e-6,-1.1251632537113e-6,9.56511831277935e-9,4.418168472126147e-6,9.582020941429926e-6,5.281979861896021e-6,2.8396296263519346e-5,3.843658877628649e-6,-2.0417280839819596e-6,8.453100328105443e-6,-2.0389087436120736e-7,-7.282391953911309e-6,1.0012953862717402e-5,1.8888398888038997e-7,-2.3555975366881018e-7,8.063326626971519e-7,-2.7844227372494213e-7,-1.6356471689387828e-6,-8.687878630786227e-7,-9.71439082683085e-8,7.701843303525163e-7,-3.0365583116842344e-6,4.475857817806087e-6,-1.6090791800926619e-6,-1.4301725579344414e-5,2.0048061150582006e-5,-2.623531103208841e-7
-5.942482567816536e-5,1.7867280404781226e-5,2.1224411157524408e-5,8.54160447605833e-6,2.339525476861535e-5,2.294813373898715e-5,2.0991478340292465e-5,1.689890295292531e-5,1.8952774370374685e-5,2.6098592761300385e-5,1.5918160663330004e-5,2.4281926220730545e-6,1.2424471352052929e-5,1.5291379359333016e-5,-4.431541575881637e-6,-2.0461122101908194e-6,1.7061464620733516e-8,5.895500586414102e-6,1.12082162845808e-5,2.01885299971945e-6,3.843658877628659e-6,3.6300944094856086e-5,1.8088027797826364e-7,5.595696069945956e-7,-2.588981721015957e-5,-1.898457290311232e-5,-8.279243598139549e-7,1.223775648040631e-6,-4.193148523762528e-7,2.3492278044808158e-7,-2.0543768243898356e-7,6.772145512001427e-7,-5.633312656433415e-7,-2.651498859132071e-7,3.203094524270864e-7,1.3324932509904117e-6,-3.434933426723433e-6,-2.7540121866831134e-7,-1.3387682716677138e-5,-4.014688103790093e-6,2.3906907375769094e-7
-1.8217066923434023e-4,9.188418839840849e-6,-5.165166173501408e-6,-1.1286814142516292e-5,-1.8900961086846385e-6,2.8717118145224595e-6,-2.6111689379298516e-6,3.152683432216149e-7,-1.554388964894679e-6,4.4423381166673426e-7,7.19620420163451e-6,2.1563003930406496e-7,3.92587234146647e-6,-2.86201105880502e-7,2.1542931935805916e-6,2.1580113985360514e-7,-1.9316299677439554e-9,-1.4565276353941119e-6,-2.5357249850517864e-6,-2.583793568839918e-6,-2.0417280839819596e-6,1.8088027797826603e-7,1.0045602113579908e-5,1.6422952575620286e-6,-2.1267385972678763e-7,6.72316095052507e-7,2.2918068914808626e-6,-1.8803841181336154e-6,8.654699085933427e-8,-4.019092662349372e-7,8.632001771107385e-8,1.4186980314016446e-6,9.959776454069741e-7,-5.117465453878347e-7,-3.6886240957555125e-7,1.5839636413805564e-6,-8.416354857088077e-6,1.378495346020853e-6,5.702416063036641e-6,3.3515586453361417e-6,2.6535730692675776e-7
