estimate,se,df,t,p
-0.8313075458871713,0.3815189560560359,1305.5067599406593,-2.178941655955549,0.02951432550379897
0.12725984453411643,0.024830507882496914,849.0210410038995,5.125140618803943,3.6829045558031093e-7
0.06405149578961994,0.026431743434144662,1202.1632549081548,2.423279264540601,0.015527990230593381
-0.01057522112756928,0.028138104861160022,1469.9238029206676,-0.3758327428144109,0.7070954750522791
0.027028919641440167,0.025973283989351437,1151.559554227222,1.040643133633834,0.2982596374978091
0.08592429916601468,0.027634312842617192,1591.813944972135,3.1093336626595476,0.0019083258679883643
0.07880342720207005,0.028467493526328255,1760.3268150417969,2.7681898699366854,0.00569591265500108
0.06096980668210987,0.028356100844524154,1717.3824764260294,2.1501477589040157,0.03168277547435569
0.1278314915054947,0.029817462395807667,2104.232020458164,4.287135162899301,1.8916546089660284e-5
0.11518972746638405,0.03233119591076704,2711.738596617116,3.5628044129361514,3.732377462671804e-4
0.11206752546369521,0.033159401509507,2799.6368696105296,3.3796606802919764,7.356936758037787e-4
0.12396673925537613,0.03396368485989923,2331.9623205550884,3.6499790810903177,2.680250764325314e-4
0.17829840401097272,0.03284641116470317,2478.5223168463685,5.428246121529789,6.243952126598135e-8
0.03117829996341593,0.0332185274071171,2616.302985447528,0.9385816409410114,0.3480322198532604
0.021076628753968076,0.004947592303941513,180845106.47101617,4.259976865348691,2.044481671856418e-5
-0.009883027246154736,7.542602233781872e-4,138954373.71614677,-13.102941053805738,3.167586692629893e-39
6.828094820968586e-5,6.649365577085948e-6,71610097.54067132,10.26879142349843,9.74212406256439e-25
0.0146941400244135,0.00359985721318405,14278895.815152228,4.0818674614642925,4.46755157483827e-5
-0.02560404807364415,0.005834388372023894,11861283.016826833,-4.388471668498536,1.1415098473982054e-5
0.009568116641375354,0.005761469519934997,8551715.633441735,1.6607076733234727,0.09677220821359454
0.1505251218074898,0.0053288175295762704,84529374.03450784,28.24737776665043,1.5358166533465546e-175
0.04448342428744549,0.006025026480842726,126025597.52513905,7.383108510624099,1.5463683905472007e-13
0.05520108957513697,0.003169479785955403,13156727.610720979,17.416451059175074,6.2008468487608326e-68
0.11347354740529954,0.005480800227252587,82900769.91148548,20.703828401018278,3.2009762326652656e-95
0.15870082741118766,0.007468782371163892,273723910.2203637,21.24855425215136,3.4003708249965046e-100
-0.018258644105142028,0.007423712221612811,315323833.4303748,-2.4595032188862667,0.013912945530784886
0.11451812937466305,0.0054307138457097585,14720565.529390404,21.087122729755297,1.0477545759315768e-98
0.0033436492713541256,0.00517527722198291,82855729.02513571,0.64608119100391,0.5182267775656435
0.0012419052019091421,1.982377438359307e-4,140286805.92337424,6.264726271990824,3.734819559502955e-10
0.0015850124206727204,0.0012807971507511548,3791.2961540711644,1.2375202581791747,0.21597063420907409
5.560215598304667e-5,0.0011328601212653871,3697.711652195205,0.049081219242619226,0.9608572209947864
-0.0013994490676895455,0.0015285372327773867,3113.0147353810466,-0.9155479092561682,0.35997497665097977
0.004122910486017638,0.0015386817075803564,6040.072134630488,2.6795083516662412,0.0073930270884315415
0.0025983022453930213,0.001268889985016935,2224.1736697514675,2.0476970234408016,0.04070691645353285
0.0011041919208704958,8.260447529925341e-4,1414.341016833914,1.3367216689777528,0.1815284838850381
0.007819460123997972,0.002713651110066501,4074.2249028842443,2.8815274354875884,0.0039782120987513344
-0.07895725214100606,0.037175771466816956,600.0220824154903,-2.1238900774791776,0.034087769376879636
0.04644920661417866,0.005352550236600305,38229.54974673619,8.67795808744825,4.185502225577197e-18
0.14434797692155862,0.02791196594641733,1142.90900707223,5.171544605588291,2.7394224485338566e-7
-0.058814449940581416,0.03335381377674456,1912.6649966865202,-1.7633500724762365,0.07800111505706035
-0.004184337409646305,0.001097710328246005,268.1607322889122,-3.8118775982843482,1.7113111622803014e-4
