(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,gdp,growth
0.15023674392214256,1.2410902177478866e-4,-0.0014058388208323868,-6.498625172407492e-4,-0.0014111559030489792,5.361072811176285e-4,0.0012039362722485844,6.480631725399129e-4,0.004294451114209911,0.005325826979542059,0.007110474499789404,0.0014498301493301564,0.0038703530214033496,0.004162889413500007,1.7156527691256993e-4,1.2923315627521228e-4,-1.13641660292857e-6,-0.0019305452392924362,-0.0011015950121757087,-0.001029223958709356,-0.0011351765535721062,-0.00116273519437988,-0.00306578820655979,-6.34710199520536e-4,-1.621416795863406e-4,0.001248823570270853,-9.87997094274395e-4,-5.569684607665413e-4,2.5319041530987328e-5,-0.015340880108525612,-0.0014372275569590016
1.2410902177477907e-4,0.0015185862055579833,0.0011805008616564512,0.0010049620132356238,0.0010963275563841707,0.001084519175421463,9.855419996869714e-4,0.0011242574460355766,0.0010017494908711214,9.34531759278016e-4,0.0010012914191620558,9.009939002994504e-4,8.934752065266125e-4,0.001076534574502393,-2.1086202058251405e-5,3.1655830633727054e-6,-9.172636789217673e-9,4.274672942045993e-5,2.478026548850185e-5,8.243954820373938e-5,-4.062827925303917e-5,6.39135174509104e-5,-5.179122499293931e-5,-2.4379933208029378e-5,-7.479642881165305e-5,-1.823816295072819e-5,-6.859574429792276e-5,4.791585143381548e-5,-6.652148178343939e-7,-1.6543221907033826e-4,2.0834201500284683e-5
-0.0014058388208324252,0.0011805008616564514,0.002777677548783502,0.001952680353187657,0.0017997045233014435,0.0018791740625903122,0.0017205996712861403,0.0016784033287011856,0.0018913673610735393,0.0018202602409215533,0.0017185497070350804,0.0016704483544191459,0.0015527280081818063,0.0016383508868404353,6.455498262833724e-5,6.121059468840178e-6,-2.2815691748852946e-8,8.554509914530286e-5,3.4009742635352755e-5,7.629367781893955e-5,-5.360106285741301e-5,1.4778786499987815e-4,-2.3292319205516762e-5,-2.3977183490535355e-5,-1.2089309266653538e-4,-1.6965931679955005e-5,-1.0518168644769413e-4,-5.42588640510582e-5,9.242580610559549e-7,-2.9444356747736534e-5,-5.3194509313929924e-5
-6.498625172407788e-4,0.0010049620132356219,0.0019526803531876547,0.0025337182694627858,0.002091611674980157,0.0020995270607799457,0.0017740647386389854,0.0016355644894063541,0.0018162248868153492,0.0015933238481270309,0.0015057577922908054,0.001545126007786098,0.0013482041103881548,0.0015085141033233116,4.891588326628166e-5,5.27580234947858e-7,2.4268604235654085e-8,1.0644688486320437e-4,6.538033870722398e-5,6.149100207068826e-5,-1.1348859023937519e-5,1.581912301080412e-4,5.672713930128099e-5,1.53130266077411e-5,-1.884376722224438e-5,-5.239768947582179e-5,-3.900335660897947e-6,2.6491570080997533e-5,-8.225969636256482e-7,-1.5522213881568884e-4,-1.4112037148881004e-4
-0.0014111559030490811,0.0010963275563841645,0.0017997045233014398,0.0020916116749801544,0.0026139552647976693,0.0022107082320196535,0.0017903420780534223,0.0016998903957940108,0.0018891453147799715,0.0016100171539244956,0.0015419451302703141,0.0016104869830967977,0.0013304962285430688,0.0015588802425686042,2.3290547080619812e-5,-1.4379751377573574e-5,1.4461413959314472e-7,1.3472280907310332e-4,9.64771580990719e-5,9.373726314410232e-5,6.485013690910605e-5,1.8439645536407962e-4,1.7444662454252482e-4,8.807748083159592e-5,-2.836284759947516e-6,-1.5255450426140103e-4,1.864801794062895e-5,8.504866346765701e-5,-2.855086269760257e-6,-8.926348330431835e-5,-7.686542704137549e-5
5.361072811175565e-4,0.0010845191754214575,0.0018791740625903068,0.0020995270607799396,0.002210708232019654,0.0029681570073300106,0.0022151627121386078,0.0020987555245615902,0.0021841138461351772,0.001956058612122508,0.0020016921752148537,0.001853500910672893,0.0017592185745119156,0.0019826572517311677,-8.305528269470372e-5,-1.9149519821542814e-5,1.8516010115761094e-7,8.980929078247866e-5,6.0210043627769055e-5,8.63793867458986e-5,8.782876815666557e-5,1.4282643417832158e-4,1.4209146468068887e-4,5.8579834034958064e-5,-1.9161091862703884e-5,-2.437046225193851e-4,6.63763317830957e-5,6.065298563744568e-5,-1.954586646480017e-6,-2.949204815108564e-4,-9.82238871186696e-5
0.0012039362722485018,9.855419996869657e-4,0.0017205996712861345,0.0017740647386389821,0.0017903420780534215,0.0022151627121386065,0.0026095937328205177,0.002237671907807956,0.0023770968019800076,0.0023066808413827245,0.0021958276216308623,0.002170722668324074,0.0020329390477784232,0.002333159288236754,1.6904123579097885e-5,-2.1246421160119506e-6,3.267361278637276e-9,9.669926288734264e-5,5.5400265550993546e-5,3.461390729062562e-5,-1.3239480793475175e-5,1.5616879697379462e-4,-6.547679415585731e-6,-2.670740065999664e-5,-1.3113630665868446e-4,-1.8013687969196162e-4,-7.04549015275332e-5,-4.298864557300088e-5,-6.841118643554424e-7,-3.0123356494272583e-4,-8.49386413242685e-5
6.480631725398185e-4,0.0011242574460355714,0.0016784033287011804,0.0016355644894063502,0.0016998903957940097,0.0020987555245615894,0.0022376719078079565,0.002543492519378866,0.002561104196139844,0.0025099866675802247,0.002296806879787793,0.002113465638606601,0.0020619795122891753,0.0023562830607421403,2.881981551657641e-5,-7.150141918154388e-6,3.370184910140262e-8,9.205656247524641e-5,1.0451435673140076e-4,7.52879974690595e-5,1.3023074963338578e-5,1.4630003412478024e-4,5.374893349012237e-6,-2.725785054892019e-5,-1.720855330847058e-4,-1.675635179183235e-4,-1.0564514257882687e-4,-1.1378217283025853e-4,8.568874487903028e-7,-1.6189566979071262e-4,-8.516158821309833e-5
0.004294451114209867,0.0010017494908711132,0.001891367361073529,0.0018162248868153444,0.0018891453147799684,0.002184113846135175,0.002377096801980006,0.002561104196139843,0.003614408753449456,0.0034060029981970497,0.0031954546873942894,0.0026646971139128997,0.0027135511206007033,0.0030426073473348476,1.49155537873541e-4,-2.822185693921374e-7,-8.963676009480553e-9,7.018893694978165e-5,1.0641834913199272e-4,2.2907568937208583e-5,-5.0653437673704344e-5,5.4381530389256766e-5,-7.328802559757378e-5,-2.6532406143914032e-5,-2.0346870156285978e-4,-9.448790383860993e-5,-1.4065934858255001e-4,-2.745746506104296e-4,3.2913315439816145e-6,-4.3645709408706985e-4,-1.9280940559871385e-4
0.005325826979541951,9.34531759278013e-4,0.0018202602409215503,0.0015933238481270282,0.0016100171539244993,0.0019560586121225103,0.0023066808413827284,0.002509986667580226,0.003406002998197055,0.003803153202376275,0.0034524956281739654,0.00267288631055907,0.002834864044101535,0.003171841930408903,1.5144689161052818e-4,5.423836776385641e-6,-7.60111889015521e-8,2.858286546600544e-5,7.930842799228143e-5,-1.316215381733951e-5,-7.165013881157043e-5,7.668780636228904e-5,-7.711903679870905e-5,-4.5840868909942887e-5,-1.84740596381662e-4,-1.0676812158286534e-4,-1.6189271397356683e-4,-3.4832077219676866e-4,4.722790419416026e-6,-4.952951013745013e-4,-2.223435710298576e-4
