(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,expected_economic_conditions,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
0.6682577136306401,-0.0019431325055401809,-0.0023194249516784505,-0.009007289843037308,-0.0084445465758379,-0.012131634211248188,-0.008572124798417102,-0.008444135070286608,-0.0057002752219561205,-0.003564974690863786,-0.005068819903298026,-0.00793754493861598,-0.004791995916713825,-0.0030374679498105556,0.0023924414950925025,3.299083856761304e-5,-2.4311645160862717e-7,-1.833301139380537e-4,0.001411809168672592,6.592080852104111e-4,5.743878647993006e-5,-0.002116594146412187,-5.088894990845378e-4,-6.222365050710819e-4,-2.72778671645791e-5,-0.0010567379971844466,-2.4302174817151698e-4,-0.002345234283300257,6.03014436234064e-4,0.0023635450678867534,4.2081347156357223e-4,-0.001505149796458551,4.1238357892045996e-4,-3.5516870337262e-4,-0.0011034905945246196,-1.4195921631875396e-5,-7.333970984197894e-4,3.789591581220906e-4,-4.811501315393667e-4,-0.001271465696219296,1.1530874790728572e-4,-4.1198965913782123e-4,1.8526086588049293e-4,2.1835393076387766e-4,1.589531424391846e-4,-0.0014492147513484118,5.648613254272911e-4,2.4904866960064086e-4,2.958119999057598e-5,-0.0026615383697357648,8.640792752702887e-5,-0.028317627373442365,0.0010571351942020057,0.013266113749922308,-0.0037263334127163915,5.027896818419175e-4
-0.0019431325055400011,0.0013992486486056486,0.0011383493148617045,0.0011864509257644552,0.001126773875277089,0.0013516023257378607,0.001291417534314825,0.0012466175962758605,0.001116044692581058,0.0011427103716344631,0.0012678918529909929,0.0013761733521546694,0.0013354141931278024,0.0012434286370575068,-2.082878175587441e-5,1.500454950873155e-5,-1.3519588748614532e-7,-1.2451997024075916e-5,-1.591726850950738e-5,4.264179317212418e-6,-6.384471162791585e-5,-1.6090434464030067e-5,-9.842539923470753e-5,4.2025553782514716e-5,-2.0803132325590307e-6,1.6806384418402677e-5,-2.1312571755391467e-5,-6.499620382050029e-5,-6.433007360978766e-6,-3.844228334183079e-5,-7.945186218662374e-7,1.28224964924182e-5,-4.0381369899493975e-5,-5.222891235550696e-5,2.4596294243512764e-5,2.4135786430614885e-7,4.968891257154391e-5,5.529919472544626e-6,6.567732526539303e-6,-9.38167235582262e-6,-1.1641812642492324e-5,1.3653170116950476e-5,7.0103507977716106e-6,-1.1776048308043813e-5,2.9493694020959513e-6,-4.188273240855138e-6,-4.2572809919451025e-6,-2.1394625414031685e-5,-2.982575519961851e-6,5.9449890342014564e-5,-9.135459382304169e-6,-3.4249284288320075e-4,-9.340087916167482e-6,-1.1038812891013364e-4,-9.775717199648547e-5,1.1399623310911862e-5
-0.002319424951678605,0.0011383493148617101,0.0026192101359214836,0.0019964988558500065,0.001795634677433316,0.002134952898780718,0.002075238639999991,0.0020471244602752307,0.0021131573910241172,0.002145010498777266,0.001994597924720143,0.0021366965293967296,0.0020605189536858476,0.0018612691274815763,-1.0251107158728589e-5,1.079195362194585e-5,-4.170240711339994e-8,8.347068866677631e-6,-1.0025699060215882e-4,2.5911696963613236e-5,-4.1723031834868184e-5,5.2974211731942754e-5,-1.282032539813917e-4,8.267831663402648e-5,1.6036689402535347e-5,-5.2102677410843894e-5,-1.99940749936577e-5,-1.3413714756925631e-4,4.2725362801914516e-5,-2.6572215394917752e-5,5.874715278607553e-5,3.232092386714918e-5,-9.338627890973263e-5,-5.2604338299453e-5,-9.735846091017065e-5,1.8050962455068638e-6,5.1371567023838995e-5,-2.305836625100612e-5,2.8743963893862045e-5,-2.5817376187886828e-5,-1.1704904227614109e-5,2.5743520955784486e-5,-1.7783551959059883e-6,-3.420402365639479e-5,7.65357309450962e-6,-3.3375698411381426e-5,1.753121761309995e-5,-2.4143324225418644e-5,3.353292524380983e-5,5.418819339722577e-5,-2.020665836834076e-5,-1.3556739736809672e-4,1.1934634065414255e-6,4.3716423442241977e-4,-6.329798874798807e-4,2.049011981390294e-5
-0.009007289843037168,0.0011864509257644618,0.001996498855850004,0.002834874347475521,0.0023532408540874344,0.002544240428156107,0.0021929414784972864,0.002136625897767161,0.0022259214797458226,0.002163008959864347,0.0020308748166999596,0.002233839061999113,0.002110372211270228,0.002115710919344665,-4.1218187411968307e-5,1.0804192665695704e-5,-5.221792131735932e-8,4.397166951399391e-5,-6.785405404768688e-5,2.319477085646637e-5,-1.2208444294182895e-5,7.384533494707212e-5,-1.6357371401350452e-5,4.266072160312837e-5,2.5344454201321e-5,-4.3639522802710615e-5,2.062047748236989e-5,-7.754840195686663e-6,8.119506363295622e-5,-5.696975092469503e-5,6.325443890808846e-5,6.268299497363397e-5,6.989309142127518e-5,3.0016622740041976e-6,-4.098015960958813e-5,2.548683718438663e-6,4.6301546698252955e-5,-2.4073259895294845e-5,4.489919875039847e-5,1.5124078583581595e-5,-9.232041488088214e-6,1.3418441082496825e-5,-1.251327798851588e-6,-2.3090789839313247e-5,6.989693045991856e-6,-1.144050374382122e-5,3.6858583311864145e-6,-2.3619043349927393e-5,1.1493110965243165e-5,1.1143951615779047e-4,-5.589025107275666e-6,-6.492188902020311e-4,-8.821507614948522e-5,1.625248440211185e-4,-6.829887868615138e-4,3.026274861356538e-5
-0.00844454657583806,0.0011267738752770914,0.0017956346774333088,0.002353240854087428,0.003176886985571609,0.002763404531532137,0.002296724908640112,0.0022146650866826318,0.0022127171919471503,0.0020622572877395163,0.0019433328263556932,0.0021971131078973322,0.0019267778512331755,0.0020713714920240133,-7.768967121558463e-5,-1.2932870874836694e-5,1.3965530507188672e-7,1.1293927466720171e-4,3.8177923087577625e-5,5.983580488961014e-5,8.317111028788072e-5,1.2844221447684185e-4,1.0706977247868779e-4,-2.7139977244763595e-06,9.73774973726293e-5,-1.3554818731025006e-5,3.601295458003257e-5,4.9791527270882004e-5,1.2052430809428136e-4,-1.1754015324989948e-4,8.036856433935326e-5,1.0218991997164259e-4,8.832884170309817e-5,3.3521027023372274e-6,5.3082979664068094e-5,-8.553401973814411e-7,5.577339985803667e-5,-3.5966304237713914e-5,3.2614988416376595e-5,2.265914857100512e-5,-7.329361506222636e-6,1.241305404044984e-5,1.4977855103861621e-5,-1.765916858904043e-5,1.929882815995656e-5,3.754586078252378e-6,-5.78738644069948e-7,-2.9565630419588103e-5,1.861282540061649e-5,1.0622953181528121e-4,-1.6689154444395514e-5,-7.851235173211636e-4,-5.530710635224306e-5,5.216394217499698e-4,-6.148660972325309e-4,2.0352356286282603e-5
-0.012131634211248448,0.0013516023257378622,0.002134952898780712,0.0025442404281561023,0.0027634045315321353,0.0036523303231560593,0.0029189138844164996,0.0027562132711363807,0.0026260467028661368,0.0025825157736789894,0.002558465097252071,0.002723549215695023,0.0025787347147587765,0.002579563335598622,-1.9059683184119146e-4,-6.398846562828623e-6,9.161184776967343e-8,-8.224162077887483e-7,-9.103860571013265e-5,4.3516879724971237e-5,5.938539898577534e-5,5.825004681749401e-5,-3.629175466992036e-5,7.595084451966365e-5,1.7174971065926287e-5,2.0385262760854323e-5,-2.192460144565817e-5,-8.903275036562826e-6,4.555786922619454e-5,-1.872930110249384e-4,4.738333315190406e-5,1.1454303907197544e-4,5.92037720374875e-5,5.424529893635316e-6,2.0801430278296543e-5,-4.122272351741243e-7,1.011459209965091e-4,-2.31659877523415e-5,2.7318058776317335e-5,-4.102119485521541e-6,-6.164230349964561e-6,2.3425588201896634e-5,9.19097250976105e-6,-2.984611321194333e-5,1.7948736097384284e-5,3.154035018926598e-5,-1.5113940718874005e-6,-3.3614946634128175e-5,2.726912257916765e-5,1.2096516476383026e-4,-2.9050674372134898e-5,-5.357061627808227e-4,-4.583617877211369e-5,4.0822750622210237e-4,-9.314241973395546e-4,2.165751350643577e-5
-0.008572124798417187,0.001291417534314827,0.0020752386399999867,0.002192941478497284,0.0022967249086401167,0.002918913884416501,0.003344319938733523,0.002722726507874532,0.002587458390004009,0.002623847880580777,0.002538928381956402,0.0028846272610313826,0.0026615368273429727,0.002661715745367539,-9.543647079367495e-5,4.864737552082328e-6,-3.873730566096049e-8,1.690432559341699e-5,-8.731246215505195e-5,-6.860282031670965e-6,-1.6406892730634935e-5,8.577362790511279e-5,-7.568434470209743e-5,5.674447946857154e-5,5.357540299733807e-5,-2.6354416366958186e-5,-6.724610252959817e-5,-7.035270011920878e-5,7.217712109187926e-5,-1.5003400391078994e-4,3.879998565239402e-5,4.075028379636095e-5,-3.456929110823278e-5,1.034934789532101e-5,-5.0486962915474845e-5,5.357068852207171e-7,3.6239189349873024e-5,-2.154473087320899e-5,2.4381462440601284e-5,-1.8478881157750293e-5,5.691194740705917e-6,1.1499447533063557e-5,1.823673647387586e-5,-4.102517695315961e-5,2.164760993960036e-5,2.5227998881244494e-5,3.8056899170433685e-6,-4.590655291859194e-5,2.0070421444505744e-5,9.58863517050651e-5,-2.2985350216722387e-5,-3.992736662891031e-4,-1.1995298187110343e-5,5.381205243502145e-4,-0.001087869970253344,1.6763174699114186e-5
-0.008444135070287254,0.001246617596275864,0.0020471244602752276,0.002136625897767159,0.0022146650866826313,0.0027562132711363803,0.002722726507874526,0.0029398799323526984,0.00279170418915906,0.002814020125699295,0.0026685091586162615,0.0026047878302490517,0.0026126583314499004,0.0025537172641019947,-8.850867230422953e-5,4.1315000687905e-6,-2.731610434805569e-8,1.7334886681561287e-5,-7.206115031212828e-5,2.1066131893042946e-5,5.139204809565557e-6,8.69550065799436e-5,-7.655812625209617e-5,3.614171130844761e-5,3.481465548442283e-5,-2.462270638879819e-5,-3.60587411668944e-5,-1.166891498777853e-4,7.380135970262079e-5,-7.753419927461448e-5,3.424309814981081e-5,5.2380860586328175e-5,-4.3397979892274545e-5,1.7992998370100763e-5,-1.376086885428194e-4,3.222205096514095e-6,6.0937542746569235e-5,-6.751622990400132e-6,2.6814303528642946e-5,-2.8835385752919354e-5,-7.903884925271243e-6,2.620540026575811e-5,6.920348994940678e-6,-3.924561676738754e-5,2.6371359951745717e-6,2.5948574000394016e-5,1.0852724933069388e-6,-3.392240613489514e-5,3.440586153348617e-5,8.42606147358914e-5,-2.3708874797860314e-05,-2.409011882487683e-4,-4.717587952365931e-5,3.5207776121036396e-4,-0.0010511795721865494,2.3557576577517378e-5
-0.005700275221956738,0.0011160446925810616,0.0021131573910241125,0.0022259214797458182,0.0022127171919471542,0.0026260467028661402,0.002587458390004005,0.0027917041891590637,0.0034510599941539252,0.0032488186635352325,0.003026788182155326,0.0029633242244704503,0.0029808283538965653,0.0028010850657259876,9.797613103630373e-6,1.370664567206622e-5,-7.577278671246802e-8,-3.389787639462722e-5,-1.1859060414855206e-4,-5.2138310982395964e-5,-3.059733888871175e-5,2.464628693841235e-5,-1.5210927455611628e-4,3.834028145138407e-5,1.6349083155951182e-5,-3.7356727475728704e-5,-3.454283233546712e-5,-1.3694120241802872e-4,3.789889161096193e-5,-1.0641312524721289e-5,5.677443658094472e-5,1.153569600912727e-5,-2.8550107442671174e-5,-3.258649592032116e-5,-2.040581839071644e-4,5.727853962551976e-6,6.04652804840978e-5,-1.3341705401213549e-5,4.5971788226356314e-5,-4.6762791385086536e-5,5.0214270544566016e-6,1.3922757966746434e-5,-9.33451701022201e-7,-3.892755723156085e-5,4.82102825053519e-7,-2.5721558270378693e-5,-1.7568826521723412e-6,-2.3783477421044883e-5,4.417838379538548e-5,7.503251019960272e-5,-2.06151330275929e-5,2.1986037335284288e-5,-8.257795232913915e-5,2.616555273073468e-4,-0.00115105281213686,2.289576458019132e-5
-0.003564974690865623,0.001142710371634471,0.002145010498777271,0.0021630089598643483,0.002062257287739522,0.002582515773678992,0.0026238478805807723,0.0028140201256992973,0.0032488186635352264,0.003569327411112279,0.003258461327447753,0.0029755350986941163,0.003043203115477011,0.002839729480581871,-2.608712054312905e-5,1.6633655390710813e-5,-1.1982763880920969e-7,-5.5369064063704575e-5,-1.4291252341652272e-4,-6.475519767401778e-5,-1.662266162921541e-5,6.963605025643173e-5,-1.1943435458968877e-4,4.647391827656699e-5,4.184069626464426e-5,-4.778972818506268e-5,-2.505263617544376e-5,-8.507917999358533e-5,9.172234623813621e-5,-4.172540418380766e-5,3.871269608058858e-5,1.7419393455061382e-5,-8.426015535041044e-6,1.5447501878341027e-5,-2.5408688161113305e-4,6.263591620311843e-6,3.489371825208513e-5,-1.3720413171597088e-5,5.296295388521561e-5,-7.810938924848824e-5,2.4881265527423068e-6,1.5921915351547654e-5,4.171196150786288e-7,-3.960705074827023e-5,-1.3901812393614098e-6,-2.0906845109341492e-5,5.290521702406189e-6,-2.3538836722801645e-5,5.6150929224583804e-5,6.288182232341188e-5,-2.667826393688764e-5,2.9727697297939525e-5,-9.511653235342365e-5,3.458677989478245e-4,-0.0010987417016661094,1.8973471989175746e-5
