(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,gdp
4.0161449310990405e-4,2.8258735229859406e-5,7.866548110708183e-5,2.727743427037248e-5,-5.206986647364147e-6,4.877955990043322e-5,2.229801735779323e-5,-1.1184132102743453e-6,1.2761174723616067e-5,1.8460124434959305e-5,2.160869165519932e-5,-4.217058277572863e-5,-2.7098141254940467e-5,-8.34076211884634e-6,-8.857552134157053e-6,2.4254407104227717e-6,-5.267726375088684e-9,-3.295092229502817e-5,-2.3448279635642685e-5,-1.774948881203252e-5,-9.323868479615139e-6,-2.1613138291039954e-5,-5.253893000274484e-5,7.834722500728211e-5,-2.621572570983805e-5,2.6097979962944875e-5,-8.315493518469912e-6,1.4915655952459501e-5,-4.6832869397213185e-5,5.04662993439768e-5,-1.0454102226992439e-5,5.163469398900859e-6,-1.876417656555172e-5,-3.7841750609479586e-5,-4.669499245944541e-5
-7.678869523198334e-4,-3.330388285839601e-5,7.665476194449499e-6,1.679652829613409e-5,7.3250087652192e-5,1.6801914269872806e-5,3.3502940391079804e-5,1.6023135039300216e-5,-8.571281145190358e-6,1.0979788270472613e-5,-1.1741425681837039e-5,9.446282285572608e-6,1.436145121572614e-6,-1.9434213943793858e-5,-1.6595295668393675e-5,-9.776619072982575e-6,9.112512595473376e-8,6.273857112240937e-5,3.74748764187575e-5,4.8249745602235414e-5,1.992969765686248e-5,3.8405929384492165e-5,6.04546975299471e-5,-2.6215725709838068e-05,1.2034675109018011e-4,-3.39956545790409e-5,8.50898456607884e-6,-1.029805284938775e-5,5.7362735736097565e-5,-5.687344008042221e-5,-4.972551037021046e-6,-2.530983654537927e-6,3.850698652816569e-5,2.6165853737950873e-5,8.210564079776442e-5
8.269137739212211e-4,3.852254935894255e-5,-6.388340783056542e-5,-5.1608332541466665e-5,-4.192709116576077e-5,-1.5606217725312384e-5,-6.003000543872402e-5,-5.9680539992570743e-5,-8.194583555643382e-5,-1.0833403093958486e-4,-6.889070903413185e-5,-1.56009446174342e-4,-1.1656232604416907e-4,-9.523440197519127e-5,-1.728951416586103e-5,4.830816896398279e-6,-2.855666289021387e-8,-2.2676173084199467e-5,-1.2303125098877038e-5,-5.059754764257983e-6,-1.4242040996011036e-5,-3.096896708808738e-5,-5.648078120143045e-5,2.6097979962944882e-5,-3.3995654579040896e-5,1.0088716967835973e-4,-1.8789303483525708e-6,8.527633012490083e-6,-4.843653976926938e-5,5.901289005774255e-5,-3.3618726666581976e-6,1.9850988862416703e-5,-2.978193151727719e-5,-1.9132055801469493e-5,-8.222629251758398e-5
-3.4577602140030574e-4,-1.6096287611339536e-5,-4.0737601669627186e-5,-1.7877878352663977e-5,-1.3961044087701662e-6,-2.5123449057768082e-5,-5.496867805978364e-5,-3.2683674201951204e-5,-5.013272119553441e-5,-5.898412570935724e-5,-6.523755006684589e-5,-1.1407668689048234e-4,-3.635194067357826e-5,-6.589957261402659e-5,-1.8485050766460843e-6,-1.6369658421376737e-6,1.2214556743869335e-8,3.525415522914541e-5,2.4055920756452043e-5,8.134325567876903e-6,3.364280839144223e-5,2.980272581491618e-5,5.536390241420027e-5,-8.315493518469915e-6,8.50898456607885e-6,-1.8789303483525693e-6,7.006691452612517e-5,2.6854506559608297e-5,2.04211473073198e-5,1.5020923815533586e-5,2.329064302473657e-5,1.7188423007691397e-5,6.99058151972519e-5,2.4919939399975485e-5,1.6224376423548692e-5
8.061965698362089e-5,-8.980478512784057e-5,-1.3242176841617436e-4,-4.3314629155945074e-5,-4.8824967261674394e-5,-6.781768124243072e-5,-1.552700985969423e-4,-2.01187616534744e-4,-2.4039726340247328e-4,-2.242281387813785e-4,-1.9359850785909935e-4,-2.183484986870889e-4,-1.416795734182698e-4,-2.406484003948545e-4,-5.5975234748294945e-5,-1.0589792819805676e-5,1.0198740536819085e-7,-7.952881118375083e-6,-1.6905913085698761e-6,-4.726036135927981e-5,1.10210863002096e-4,-1.0370826992519756e-6,5.616716323983723e-5,1.4915655952459512e-5,-1.0298052849387742e-5,8.52763301249007e-6,2.6854506559608286e-5,2.72368755244339e-4,-1.1443269765700223e-5,5.026706508611975e-5,2.9239404244477484e-5,4.433317452766037e-5,1.0451152221444251e-4,3.982037579719905e-5,-2.9027037837637607e-5
-8.825353435712923e-4,3.5333818022628336e-5,1.1925859721897335e-4,1.0172546990421209e-4,1.565496469485942e-4,1.292614150263752e-4,1.1862629832848163e-4,1.316699158313225e-4,1.2365946658101086e-4,1.4218506745309635e-4,1.0569635118438886e-4,2.448119702423123e-4,2.4536934161183523e-4,1.7451310511879857e-4,-2.8999396328049445e-5,-9.985517070723325e-6,7.74325944576051e-8,1.081866004955359e-4,6.209805700463602e-5,6.228596390935731e-5,3.77976214782052e-5,7.108937733171982e-5,1.4887768453571907e-4,-4.6832869397213165e-5,5.736273573609754e-5,-4.843653976926938e-5,2.0421147307319818e-5,-1.1443269765700201e-5,2.470539292788844e-4,-1.0685871691018273e-4,3.0773156219976474e-5,-2.1498389298685316e-5,5.951292246045804e-5,8.50003033823563e-5,5.690543648483913e-5
0.0014525763837438465,-9.35932757088517e-6,-1.2556641715400166e-5,-4.394339736795104e-5,-1.1536062952074962e-4,-1.8077753371631184e-4,-1.6231754736790508e-4,-1.598485865197895e-4,-1.0430658309648428e-4,-1.386384585561165e-4,-9.792728681235968e-5,-2.6829460687812504e-4,-1.5653515999130747e-4,-1.602081628639406e-4,3.073500671424064e-5,1.0886321615581013e-5,-6.945035377157796e-8,-7.622056799272406e-5,-5.0139455688489786e-5,-1.0863498228295401e-5,1.2187001088759833e-6,-5.0276039783079233e-5,-1.0134881811927033e-4,5.04662993439768e-5,-5.6873440080422213e-5,5.9012890057742566e-5,1.50209238155336e-5,5.026706508611975e-5,-1.0685871691018277e-4,3.0768076943166466e-4,1.0547472933540465e-5,-9.017429204080936e-6,8.92836907111892e-6,-7.036612242900377e-5,-1.795799746557227e-4
-2.595147203819166e-4,-1.0931295413771774e-5,4.668963424392249e-5,4.133441549231151e-5,6.431631057810303e-5,6.22566429649599e-5,3.383277586560254e-5,2.4813887234602354e-5,3.491415385335065e-5,5.064447061568997e-6,6.570032357605088e-6,2.771517848026772e-5,3.255887460201886e-5,2.751703983478341e-5,-1.175664833155731e-5,-2.9100694831027284e-6,8.514172055824578e-9,2.7295832556604924e-5,6.035808066771486e-6,-6.017776137929358e-6,6.83180632544523e-5,-4.6409676115517704e-6,5.6759856406515775e-5,-1.0454102226992437e-5,-4.9725510370210375e-6,-3.3618726666581955e-6,2.3290643024736565e-5,2.9239404244477474e-5,3.077315621997648e-5,1.0547472933540453e-5,7.465194644690102e-5,1.7670847783127424e-5,6.025735147196641e-5,4.526587325842136e-5,3.4026851084899105e-6
-7.740279207525604e-4,4.90073173791106e-5,1.6952984172483065e-5,3.5173759155918125e-5,7.956823865341136e-5,9.921221619514421e-5,2.083068482944373e-5,3.918538541539484e-5,-2.6580061097708113e-5,-3.995140718748904e-5,-4.9720311307785395e-5,-1.4008234070099352e-4,-8.26367581981763e-5,-5.224594972841846e-5,-5.9543462420251026e-5,-6.923592686171457e-6,6.949490596673273e-8,1.0113851262228704e-5,4.378541244245379e-6,-2.5988525977665318e-5,7.201219734315869e-5,2.269616842747747e-5,4.3039082081998356e-5,5.1634693989008635e-6,-2.5309836545379407e-6,1.985098886241668e-5,1.718842300769139e-5,4.4333174527660306e-5,-2.1498389298685322e-5,-9.017429204080929e-6,1.7670847783127424e-5,1.2511237905602415e-4,7.123488181677107e-5,4.0683042800473225e-5,6.448028727377674e-5
-0.0013215037905017573,-5.545678143060941e-5,-8.697350128011932e-5,4.381488353466064e-5,6.508653003217019e-5,1.0483592584901031e-4,-5.5149388879003065e-5,-6.829065278687512e-5,-1.223986082747348e-4,-1.52174219042672e-4,-1.5345949231040677e-4,-1.1302699747973581e-4,-2.512443736608015e-5,-1.2276284351661103e-4,-6.414455083350412e-5,-1.4608983236492944e-5,9.69814482248985e-8,7.997282534721031e-5,9.939882906492209e-5,4.587292266666942e-5,1.7735922982970616e-4,5.952265731622296e-5,1.754778009844818e-4,-1.876417656555173e-5,3.850698652816569e-5,-2.9781931517277185e-5,6.990581519725191e-5,1.045115222144425e-4,5.9512922460458024e-5,8.92836907111892e-6,6.025735147196644e-5,7.123488181677104e-5,3.276814435333496e-4,1.1077378473634321e-4,7.164643183582758e-5
