estimate,se,df,t,p
-0.6371555028575495,0.1541391679867994,2148.5327067723906,-4.133637875300559,3.7077526815881464e-5
0.008925950453382963,0.007658546105695473,983.1856841311287,1.1654888970042176,0.24410382207494358
-0.004269707614865395,0.008679914431163853,1876.629896579582,-0.4919066482424859,0.6228428712102876
-0.007667410337324686,0.009515839610021433,2497.4321081680055,-0.8057523719977261,0.42046235563938117
0.0017709735356546128,0.010338002454483778,3583.9823996071796,0.17130713050725865,0.8639919448258456
7.002874988364052e-4,0.011257385131237677,4250.3779373417365,0.062206941547482894,0.9504009595737026
-5.633625504369239e-5,0.010674315029901774,3949.482944892938,-0.00527773959133477,0.9957892591642779
0.0071720039360529675,0.01107802206746478,4544.7642575749405,0.64740834531432645,0.5174003956324855
0.022295038542399483,0.010523552539555985,3608.6567124544026,2.118584808561251,0.034193722578988436
0.02309564673826088,0.01083638730995782,3756.4636217963043,2.1313050260798385,0.03312875978183564
0.027646020885092073,0.011977518003578807,5005.961787663453,2.308159409723418,0.021030836932799255
0.05054045032574704,0.01167835617861069,3115.560834001704,4.327702422564711,1.5541308839596095e-5
0.052120571715249066,0.011019340111360057,3234.327841902692,4.729917689128856,2.342220237747205e-6
0.024224391869438155,0.011484674357596045,3770.4204009996492,2.109279820669532,0.03498619121223078
-0.02003273436868368,0.0019246652278231055,66563810.25625,-10.40842536098692,2.2695448545065653e-25
-0.00786429317883951,4.2842251835002314e-4,238146299.280879,-18.356395478760405,2.934857674966276e-75
7.355489831846804e-5,4.200916995171743e-6,187506247.1604793,17.50924819581229,1.2180729026036857e-68
0.036419362732192685,0.0021082509539297224,27521828.076032422,17.274681016654107,7.303522452907888e-67
-0.02463322377112837,0.0032476090962593653,18587964.105356503,-7.585033494179212,3.3241649425142813e-14
-0.0014725856882192678,0.0028452531753577616,8472864.092978645,-0.5175587539882476,0.6047661792754755
0.14158753825590473,0.005370628683589239,1429696127.3882205,26.363308021749237,3.6125027194784395e-153
0.03403861726427963,0.004174433635199887,479844162.3266109,8.154068369241124,3.518826111003639e-16
0.05201862094664482,0.003051796987774066,184252730.3962363,17.04524290280082,3.792093768826348e-65
0.03683880366665901,0.002065278363423168,39686484.22834081,17.8372098982334,3.636268597304769e-71
0.027696041919603103,0.0018207515236825255,21049874.427950736,15.211324312714023,2.976549937809771e-52
0.09024564847330856,0.002643467870199599,153446556.17124903,34.13911305322369,1.9441099193264398e-255
0.03252005414946948,0.00182202588912857,41287129.12941078,17.848294222110653,2.9818457120309514e-71
0.11796781580963975,0.0037923680167728808,293177886.96045166,31.106637142780404,1.960420970639743e-212
0.05015207941033005,0.0027510534815261053,40737489.84607264,18.2301361086259,2.9778256894661216e-74
-0.006982915135159321,0.003932183103109107,411377871.3089425,-1.7758367176843965,0.07575983456952338
0.06126557588428361,0.00218740222398532,96884422.3539421,28.008372311454124,1.2868568265366966e-172
0.08527117597435357,0.0024481430035707854,117534046.10473265,34.83096201895873,8.295326904602427e-266
0.08069305014041318,0.0036437523394206497,49020171.378988154,22.14559130910726,1.1518345252633624e-108
0.11931355035320258,0.003403243876955295,255277825.14025998,35.058771768053894,2.8705505126711495e-269
-0.014531575970635023,0.0029889935947235934,130535162.79807734,-4.86169525297321,1.1638483826562747e-6
0.0018149457540663602,1.1877315079123132e-4,267639341.052251,15.280774669828432,1.027177148143799e-52
0.0018532167650695856,5.227799251053056e-4,11056.04204229588,3.5449271788626633,3.9434393819518036e-4
-0.0014092158837906885,5.085345211875752e-4,15657.062933759515,-2.7711312115050943,0.005592781587564663
-0.0010956451883299557,5.884098853387739e-4,7639.270378074984,-1.8620441560038437,0.06263523459161366
1.8971542092501885e-4,4.289222003261987e-4,3618.1052514893536,0.4423073013724605,0.6582932857836782
-6.688383332899069e-4,4.6469234626482096e-4,5075.616912770479,-1.439314287541001,0.1501231628951863
6.328812635188821e-4,3.377382060006046e-4,4337.004557791704,1.8738811667571573,0.06101399049323384
-2.2657273794861343e-4,3.4355201198447944e-4,6623.621921908842,-0.6595005415332839,0.5095973269471734
8.157209091942798e-4,6.643275899181772e-4,16836.396402464085,1.22788955565544,0.21950559661354427
-0.0012783564959706229,7.334376342270563e-4,14258.649445628473,-1.742965504242003,0.08136119679462941
2.750384247227655e-4,3.106088289888943e-4,3578.2331712815894,0.8854816703635922,0.3759564012445662
0.001469731414198358,4.1607347233011186e-4,6838.110230335155,3.5323843309872833,4.145470313740702e-4
7.02209007757075e-4,6.264288013316489e-4,14866.135754541989,1.1209717788587215,0.2623179826722055
0.001202612222968062,7.762219286866402e-4,3008.164004143989,1.5493149298202256,0.12141122520054554
0.0021759719211556154,4.190155598154359e-4,9987.722085147445,5.193057561189535,2.1094176224738846e-7
0.05687026755170358,0.0158192504624444,1091.0921331765721,3.5950039280758666,3.388837452151057e-4
7.11427373984403e-4,8.698864103717931e-4,2983.924044358812,0.8178393931689724,0.41351420018852014
0.020299587532259338,0.013589495500262215,7271.236260282511,1.4937705032440423,0.1352790043052713
-0.008116105180497624,0.011877600007176633,3482.772286484802,-0.6833118791333052,0.4944552428178288
-0.0011325455330263342,4.897625475651259e-4,403.3973429283336,-2.3124380144150054,0.021256187367319247
