(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,satisfaction_standard_living,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
-0.005182391297841144,0.0010742142801720709,0.0018279620087864924,0.0017999846572642727,0.0017412399083687339,0.002252346735703863,0.002432295712187647,0.0025364069138685886,0.002849057371548659,0.003119308308874653,0.003592768156572657,0.0029133601712153863,0.003020658049596238,0.0027660510401984906,-7.026887600567718e-5,2.021477782675528e-5,-1.546341608024535e-7,-1.2154378866438174e-4,-2.1031417302547697e-4,-1.1287062538347607e-4,1.9517994562049236e-5,3.472008671566205e-5,-2.0571586426160337e-4,6.519730612552964e-5,3.746959425141691e-5,-1.2087291934560237e-5,-1.984446837950861e-5,1.0093756980256965e-5,2.8996200432265008e-5,-1.209089410183736e-5,3.4148222115141654e-5,-3.417798277086642e-6,5.781134749664125e-6,-4.938901396388919e-6,-1.766137299556338e-4,5.987030172380106e-6,-1.9455350550731266e-4,-7.465765686873738e-6,5.966190251368673e-5,-3.3050983500529285e-05,3.455168620472364e-6,1.7897813212721444e-5,2.041656365953324e-6,-4.338956041231433e-5,-1.2944251826620671e-5,-6.778145702751507e-6,-7.325837102756699e-6,-2.8708016034097376e-5,3.496297272885512e-5,7.287893898513914e-5,-2.5272899404311445e-5,-2.065889830429437e-4,-6.555745352221258e-5,1.4120502076758707e-4,-9.186988221599632e-4,2.4697125503130997e-5
-0.00679333874743204,0.0012429892242209891,0.0020415868001403287,0.0020143477284953293,0.00198761515336794,0.0023364999560383987,0.002700604278395124,0.0023686628983546915,0.0027302301929618277,0.0027805305997354,0.002913360171215389,0.00390517670160352,0.0032224135608838627,0.002931406131685338,6.274106876656811e-5,2.667812016679601e-5,-2.3933448681027403e-7,-9.765270883415482e-5,-1.8283648945137762e-4,-9.717108329538145e-5,-7.199852545712422e-5,-2.869965623786387e-5,-2.3488613266692398e-4,4.201055009915772e-5,3.08808028405095e-5,-7.183885666384437e-5,-9.859697166837163e-5,-2.9553428122367537e-5,7.877300731253962e-5,-1.0910705860037742e-4,4.646660705427208e-5,-1.1319372162786949e-4,-9.730316262291852e-5,-4.4648368064682414e-5,-1.6510028217941577e-4,5.865552823684626e-6,-1.470337538921197e-4,-1.724493879059101e-5,5.5808649018552895e-5,-1.834243243159948e-5,-9.68473052935236e-7,1.0248249446105415e-5,1.3003907418852348e-5,-4.932800067238608e-5,7.689323347444264e-7,-5.329865961483216e-6,-1.2577936476408254e-5,-4.241746150022153e-5,7.960990434961318e-6,7.127378760298929e-5,-1.6880419547117453e-5,1.6604329667388082e-4,2.5198992037095024e-5,3.472867203949283e-4,-9.063713234337852e-4,1.4245980279692011e-5
-0.004847127791137625,0.0011919763470712849,0.0019971358813574602,0.0019100798762513675,0.001788905777407421,0.0022571842659538377,0.002492166782546277,0.002433581413536756,0.0027695467624530563,0.0028799482111609063,0.0030206580495962237,0.003222413560883844,0.003549301234520395,0.002930849851570121,4.113747129852346e-5,2.321847315868481e-5,-2.5494492691372404e-7,-6.643379468979779e-5,-1.3741232469585883e-4,-8.825930427832364e-5,-4.227961280617786e-5,6.585701746957886e-6,-2.117569505093916e-4,4.949968648857138e-5,1.9255957525154236e-5,-6.901945960195564e-5,-2.910592529403455e-5,-1.3275336711613409e-5,7.963422238932078e-5,-8.617278556624804e-5,3.219985844801916e-5,-5.6318209901611105e-5,-9.708696058257288e-6,-2.298596420705045e-6,-1.406244458482052e-4,6.293154697059183e-6,-6.8917053608899e-5,3.3310478069004806e-7,5.030874804871669e-5,-3.361784502132113e-5,-9.914741689311271e-6,1.7374279268525673e-5,-1.14736105306751e-7,-4.012471841529348e-5,-5.291003671762713e-6,-1.2773079755752593e-5,-5.420948540295742e-6,-3.840634526209045e-5,3.4546676651525797e-5,6.546071470931637e-5,-1.9893986182761556e-5,-9.124949087024917e-5,-4.839756593739585e-7,1.9657223546196072e-4,-9.451323323672311e-4,1.9907218492946735e-5
-0.0025052654002057475,0.0010951905532091575,0.001741419601190013,0.0018471542935856247,0.0018465650201037985,0.002250887734953582,0.002475731280445367,0.0023575779617345575,0.0025587737159990906,0.0026348151354909028,0.002766051040198474,0.0029314061316853095,0.0029308498515701214,0.0033198090903323227,1.3837644941617992e-5,1.9443008551782665e-5,-2.2320203013262246e-7,-3.5936371582488245e-5,-5.6915826191472664e-5,-3.663244433211656e-5,-7.299268688274949e-5,-9.625121955214302e-6,-1.236306699110704e-4,3.267870782957961e-5,2.351499951825007e-5,-4.301569513241391e-5,-3.9611837141499145e-5,-3.778880536897911e-5,8.710627251597264e-5,-6.50380653751814e-5,6.427107917758792e-5,-4.188632945164515e-5,5.299506108178696e-6,1.9403322439378786e-5,-7.784180803455774e-5,3.2712972632259984e-6,-9.69464029694953e-5,-1.1538496570743076e-5,4.959423077463007e-5,-6.24610611124296e-6,-2.704230676310526e-6,4.113279466375165e-6,1.1197058324932382e-5,-3.4087456345480604e-5,-1.8480868007666854e-6,-1.3883537029413378e-5,-4.378619128164382e-6,-3.4231652066840916e-5,1.4449457227574882e-5,6.707028293313351e-5,-1.4961520527205665e-5,-5.081456554555109e-4,-7.661851200444853e-7,3.1305109600941364e-4,-8.097081929671232e-4,2.2393884821809243e-5
0.0020338277253360644,-1.4507201073243967e-5,4.171741274594669e-6,-1.5567255882709602e-5,-4.8254315028114464e-5,-1.72891691704205e-4,-5.879964515470486e-5,-7.51159149673223e-5,7.702003964631198e-6,-2.1932631950443255e-5,-7.0268876005677e-5,6.274106876656868e-5,4.113747129852404e-5,1.3837644941618208e-5,1.6859889209537094e-4,1.0684826339124671e-5,-1.1387184750542949e-7,6.592730072745595e-6,-4.160936050164641e-6,-1.4645991412776654e-5,-5.0411063970863006e-5,-2.1841365584208065e-5,-1.4305998207122552e-5,-2.0326339104718584e-5,-9.314040615520932e-6,-2.6485875795244558e-5,-1.8836995724848323e-6,-4.604680305621889e-5,-1.6463143967707975e-5,9.300120443369546e-6,-7.436665511720604e-6,-4.7858564860422896e-5,-3.782204778352733e-5,-3.375430821442555e-5,1.9639672751570612e-6,-1.0362209208217414e-7,-8.086533889608649e-5,-1.0151870887554572e-6,1.9150186219513882e-6,1.2437015988542857e-7,4.195618573710992e-6,-6.362951845735005e-6,2.3806185287263604e-6,3.9578155210399434e-7,-6.454442420966097e-7,-7.837907496017761e-6,2.3816657265570076e-6,-1.8110713835108294e-6,-5.373970997666962e-6,-1.3022422586712746e-5,1.9409012791354084e-6,-1.1750625853224094e-6,2.4395546034588688e-5,5.549805126152275e-5,-1.0085010568146604e-5,-2.105077027048329e-6
-9.031138034095714e-5,1.3989922061446026e-5,1.316995676631248e-5,1.8703984654873154e-5,-4.874053095729442e-6,-1.0358616808703454e-5,8.366608947431546e-6,6.352073461650027e-6,1.458343282527372e-5,1.80051257308597e-5,2.021477782675525e-5,2.6678120166795918e-5,2.321847315868484e-5,1.944300855178235e-5,1.0684826339124678e-5,5.371912916418031e-6,-5.3243542981608526e-8,-1.2047810936752612e-5,-1.8304899809460746e-5,-1.1451702345756648e-5,-7.759614169371779e-6,-4.4880358711892495e-7,-1.933566727653018e-5,6.439983756366424e-8,-5.708628880367141e-6,1.1840334999715913e-6,1.1672582859250387e-7,-8.735258358014366e-6,-7.772341530218961e-6,2.832785414972247e-6,-1.2517635069248634e-6,-6.584529535598047e-6,-4.97595687992961e-6,-4.471776813783116e-6,-5.176853073606702e-6,3.0860715709385466e-7,-2.0311844530348316e-5,4.907428079867583e-7,1.6843204225923599e-6,9.020359380671759e-8,9.112949617306235e-7,-1.3711536796223351e-6,-7.563789629876882e-7,-3.7176454600542944e-7,-1.5523408431570213e-6,2.3803876744343605e-7,-1.0329459017083004e-6,-9.225071727515738e-8,1.4700794671173484e-7,6.7401973694566185e-9,-2.39809288791095e-7,1.5455649639608828e-5,1.0351757056705067e-6,-2.717346996411358e-5,8.233035677000207e-6,4.2495760942627025e-7
9.314279560003648e-7,-1.286281574187894e-7,-9.071292090240548e-8,-1.3793814829800523e-7,4.620905122702486e-8,1.1004317520949176e-7,-8.244923248023566e-8,-5.786630060581594e-8,-9.80317237316995e-8,-1.438232162509183e-7,-1.5463416080245353e-7,-2.3933448681027313e-7,-2.549449269137249e-7,-2.232020301326199e-7,-1.1387184750542966e-7,-5.324354298160893e-8,6.021478399375541e-10,9.594182780421872e-8,1.272629043703405e-7,9.004602074763145e-8,6.964645228882337e-8,2.071996968937272e-9,1.6164362333611863e-7,1.223519589214359e-8,5.091936752487363e-8,5.700553623117388e-9,-2.857208185710035e-9,7.70555104123756e-8,5.4715794282653e-8,-2.6640742836025047e-9,4.670421691134968e-9,6.772591148174626e-8,2.3520740131671334e-8,1.3997807917656138e-8,6.287530633600717e-8,-3.2965641178460827e-9,1.4159093470153885e-7,-6.18557296497429e-9,-1.3981344886630101e-8,1.0322964015555532e-10,-8.182836500871038e-9,1.4086358842054807e-8,7.458176448479747e-9,1.9344442360087668e-9,1.4165982048523692e-8,-4.7400210295713535e-9,9.423575468152584e-9,3.746414164231331e-10,-1.774166775982099e-9,-2.5219510098617654e-9,2.275220009247893e-9,-1.2554764242665339e-7,-1.9890297034466476e-8,1.662956448122842e-7,-6.209947244074605e-9,-2.652895958704328e-9
1.8611690784440307e-4,7.969373338773717e-6,3.313548098489483e-5,3.289712459370078e-5,1.1307336668807942e-4,5.857228579333108e-5,4.1944558284613516e-5,5.09133170749687e-5,1.6688262123938142e-5,-5.903691666061708e-6,-1.2154378866438136e-4,-9.765270883415387e-5,-6.643379468979753e-5,-3.5936371582486714e-5,6.592730072745572e-6,-1.2047810936752748e-5,9.594182780421863e-8,2.126321325123652e-4,1.953980530299875e-4,1.1337382585378254e-4,-1.181674641300196e-6,2.377881411345882e-5,1.6456150466225513e-4,-3.3551766450397444e-5,4.1348732630712124e-5,-1.643525796474906e-5,2.669017673298119e-5,8.802277710115905e-7,1.0492763961241428e-4,-2.2610815485155042e-5,2.5804643230239948e-5,2.4550836352940093e-5,4.319737760930453e-5,5.443626331599427e-5,6.4890843125100215e-6,-1.5092997727758808e-6,1.5856563930340738e-4,3.706568788258199e-7,-4.1204219520971026e-6,-9.7955973120776e-7,-2.4722946031539783e-6,7.209119614886196e-6,6.25717125664777e-8,9.90482804058915e-7,5.143788878884327e-6,-1.5114912896626001e-6,5.943256088662998e-6,2.8408815698068155e-6,-6.401110103095337e-6,-4.167418561297722e-6,4.090080481159109e-6,-7.968909666746165e-5,-7.982037328993887e-6,5.9069702787434984e-5,-3.450082944048954e-5,-1.4843225569904608e-6
0.0018942722550185597,-8.657124845461492e-6,-9.40906623462362e-5,-9.029612090577208e-5,4.651970903136224e-5,-3.580986141164581e-5,-6.31770736140115e-5,-3.508391052333399e-5,-6.841241021059109e-5,-1.1510426140504891e-4,-2.1031417302547727e-4,-1.8283648945137732e-4,-1.374123246958592e-4,-5.691582619147196e-5,-4.160936050164647e-6,-1.8304899809461204e-5,1.272629043703439e-7,1.9539805302998874e-4,3.309556658409564e-4,1.5056641747599316e-4,-1.9810784876227438e-7,8.894341806386527e-6,1.886535645184637e-4,-3.1982651020076254e-05,3.091040121472575e-5,-1.4410466177803783e-5,2.5800266602834502e-5,3.0097709183121356e-6,9.842674781749751e-5,-2.4497222908766772e-5,1.7238292687935815e-5,2.287574335483629e-5,7.01139530462007e-5,5.4643923448285306e-5,-9.43855920252298e-6,-1.1785467295771621e-6,1.8980825324540904e-4,5.147813083307312e-6,-1.3357884585990904e-5,3.058716238981082e-8,-7.144617697324703e-6,1.064839507979706e-5,3.1529294227693123e-6,3.6364752387288693e-6,9.613286864749148e-6,-2.527975932354862e-6,7.317197531275332e-6,3.2987862451486005e-7,-2.8315797738949245e-6,-5.8243417286927985e-6,4.985951411706933e-6,-2.5453649768049364e-4,-9.041430991286987e-7,2.353104866293386e-4,-3.842264643261089e-5,-1.7443685494807676e-6
2.634122985282337e-4,6.623243807565512e-6,-4.0421537480178117e-7,-1.6438002923061692e-5,3.430629853288445e-5,4.247890462521411e-5,-3.278001193471805e-5,3.5522765339554144e-6,-5.8584725977392284e-5,-6.849599941099872e-5,-1.1287062538347607e-4,-9.717108329538117e-5,-8.825930427832332e-5,-3.6632444332116013e-5,-1.4645991412776701e-5,-1.1451702345756751e-5,9.004602074763255e-8,1.1337382585378269e-4,1.50566417475993e-4,2.3920615387039142e-4,-2.4956359586357997e-5,-6.178214403917266e-6,7.035259909207465e-5,-2.4445687450970868e-5,2.234839743436629e-5,-1.6343061178982564e-6,1.2377965454260422e-5,-2.7712200777990728e-5,6.966250217043689e-5,1.4417133725728176e-5,-1.5702745180931043e-6,-1.0970750623777634e-5,2.1908251292666584e-5,1.478053680366446e-5,9.007470200494655e-6,-1.2267184145193167e-6,5.8852937315539866e-5,3.736438259781782e-7,-6.013995252983325e-6,-4.583505986253016e-6,-4.7212535066570135e-6,7.141160756426436e-6,-2.189981285336382e-6,1.255946137454891e-6,6.546629677395214e-6,-2.3198048339684192e-7,3.2220168582552883e-6,3.2254712310433742e-6,-2.629027505787043e-6,1.5370007183903891e-7,5.0863284290618084e-6,-7.704205080277102e-5,1.992466024179748e-6,1.5653866471839736e-4,-9.056977348243844e-5,9.271839746640055e-7
