(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,confidence_institutions,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
1.649948203960116e-4,5.020132164857739e-6,1.2758081538927303e-5,5.592716350056834e-6,1.699382694169572e-5,1.3695683724621569e-5,1.9221500482399716e-5,7.347204527944293e-7,-2.4415533460599754e-7,-2.4151646983506037e-6,-1.2657414959185986e-5,-2.7503972315175695e-6,-3.83072220274901e-6,1.198408073025107e-6,4.355028919759244e-7,-1.7955304343156164e-6,1.6423095807281123e-8,6.224356437038732e-6,1.033315495282223e-5,9.315182270540396e-6,1.8907933896787332e-6,-3.3811808716779485e-7,7.538479255388234e-6,1.965131028977266e-6,2.5827222415790694e-6,-1.8222758597466145e-6,1.02391136302356e-7,2.1274759779997606e-6,-4.161121532377705e-6,-5.800629029317496e-7,-1.8319822461843664e-6,4.426841410829215e-6,3.2198281123584707e-6,-2.7015285866293176e-6,2.808936632457055e-6,-1.7006889902623093e-7,6.151525597947022e-6,-2.518030805382659e-7,-2.477929915393479e-6,2.315862254460205e-7,-7.204368620263925e-7,6.76061466539874e-7,2.3233019285566148e-7,1.8231682558000246e-6,7.21973521216238e-6,-7.492484642778626e-7,-3.6830949733788803e-7,1.2640486410351354e-6,-9.47254913147466e-7,-1.91859034116494e-6,-1.2684549246229724e-6,-2.865134992219687e-5,1.7469911614610936e-6,2.3405272999576227e-5,1.788740746750824e-5,-9.916352939511818e-7
-0.001499381843557611,-1.3317822738676833e-6,-3.5778231144882655e-5,-1.1893314587048254e-5,-5.349037677602522e-7,3.858639050360199e-5,3.739901332483544e-5,3.481744889237546e-5,-2.4037577056042738e-5,-2.1915007218317557e-5,-8.988756119943224e-6,-3.585482752025018e-6,-1.0243789560097467e-5,-1.2548207213047249e-5,-1.0786632068791928e-5,2.558361837172018e-7,-4.956484489427952e-9,8.243061884104773e-7,-2.8388726679462647e-6,9.146567874718251e-7,1.4309468945659722e-6,8.506750521234397e-6,-1.1412609652199422e-6,6.579389689736962e-7,-3.2700094660136388e-6,5.748311934449242e-6,1.4216493262986118e-6,8.5676382950982792e-06,2.6913176964713702e-6,-1.3005588534767733e-5,-1.6122992125651708e-6,9.923189464117079e-8,-6.737004900454515e-6,-4.672555334493584e-6,1.7921726087136186e-6,2.0448502440306566e-8,-6.378400411703594e-7,2.8771700482758807e-6,-2.2296179408496457e-6,2.371534409447321e-6,-3.156899927444957e-7,1.1514515789708052e-6,-1.6964987897154983e-8,-7.655162859691931e-7,-7.492484642778711e-7,2.1866238330285056e-5,-1.8440881986337166e-6,-1.608367779699953e-6,-5.97677012574574e-8,2.9036770558356083e-6,-2.8349390130907834e-6,-3.4575154531629836e-5,3.895571981143382e-7,6.087741370887734e-5,-1.8653512793011195e-5,-1.7658018006181446e-6
6.221231647880438e-4,-5.794013533208928e-6,1.5878502565907008e-5,5.25670436600734e-7,-6.590058333704679e-6,-3.250991738171784e-6,1.77148426056793e-6,-1.0225730695961983e-6,-2.74055600735759e-6,7.1009886692344966e-6,-9.4500371386095e-6,-1.7869477032479224e-5,-9.096060762432323e-6,-6.901728376388203e-6,3.128560074826745e-6,-1.1081058572439531e-06,7.996480609420825e-9,8.016397049739494e-6,9.814679165297867e-6,8.172224603787074e-6,3.671226429924569e-6,3.020333525739021e-6,1.0820486874307216e-5,-2.5174154853137973e-6,4.965818287794294e-6,-9.002131819485204e-6,-2.497450619392702e-6,-9.59418205048748e-6,1.456427982602576e-5,-4.899066232469225e-6,2.388870841472886e-7,-3.8931649699381785e-6,3.2458592206892544e-6,4.235225275974631e-6,-6.690683928624781e-6,-2.0131883845500447e-7,9.165693508122756e-6,-1.6401572772240018e-6,1.614655339552663e-7,-5.1360917286511976e-6,-1.4057500207847573e-7,5.748488750725761e-7,7.732973946802086e-7,-1.1507003709739031e-7,-3.6830949733790767e-7,-1.844088198633686e-6,5.1102154164245946e-6,-8.109376046362316e-7,1.7798229360720483e-6,-9.026262076023345e-8,3.704630095617894e-7,-3.630205645105675e-5,-5.637581794941887e-7,2.7392036286879725e-5,-6.6833129467503486e-6,-7.390848175800303e-7
1.9275336290516253e-4,-2.3851123692778343e-5,-2.397279720007899e-5,-2.6899772897536355e-5,-3.338654414185122e-5,-3.767198345931427e-5,-5.0210768139474766e-5,-3.552816003301185e-5,-2.5703212276763056e-5,-2.52890787832996e-5,-3.787003476008085e-5,-5.522822517027622e-5,-5.0316885291911045e-5,-4.222800420072671e-5,-1.5739212247303976e-6,-5.195762534139337e-7,3.323264662599758e-9,4.522976707803993e-6,2.555894453074795e-6,3.0931070144002043e-6,1.7020618070114574e-6,1.1452746216830522e-8,2.7101309140183633e-7,-8.627272824864117e-7,8.681045587715984e-7,-1.083481035741728e-6,3.0208557394548336e-6,3.2006971944928164e-6,-3.5726971272967842e-6,1.946092232467513e-6,1.6402915098739406e-6,3.6632635224047265e-6,2.668087481953993e-6,-1.3401019313090211e-6,9.624441213626207e-7,1.3790514314536169e-8,1.6407829581788578e-6,1.004065212577349e-6,-8.647086790777126e-7,-1.194246336370787e-6,3.0160061706645785e-7,3.472319022664045e-7,-1.2386482183301341e-6,2.3204873249861914e-6,1.2640486410351324e-6,-1.6083677796999508e-6,-8.109376046362302e-7,6.023153819526273e-6,-1.1342312678268245e-6,-3.115717602134629e-6,-1.1501841938621001e-6,5.115213107135883e-6,-1.2133611971207548e-7,-1.4023356057884156e-5,1.0620432802771596e-5,-1.0794691456969947e-7
-1.9801352178349663e-5,-7.2537862938586755e-6,3.170316948579699e-5,8.259307507233402e-6,1.2813364270668565e-5,2.6269386654288484e-5,2.3351964330457393e-5,3.7547185712642176e-5,4.84797455451091e-5,6.065678045793586e-5,4.060868172269561e-5,1.6510057597185965e-5,3.958843634173766e-5,1.614086977668012e-5,-2.025384745074988e-6,4.520477915293932e-7,-3.46778261664362e-9,-8.296249412355875e-6,-4.7705875721057156e-6,-3.5425955925322394e-6,1.990923628280426e-6,1.4064291622791909e-6,-9.580206774225468e-6,3.7923332943901967e-6,-3.2129391772285323e-06,-4.2783835440818285e-6,1.5226171866114116e-6,-6.406190508930287e-6,-8.224279124797045e-6,-3.864527421730555e-7,-5.329266127890959e-8,7.492582684692794e-6,-1.1963221077616903e-6,-3.893380693893462e-6,-8.884005651854601e-6,2.6120188204596375e-7,-3.753321563358663e-6,-9.892133235728282e-7,8.440836019356716e-7,-7.128662766690064e-6,-1.9455755313995043e-6,-3.4681763947730666e-7,-1.9488025831016525e-7,-1.2333346862656485e-6,-9.472549131474687e-7,-5.97677012574648e-8,1.77982293607204e-6,-1.1342312678268216e-6,1.0823967555053324e-5,-4.5479677941919103e-7,1.0736371472251768e-7,1.8995272185330132e-5,-1.2341388120020434e-6,7.448782205849001e-5,-4.624699896557461e-5,-1.554541024782426e-7
-0.002847020707871616,5.797152665195265e-5,5.727716253836547e-5,1.0203234349429781e-4,1.0140947463935458e-4,1.0773709344981046e-4,8.01010868942225e-5,7.465775021626692e-5,6.57635930357024e-5,5.226364882707694e-5,8.991226201952014e-5,8.405701651406316e-5,7.2364663304142e-5,7.402372529115841e-5,-9.06539058082081e-6,3.302040695806061e-7,-7.945419538079037e-9,-4.011563478753304e-6,-3.905896327741832e-6,1.253842918134148e-6,3.3726944123255023e-7,5.086775306272679e-6,-6.030835110583303e-6,1.4681790977234242e-6,-7.488335972953724e-7,4.441538288659227e-6,5.327369980230038e-6,1.1273732213913401e-5,-6.789369324273725e-6,-8.919378257215328e-6,-2.0360253699838933e-7,6.985643933739116e-6,5.2278843026997724e-6,6.647198630829906e-6,2.9588593907673894e-6,4.976794401253648e-9,-2.83055026631091e-6,-9.75436311675952e-7,1.1182990400487197e-6,3.7655455528985083e-6,-1.246925184182447e-6,1.9219209183558572e-6,5.605624039798252e-7,-1.2396747122823797e-6,-1.9185903411649433e-6,2.9036770558356015e-6,-9.026262076028473e-8,-3.115717602134593e-6,-4.54796779419236e-7,3.0267100302012823e-5,-1.0438174223247132e-6,-1.3212752861687163e-5,-9.368202962911276e-6,-1.3639854556192449e-5,3.6801049578087934e-5,-1.2300052245638651e-6
1.1834132556343997e-4,-7.980231233480753e-6,-2.2277931978786578e-5,-4.038242920316763e-6,-1.4338724038282951e-5,-2.567339297975843e-5,-1.9404365562379788e-5,-2.162277609634986e-5,-1.761072330073711e-5,-2.317033439564161e-5,-2.093926276119774e-5,-1.1864857283497021e-5,-1.5572764565473103e-5,-1.0088127212356054e-5,1.402457355019084e-7,-5.669525802948482e-7,5.227017905768998e-9,5.61827508789316e-6,5.854020927787355e-6,4.9300304202377436e-6,1.1557473160855579e-6,-5.089098137555024e-6,8.547779019004377e-6,-1.7072367169647355e-6,-4.0059290429344426e-7,-1.7808707410266036e-6,-1.6676950304254806e-6,1.7975666944354493e-6,5.67389730582791e-6,-7.044610431846289e-7,2.0156366362752194e-6,-1.5965135320275157e-6,6.044405175065652e-6,4.579900477232281e-6,-1.7555614157446354e-6,1.4419911101291028e-8,5.357236958541918e-6,1.4381245346146062e-9,3.746544898821658e-7,1.484648070431392e-6,-6.274825084520495e-7,-8.168381087561223e-7,-3.3131549103281007e-7,-1.1976999599303293e-6,-1.2684549246229648e-6,-2.8349390130907563e-6,3.704630095617909e-7,-1.150184193862105e-6,1.073637147225245e-7,-1.0438174223246414e-6,4.975492463119087e-6,-6.522213743622983e-7,-2.843130703443365e-6,-5.621088961803147e-6,-2.5822069611397594e-5,1.1564401975600007e-6
-0.032895019693645916,-4.3583743991188655e-4,-2.360696532242337e-4,-6.823383960729748e-4,-8.008187592944315e-4,-6.887835776004506e-4,-5.761881966881366e-4,-3.862978568032059e-4,-8.499161320231828e-5,-1.1497500062687894e-4,-5.028611752426478e-4,-7.845696893744479e-5,-4.565014965196676e-4,-9.108803784599813e-4,-2.8582380195713045e-5,1.3740006783666418e-5,-1.4628536009797622e-7,-9.25560600358824e-5,-2.552653419202951e-4,-9.797323564620813e-5,-1.0789813049205796e-4,1.12140894442903e-4,-1.713757876559955e-5,-5.978951657164089e-7,-4.933599528449023e-5,7.338509662676675e-6,-3.187179884453978e-5,-1.697765112221588e-4,1.228439129621382e-5,-9.00485821106798e-5,-1.924755649388142e-5,1.3745144682450648e-5,-2.634626276693769e-4,2.9700933215631714e-5,-1.8460056239447148e-4,3.7024081348716558e-06,-5.777272513084169e-6,-5.121722775240227e-5,3.3334942358167875e-5,-7.955851648405613e-5,2.141091667283711e-5,-4.211503759521094e-6,-2.575936506036014e-5,-3.2138970991910245e-5,-2.8651349922194953e-5,-3.457515453163181e-5,-3.630205645105921e-5,5.1152131071375725e-6,1.8995272185329665e-5,-1.3212752861694788e-5,-6.522213743632133e-7,0.0058414521144911705,-4.5004532471150605e-5,-0.001784508692368975,2.941075616621627e-4,-6.885551886716948e-5
0.0010147661495749547,7.73568293946668e-7,6.797552313073853e-6,-8.631018058058962e-5,-5.027974241450523e-5,-4.100858204233413e-5,-8.544439102149802e-6,-4.578502691672243e-5,-8.134958858438222e-5,-9.844083286113982e-5,-7.796150464318115e-5,3.9209977739779e-5,9.301670138601596e-6,2.1248957980199756e-6,2.2120660507576905e-5,9.920264192660558e-7,-1.795388913380283e-8,-1.063483864361696e-5,-4.456360360568586e-6,-2.542390697380679e-6,-4.558990181607669e-6,-1.644347406487073e-5,-9.89886864333411e-6,5.942487853206882e-6,1.9530926916905816e-6,-3.0692959303097543e-6,-6.603184714897637e-6,-1.1093397302228455e-5,-1.782653399739061e-5,-1.4654334823297354e-6,2.420325219604318e-6,-5.894716324130718e-6,-1.23788445944444e-5,-9.807202089693734e-6,2.5439670775777145e-5,-3.9739206462463244e-7,2.1222250304238406e-6,1.2854568031855874e-6,-4.2053568715496595e-6,5.056702696543119e-6,5.380052629090545e-7,6.389381044004908e-7,6.694430931455874e-7,-1.144738689904441e-6,1.74699116146118e-6,3.8955719811435236e-7,-5.637581794941701e-7,-1.213361197121003e-7,-1.234138812002061e-6,-9.368202962911295e-6,-2.8431307034433583e-6,-4.500453247115521e-5,5.39301008943548e-5,7.775636997961623e-5,-1.5585178641089955e-5,7.199941935256895e-7
0.01395193420800731,-5.0932635817717384e-5,5.31927726692816e-4,2.473358943058091e-4,5.513941121908277e-4,5.90745984728104e-4,8.247392465895528e-4,5.455015426026852e-4,4.725024382612464e-4,5.34593092761707e-4,5.016763917234223e-4,6.88268396111865e-4,5.074078277699171e-4,6.358878088045606e-4,4.6483426582937745e-5,-2.5386852110602416e-5,1.650677944897031e-7,5.3893063124120894e-5,1.6901414141277195e-4,1.2977662894536572e-4,1.1312073010100339e-4,-7.142037632474349e-6,1.8723501555507934e-4,-5.956697863800881e-5,2.3285956463670885e-6,-1.955781778818561e-4,1.7940004590386564e-5,2.993099907919419e-5,7.341278495985022e-5,-7.550121346336423e-5,9.787404974062098e-5,4.488551998048986e-5,1.1176445408235392e-4,-6.250698457851379e-5,-4.1209726198714306e-5,-2.9934978573178423e-6,1.7619374756149754e-4,-1.332912626233889e-6,-1.2152901061844113e-5,-5.4279629866271966e-5,-1.9578299081309602e-5,-3.685750901876588e-6,-4.808794124125005e-6,-5.864575409445991e-6,2.3405272999577246e-5,6.087741370887674e-5,2.739203628687943e-5,-1.402335605788427e-5,7.448782205849035e-5,-1.3639854556189152e-5,-5.6210889618046105e-6,-0.0017845086923688432,7.775636997961498e-5,0.004580389242266112,-0.0017603044180557834,-2.264475832840411e-5
