(Intercept),year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
0.18387653696267225,-2.421926036700346e-4,-2.1386545635208493e-4,7.599034253439219e-4,0.0012390336845184249,0.0015238838607955173,3.443650166923537e-5,-2.958646072604606e-5,4.364531102966483e-7,2.8154001655110786e-4,7.696387978287856e-5,-1.3762348254858222e-4,3.749369819344929e-4,-2.723129522096888e-4,-2.1518733604726468e-4,3.013510278849203e-4,-4.292616999629844e-4,1.905733757492352e-4,1.7475966939247222e-4,1.0355053883090047e-4,-5.176764012440909e-6,1.3554025927861943e-4,1.0437639304727373e-4,-1.8280389137045826e-4,1.1315342945258669e-5,-9.88747002921675e-7,4.715807242900032e-5,-6.83104161520478e-4,-0.014863556199092305,3.560533477949702e-4,0.002118531383755423,9.290654226026715e-4,2.6102216640143844e-4
-2.4219260367004303e-4,7.836315846073223e-5,7.925850740628416e-5,4.924036343808802e-5,5.1233881662423227e-5,7.620504329742383e-5,8.828718851276206e-6,2.166270749766559e-7,-4.115255395572304e-9,6.501845674298933e-6,-1.8591535292393385e-6,-1.2083084117561184e-6,2.200071712349759e-6,-1.8485569611634706e-6,7.836451348573153e-6,7.436255407395213e-6,3.054638816308509e-7,-6.401514956749089e-6,7.756168636287104e-6,-1.4552690604358116e-6,1.941269116840831e-7,4.555593072937418e-7,-4.6224481790235965e-7,2.83295602626639e-6,-2.48875932730386e-7,-2.1827857883780712e-6,-4.3863460461127745e-7,-1.755609825707406e-6,3.742083229490273e-5,-4.632914649255526e-6,-1.0744112497310178e-5,1.3995759761464873e-5,4.121962208139715e-7
-2.1386545635207935e-4,7.925850740628433e-5,1.646067743418894e-4,7.989321282394865e-5,9.300210027464063e-5,1.2794306540356225e-4,1.0834109181218359e-5,1.0291343351844539e-6,-1.218492067206501e-8,8.656227433800821e-6,-2.68219911379936e-6,-3.672449931675217e-7,-6.001846203542903e-6,-7.94402252097026e-7,1.595941736073568e-5,1.8259605765123333e-6,-1.3559158740427489e-5,-4.399036237706522e-6,1.2837730867208001e-5,2.368980314852676e-6,1.7893970986812932e-7,-1.7423176009184134e-6,1.182649381753778e-6,2.6276551532240225e-6,3.7792265457818144e-7,-1.1991581756618335e-6,-9.498812239407435e-7,1.9700037067569056e-6,-2.622185182069112e-5,-1.1856349836819442e-5,1.7156967262887438e-5,3.0166108562901696e-5,2.3103678927199517e-6
7.599034253439207e-4,4.924036343808809e-5,7.989321282394873e-5,3.3471839467720576e-4,1.7578479336923948e-4,1.2245462119294626e-4,-4.745895967070195e-6,1.0344983789686347e-7,-3.567414684846325e-10,5.134201864501744e-7,1.1527284558246493e-5,1.0703490394355441e-5,1.0147647015627823e-5,-1.8270530913438212e-5,9.89057666887968e-6,3.867044486919204e-6,-1.64758811755484e-5,-7.49212398512822e-6,1.2504694516267376e-6,6.139917891662057e-6,1.5129499700585302e-7,-8.400106317295365e-7,2.1700530580171164e-6,-3.46883020664633e-6,-2.0334951455119164e-7,7.652938603155757e-7,-4.691605536699488e-6,-1.5171725623456145e-5,9.028823570734905e-5,3.80446274470913e-5,1.3548933859506932e-5,1.6668032843271824e-5,-1.4141489369704395e-6
0.0012390336845183357,5.1233881662423064e-5,9.300210027464035e-5,1.7578479336923937e-4,2.121729465234361e-4,1.5180301022482516e-4,9.002575914186816e-6,1.2165869624246494e-6,-1.2079267587850194e-8,1.2938524822709878e-5,7.478767258125466e-6,1.2283655630324024e-5,-6.469677486677508e-6,-7.72859499926165e-6,1.4068354471333706e-5,-6.14713934835621e-6,-1.9905757708933144e-5,-4.285581593664004e-7,2.4873294879496953e-6,1.615069316198851e-6,3.06145134418899e-7,-1.1883997752334726e-6,1.360879846318792e-6,2.2890714806734704e-7,-2.542425187091756e-6,7.970804591020533e-7,-1.2046623689263364e-6,-9.826904620136292e-6,-5.810494891366989e-5,2.3349956155640784e-5,1.8264924311496974e-5,1.821513167309e-5,3.2146678825214166e-6
0.0015238838607955145,7.620504329742396e-5,1.279430654035627e-4,1.2245462119294615e-4,1.5180301022482646e-4,2.541611806204469e-4,1.6503214326149758e-5,9.943087828665353e-7,-1.5999914634195597e-8,8.588795931794018e-6,2.6515201046556175e-6,2.7522620206506375e-6,-2.62775088350731e-5,-5.626983498604833e-6,8.286721503475676e-6,-1.1303145740061602e-5,-2.6790837874797704e-5,-1.4609617351752794e-5,5.4282404293261305e-6,2.4444626661062056e-6,1.8521810047357147e-7,-2.0078279340306164e-6,4.2055646359266385e-6,3.832674225987629e-6,-1.6092320537992487e-6,-2.7993002860723006e-6,-1.1090663220426309e-6,-1.0714977321990087e-5,-9.75142804042464e-5,1.1374128627635491e-5,-4.361497062354865e-5,4.873702134901637e-5,4.6252165890055414e-06
3.443650166923675e-5,8.828718851276206e-6,1.0834109181218357e-5,-4.745895967070196e-6,9.002575914186818e-6,1.650321432614974e-5,2.4789299990306772e-5,2.6801134515190126e-7,-3.5663575102913797e-9,3.249550167025955e-6,-1.0860262145167236e-6,-2.1188746865535847e-7,-1.1549462160572983e-6,7.219205370270698e-7,3.403233672559058e-7,2.145853122824093e-6,1.6989059910625642e-6,1.9955108163438637e-6,1.568941036811608e-6,1.0429294880067966e-6,-9.834285095915493e-8,-1.472869477962888e-6,9.235515534203e-7,1.0837113504867051e-6,-2.5455054310477784e-7,-8.957138788961368e-7,7.705971870691269e-7,-9.219076189591168e-7,-1.2641971421093944e-6,2.7823713766350936e-7,-5.128342167284853e-6,1.1248462402003734e-5,4.273207988612095e-7
-2.958646072604576e-5,2.16627074976657e-7,1.0291343351844513e-6,1.0344983789686998e-7,1.2165869624246594e-6,9.943087828665342e-7,2.680113451519009e-7,4.508344298601053e-7,-4.501364913841306e-9,-8.662620872764095e-7,-8.57212993070768e-7,-2.3106367707585734e-7,-1.2464900430399885e-6,-6.200634414100853e-7,-4.287556592737365e-7,-2.1364614589557315e-7,-1.0005906164148299e-7,7.348819695612632e-8,-1.468668833116536e-7,2.509553787977846e-7,7.214697815520675e-10,2.8102635505701668e-8,8.423585991535029e-8,-1.0479030804575927e-8,9.484232694864392e-8,-7.417600672595337e-8,-3.322823698175234e-8,-3.5708396917986493e-8,2.5136454496229893e-6,-1.1025363340594887e-7,2.0645596675522405e-6,-1.7457622546293207e-6,-9.269913649433141e-8
4.364531102966396e-7,-4.115255395572309e-9,-1.218492067206499e-8,-3.5674146848466073e-10,-1.2079267587850263e-8,-1.5999914634195577e-8,-3.566357510291372e-9,-4.5013649138413395e-9,5.020790790048023e-11,7.086173940459732e-9,6.757948427014362e-9,-1.90562495893505e-9,1.254824750064866e-8,5.782784100699917e-9,5.88794986646461e-9,5.286869433482267e-9,1.0134538207142348e-9,2.25115702994969e-9,-1.2952045619659284e-9,1.0434911723416976e-9,-1.19399733224715e-10,-8.585036569469475e-11,-6.033275822154335e-10,-4.344116705444093e-11,-1.0560614510929387e-9,7.866195259036161e-10,2.2886999162807158e-10,-3.560742476082281e-11,-3.9345083193702574e-8,1.59104274283976e-9,-7.895165644575874e-9,1.3102818826656645e-8,8.052800222752028e-10
2.8154001655110537e-4,6.501845674298935e-6,8.656227433800821e-6,5.134201864501673e-7,1.2938524822709863e-5,8.58879593179403e-6,3.2495501670259556e-6,-8.662620872764182e-7,7.086173940459691e-9,1.9061856016147867e-5,7.684128900157627e-6,1.2282088142732544e-5,4.946207425745373e-6,-4.1312439022011107e-7,8.627895165643724e-7,-2.9055022551937374e-6,4.086296059301851e-7,1.540276908517311e-6,6.0421670798672585e-6,-5.124622316093346e-6,2.577244674311968e-7,5.332795668158879e-7,6.272549601189804e-7,-1.944014395029845e-7,-1.3053053358519385e-6,-5.697883725225192e-7,7.590058094792376e-7,-1.1616220250565009e-6,-1.2265018350121126e-5,-5.875750090454353e-7,1.1427020040928589e-5,1.134433418309665e-5,1.575053262259473e-7
