(Intercept),year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,rating_economic_conditions,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
0.8053301388934958,-0.0012371468755234861,4.5537442027312916e-4,-0.0017427313872584844,-8.855703796583455e-4,0.005967074621082275,0.0019274959701643124,-1.4937422901147273e-4,1.580773285804891e-6,-5.812263238461676e-4,2.7407020419874505e-4,6.952380364341331e-4,0.001700313840003804,-0.004150592066171191,-0.004181607803422271,-8.631284489816095e-4,-0.002513990080292384,5.387795210350081e-4,-0.002339557447027451,-1.2197454812483055e-4,-2.548146996962373e-5,-8.189870456513217e-4,0.0016414179993460161,-9.214712271069283e-4,-0.001565825608190853,-2.7947294590668665e-4,-5.548814620994273e-4,6.710708961532141e-4,-0.0026094738659120454,-0.04962303223705991,0.0010622144413358653,0.019719961433571527,-9.529171899047319e-4,5.645779403448023e-4
-0.0012371468755232062,5.895154765881593e-4,4.989647355874211e-4,3.6995338350182856e-4,2.8673391602545173e-4,3.059511541716165e-4,-7.258094028994755e-5,-8.678156281262522e-7,1.994228790059878e-8,-7.309056466720516e-5,-2.395738743090051e-5,-4.089730089051927e-5,-5.799726624713513e-5,8.15028459556948e-5,1.9265165877918974e-5,-1.5650270211927816e-5,2.0950880611135818e-5,-5.565482289303523e-5,2.9496556451678403e-5,-4.830018911025924e-5,5.129361082538492e-7,-2.0645564772969294e-5,-9.856524318820259e-6,1.798572424387407e-5,-4.179806245850497e-5,-3.86299581926125e-6,-9.567447634891797e-6,5.571885913682737e-6,1.133860728615453e-5,3.894225374874049e-4,-3.294046629613156e-5,-2.647573523822882e-4,1.641072895810321e-4,-3.5174032748896237e-6
4.553744202731129e-4,4.989647355874201e-4,0.0010661299303218069,6.777023150576756e-4,6.36527882897518e-4,6.454411131148804e-4,-1.5279417381260901e-4,-9.108234274330456e-6,9.469142838148858e-8,-1.3787677751182396e-4,-1.0976786756161591e-4,-6.706656002390507e-5,-9.801375012994834e-5,4.0031946299643114e-5,-8.616954680774e-5,1.708156800811875e-5,1.1270543665035136e-4,-9.643410417070635e-5,3.920637434593312e-5,3.729037693116652e-5,-1.352351033896014e-6,-3.795246868428815e-5,-1.4762410721511482e-5,2.504257258783677e-5,-2.266446653897088e-5,-6.147918496449197e-6,-2.165126330926076e-5,2.8329396403423265e-6,1.3457157999569747e-5,5.018606039205047e-5,1.60960518791304e-5,-3.0003141590435025e-5,1.1554082330674001e-5,6.2783768194083925e-6
-0.0017427313872593012,3.699533835018282e-4,6.77702315057675e-4,0.002181693540306466,0.001286725323228737,0.0010316454698289777,-1.1321886968286939e-4,-1.6432027734562542e-5,1.0095668457743233e-7,-6.323953829172055e-5,-6.408062806424087e-5,-1.508799459798194e-4,7.636271942496143e-5,1.3880817396819117e-4,-3.151499777771248e-5,-1.3037816521991512e-4,9.638196189366182e-5,-3.973948109677521e-4,3.623714675388139e-5,-7.382424686138104e-5,2.6336506979682176e-6,2.8723270399769964e-5,-1.8060189296873817e-5,1.7338367762119917e-5,-1.807556262462636e-5,-3.371475524579818e-5,2.4505662394254925e-5,1.6298914849711562e-6,7.90933816156472e-5,-3.783380129570632e-4,2.765286797737927e-4,0.0017173927653403986,-6.538769953898007e-4,-1.3921072675370155e-5
-8.855703796580169e-4,2.8673391602545114e-4,6.365278828975195e-4,0.0012867253232287414,0.0015635743624654527,0.0011512871874965853,-8.898659074069276e-5,-1.1230494374674913e-5,1.6769691018138683e-8,-8.205150653137681e-5,-6.75236549565145e-5,-1.0864691948472472e-4,-2.8741572136187217e-5,6.54926444285949e-5,-7.961589233723527e-6,-1.067386023517982e-5,2.008552013370651e-4,-1.887057591036806e-4,1.1550204706976755e-4,5.008729412412841e-5,1.9790254925506834e-6,3.154186898931051e-5,-1.6487100729034875e-7,-1.3354610453825031e-6,7.537881152179127e-6,-2.8315241899121237e-5,4.269003628578501e-5,-8.274498953965855e-7,4.846440131521379e-5,-6.987623254712087e-4,2.5020508367815293e-4,0.0012802192198245927,-5.928653535919268e-4,-8.22042974170087e-6
0.0059670746210833455,3.0595115417161585e-4,6.454411131148854e-4,0.0010316454698289855,0.00115128718749659,0.0017741933790320365,-1.3979062011973298e-4,-1.9196290382542844e-5,1.1943001365192936e-7,-7.461351312039199e-5,-2.7542914895471303e-6,8.308919610082881e-6,-6.457191357295653e-5,-1.5580073036308426e-5,-1.75083524330255e-5,-7.34657862237129e-5,1.218125205199202e-4,-1.780848793342601e-4,9.073290752187007e-5,1.3029075032562187e-4,-1.930898443459968e-6,5.820238909853276e-5,3.138326634625871e-5,-9.646159765469565e-6,4.566972326504715e-5,-2.731189416401012e-5,1.5492614109497175e-5,6.893238888788804e-6,2.350743492610462e-5,-0.0015109041726383344,2.678636628822523e-4,0.001299189430454203,-6.628044314163979e-4,3.112660610291996e-6
0.001927495970164309,-7.258094028994755e-5,-1.5279417381260923e-4,-1.132188696828694e-4,-8.898659074069285e-5,-1.3979062011973306e-4,2.8233997253205917e-4,1.3334814915253665e-5,-1.5025752613579994e-7,5.0903521704814654e-5,6.0582678680625476e-5,1.187368268942506e-5,-5.46444138299648e-5,-4.154556845814397e-5,1.3350872509902717e-5,-2.766669630924514e-5,-1.0735982301064495e-4,5.795227952312756e-5,-8.787740846530525e-5,-1.55019791827507e-5,-2.407454468171332e-7,-5.747883428714036e-5,8.384541712388161e-6,-8.344651733936963e-6,-3.7256814940561513e-6,1.1885385316764355e-6,-4.548779901395129e-6,4.489807255979993e-6,-1.4256528997040686e-5,9.273677271542065e-7,7.5076683339982964e-6,3.113821623554937e-5,4.579082002339062e-5,-3.428042441204771e-6
-1.4937422901149537e-4,-8.678156281263663e-7,-9.10823427433034e-6,-1.6432027734562667e-5,-1.1230494374674937e-5,-1.919629038254274e-5,1.3334814915253673e-5,6.938648240089531e-6,-6.675980962448738e-8,-1.9267708646165705e-5,-3.103549138832134e-5,-2.1147998458559422e-5,-1.1445921039824039e-5,-1.3581484463847327e-6,-1.872508689238184e-5,-6.726121967660628e-6,-1.070187073578446e-5,1.6184597304857054e-5,-2.2142699645551954e-6,-3.5189005720413164e-6,2.2126807108702913e-7,-7.864785881951188e-6,-2.719496305346975e-7,1.693510341795603e-6,-1.3857846616356075e-6,-1.4912219050017827e-6,-1.1495438627060992e-6,-1.0759750584553455e-7,-3.0225754021618972e-6,6.308491169307652e-5,-5.374848635952378e-6,-4.9146329101762504e-5,4.880139444662437e-6,-5.51015484798181e-7
1.58077328580511e-6,1.9942287900600177e-8,9.46914283814872e-8,1.0095668457743299e-7,1.6769691018138845e-8,1.1943001365192862e-7,-1.5025752613579994e-7,-6.675980962448765e-8,7.599605925628538e-10,1.515767770747019e-7,2.361724224485368e-7,1.562010361147236e-7,9.443919731375449e-8,1.5268546725041423e-8,1.52751794581573e-7,6.000717252022942e-8,9.512696018869639e-8,-1.252311723273332e-7,1.2226356027122295e-8,5.999713925007052e-8,-3.321959321314921e-9,6.408938903717545e-8,-1.8502122122320653e-9,-9.523940256291641e-9,1.0336566701659918e-8,1.0959573689661232e-8,1.0493517192611374e-8,2.2592942231875535e-9,2.7894381280229406e-8,-6.239515886214364e-7,3.791661435028384e-8,3.8630483036470164e-7,-9.367413936879871e-8,9.68024545329656e-9
-5.812263238460855e-4,-7.309056466720467e-5,-1.3787677751182442e-4,-6.32395382917202e-5,-8.205150653137681e-5,-7.461351312039218e-5,5.090352170481463e-5,-1.9267708646165508e-5,1.5157677707469872e-7,3.448133427205949e-4,3.456550148210573e-4,2.6348778014145596e-4,1.0286926954508485e-4,8.569445710079341e-5,2.3032115147961845e-4,5.831239101040808e-5,1.948928139847384e-6,-9.666652210978337e-5,-2.9444986698632496e-7,-1.714946980401923e-6,-1.1354276350028248e-6,-2.2866507299975046e-5,-3.6949944932993516e-6,-4.7451635949756e-6,1.8958272099413554e-5,7.419247067763015e-6,-7.564315939734766e-7,2.4656501081863937e-6,1.3730753533073774e-5,-2.193939606034723e-4,7.944555546129469e-6,2.318161536421549e-4,7.87513187551747e-5,-1.2089499428098659e-6
2.740702041988286e-4,-2.3957387430899894e-5,-1.097678675616163e-4,-6.408062806424056e-5,-6.75236549565145e-5,-2.7542914895471807e-6,6.058267868062546e-5,-3.1035491388320845e-5,2.3617242244853036e-7,3.4565501482105665e-4,6.138523779086262e-4,3.876100310365609e-4,6.128858526640333e-5,5.901046091554663e-5,2.639396635261519e-4,8.514819685371308e-5,2.022339455163342e-5,-1.1312096391387377e-4,2.768560562137001e-6,-2.150559134837046e-5,-1.1317151362010572e-6,-1.7720590670966938e-5,5.114937756503191e-6,-1.4439564400116929e-5,2.3710813745414132e-5,1.2572512723069755e-5,3.2939208190982285e-6,9.55626156348716e-7,1.916658365525582e-5,-4.312377968761234e-4,1.798669794135064e-5,2.717239919003855e-4,7.061173618010298e-5,2.5689145673517115e-6
