(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed
0.016862155793534176,-0.0012353291026486837,-0.0026469146706009886,-0.002086558430254165,-0.0013773049200560394,-0.0016068688508285133,-0.002350063095245343,-0.0018265534563001076,-0.002444307227820326,-0.002787375317672706,-0.002789030653105609,-0.003196517616254077,-0.0025510927567531446,-0.0025753230266014095,-3.88748609337766e-4,-2.892423373955089e-4,2.78412600274587e-6,0.0016509815099575032,0.0013170191435498226,0.0012366208848213487
-0.0012353291026486982,0.00209942067199686,0.0016795478864337935,0.0015773469695326164,0.0016899954498066792,0.0016299466091485386,0.001451704658853663,0.0015856361730095263,0.0015350380880373789,0.0014552549466823287,0.0015000546770753199,0.0013130213906327208,0.0012897159730128845,0.0015305871767881379,-4.935360130008551e-5,1.914302126305783e-6,1.5493294153143063e-8,1.0238476159371213e-4,1.231648256791883e-4,2.3802841426548988e-4
-0.0026469146706009903,0.0016795478864337836,0.003623661565138957,0.002621997980818315,0.002515603187167381,0.002597891995526209,0.002342453981077009,0.002147769380383915,0.002412266122636878,0.00230616455390215,0.0021785866193650937,0.0022563939248632053,0.0020041916617643137,0.002073820592980427,-4.318752288417884e-5,3.680246791931229e-6,1.0720860065058876e-8,1.0002898290433296e-4,6.746247163811344e-5,1.1655113554002774e-4
-0.0020865584302541687,0.001577346969532617,0.002621997980818326,0.0031147249549995444,0.0027435150168649363,0.002696890900371115,0.0023041832240189675,0.002123893772993365,0.002222748435241564,0.001968402300814373,0.0019192610764920104,0.0022581052058093273,0.001991410353305491,0.0021411056030790506,3.351930455074366e-5,4.345896294435446e-6,-6.060559885202567e-8,1.742322175127118e-4,1.7735563307053824e-4,2.0164427594464114e-4
-0.0013773049200560337,0.001689995449806666,0.0025156031871673757,0.002743515016864923,0.003450962668441164,0.0029927908835543464,0.0024618744829059875,0.002413734716767224,0.0025717514132941985,0.002285452377331541,0.002202295084111109,0.00232716509046382,0.002015237844993021,0.002298351554513609,-5.827734323622761e-5,-1.946404429792877e-5,1.638766846105036e-7,2.3820090578031156e-4,2.3036814655529766e-4,2.7838600604610035e-4
-0.0016068688508285229,0.0016299466091485356,0.002597891995526216,0.0026968909003711123,0.002992790883554357,0.003794445764556325,0.00297246442409884,0.0028583645134993034,0.0029406491175294524,0.002683912894450032,0.002719216788331618,0.0026668823754966244,0.002591924827699222,0.0028288581087629774,-1.4765686004751337e-4,-2.6183731049429295e-5,2.2600215717851153e-7,2.0880472912459822e-4,1.9873022463469208e-4,2.75088900077223e-4
-0.0023500630952453493,0.001451704658853657,0.002342453981077013,0.0023041832240189596,0.0024618744829059945,0.002972464424098837,0.0032874380613747106,0.0028794361054883455,0.0030346293466024547,0.0028629987908103637,0.002736863939999251,0.002773257892201741,0.0026465155145363266,0.0029621809992001666,-6.939806324800987e-5,-6.981882166828586e-6,3.797917879793385e-8,2.1374024950285555e-4,1.8444259413064054e-4,1.7901765553001163e-4
-0.001826553456300111,0.0015856361730095191,0.0021477693803839165,0.002123893772993359,0.0024137347167672283,0.0028583645134992995,0.002879436105488344,0.003305557223245457,0.0032708246488194585,0.0031401769114219537,0.00291903826165273,0.0027922085380375737,0.002792187459129072,0.0030845026107698937,-6.059118601909572e-5,-1.755952945903949e-5,1.0954729748754953e-7,2.2291641112554534e-4,2.495122547240242e-4,2.2203492368992833e-4
-0.0024443072278203435,0.001535038088037378,0.0024122661226368865,0.0022227484352415625,0.0025717514132942124,0.002940649117529453,0.0030346293466024603,0.003270824648819465,0.0042648992578512915,0.003953112181145957,0.0038014669834981205,0.0035363595544030926,0.003651859390527274,0.003855566678598639,1.2495388163035739e-5,-1.1578530780469237e-5,7.21239783061771e-8,2.1308967053826764e-4,2.3398694275280802e-4,1.585277840594499e-4
-0.0027873753176727092,0.0014552549466823254,0.0023061645539021597,0.001968402300814369,0.0022854523773315535,0.0026839128944500315,0.0028629987908103667,0.003140176911421959,0.003953112181145954,0.0042309452660540875,0.003976526067351709,0.003622198999115207,0.0037854809193529062,0.003938538455615302,4.3525703198923496e-5,-3.6648000356347735e-6,-3.8979227816630616e-8,1.3608509018047925e-4,2.012714865071594e-4,8.790942774686474e-5
